t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.009889,303.0469,0.0000,0,0.0000,-0.852336,-2.565325,0.105943,-0.852336,-0.004788,57.03,1,57.03,4.185243,0.100,0.055,0.000,0.000,0.000,0.000
0.019919,302.9590,-0.0879,0,0.0000,-0.563236,-2.570975,0.029928,-0.563236,-0.004788,121.47,1,121.47,4.185243,0.100,0.055,0.000,0.000,0.000,0.000
0.029909,302.9590,-0.0879,0,0.0000,-0.411204,-2.575083,0.030526,-0.411204,0.042497,186.97,1,186.97,4.185243,0.247,-0.853,0.000,0.000,0.000,0.000
0.039896,302.9590,-0.0879,0,0.0000,-0.305261,-2.578131,0.026935,-0.305261,0.030526,253.45,1,253.45,4.185243,0.247,-0.853,0.000,0.000,0.000,0.000
0.049876,302.9590,-0.0879,0,0.0000,-0.221464,-2.580341,0.056862,-0.221464,0.020949,320.82,1,320.82,0.019919,-2.224,-1.554,-2.471,-0.701,-197.025,-55.924
0.059867,302.9590,-0.0879,0,0.0000,-0.167594,-2.582016,0.067636,-0.167594,0.027533,389.00,1,389.00,0.029909,-4.323,-1.802,-2.099,-0.248,-154.052,-18.204
0.069836,302.8711,-0.1758,0,0.0000,-0.113725,-2.583149,0.047285,-0.113725,0.025738,457.87,1,457.87,0.029909,-4.323,-1.802,-2.099,-0.248,-154.052,-18.204
0.079823,301.0254,-2.0215,0,0.0000,-0.079607,-2.583945,0.025139,-0.079607,0.017358,527.32,1,527.32,0.049876,-3.077,-1.498,1.246,0.305,97.811,23.903
0.089811,296.3672,-6.6797,0,0.0000,0.655413,-2.577398,0.172981,0.655413,-0.026935,597.24,1,597.24,0.059867,-0.737,-1.166,2.340,0.332,95.312,13.534
0.099780,291.7969,-11.2500,0,0.0000,0.367510,-2.573735,0.073622,0.367510,-0.002993,667.49,1,667.49,0.059867,-0.737,-1.166,2.340,0.332,95.312,13.534
0.109772,287.3145,-15.7324,0,0.0000,0.290895,-2.570828,0.096965,0.290895,-0.013767,737.93,1,737.93,0.079823,-0.737,-1.166,0.000,0.000,0.000,0.000
0.119765,282.7441,-20.3027,0,0.0000,0.155623,-2.569273,-0.022745,0.155623,0.022146,808.42,1,808.42,0.099780,-0.737,-1.166,0.000,0.000,0.000,0.000
0.129732,278.3496,-24.6973,0,0.0000,0.256180,-2.566720,0.035913,0.256180,0.015562,878.81,1,878.81,0.099780,-0.737,-1.166,0.000,0.000,0.000,0.000
0.139726,273.9551,-29.0918,0,0.0000,-0.061651,-2.567336,-0.032920,-0.061651,0.015562,948.92,1,948.92,0.119765,0.546,-1.216,1.283,-0.050,52.056,-2.044
0.149701,267.1875,-35.8594,0,0.0000,0.527323,-2.562076,0.059855,0.527323,0.003591,1018.58,1,1018.58,0.119765,0.546,-1.216,1.283,-0.050,52.056,-2.044
0.159684,258.4863,-44.5605,0,0.0000,0.694318,-2.555145,0.144251,0.694318,0.011971,1087.62,1,1087.62,0.129732,0.546,-1.216,0.000,0.000,0.000,0.000
0.169673,250.1367,-52.9102,0,0.0000,0.436343,-2.550786,0.050278,0.436343,0.017358,1155.83,1,1155.83,0.139726,0.347,-1.216,-0.199,0.000,-15.643,0.000
0.179652,241.6113,-61.4355,0,0.0000,0.202310,-2.548767,0.071227,0.202310,0.019154,1223.03,1,1223.03,0.139726,0.347,-1.216,-0.199,0.000,-15.643,0.000
0.189633,232.9102,-70.1367,0,0.0000,0.330998,-2.545464,0.017358,0.330998,0.031125,1289.01,1,1289.01,0.159684,0.266,-1.107,-0.081,0.109,-6.542,8.857
0.199623,224.2090,-78.8379,0,0.0000,0.188543,-2.543580,0.082600,0.188543,0.024541,1353.55,1,1353.55,0.179652,0.266,-1.107,0.000,0.000,0.000,0.000
0.209594,215.4199,-87.6270,0,0.0000,-0.018555,-2.543765,0.029928,-0.018555,0.019154,1416.43,1,1416.43,0.179652,0.266,-1.107,0.000,0.000,0.000,0.000
0.219580,203.1152,-99.9316,0,0.0000,0.897826,-2.534801,0.140659,0.897826,-0.001796,1477.42,1,1477.42,0.189633,0.984,-1.107,0.717,0.000,29.103,0.000
0.229571,189.1406,-113.9063,0,0.0000,0.761955,-2.527188,0.071826,0.761955,-0.029928,1536.29,1,1536.29,0.209594,0.984,-1.107,0.000,0.000,0.000,0.000
0.239546,174.8145,-128.2324,0,0.0000,0.551863,-2.521683,-0.013168,0.551863,0.020949,1592.81,1,1592.81,0.209594,0.984,-1.107,0.000,0.000,0.000,0.000
