t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.001995,350.6836,0.0000,0,0.0000,0.011372,0.034139,0.008978,0.011372,0.007183,9.47,1,9.47,30.001783,0.000,-0.048,0.000,0.000,0.000,0.000
0.012082,350.7715,0.0879,0,0.0000,0.008380,0.034223,0.010774,0.008380,0.004190,118.37,1,118.37,30.001783,0.000,-0.048,0.000,0.000,0.000,0.000
0.022063,350.7715,0.0879,0,0.0000,0.009577,0.034319,0.012570,0.009577,0.004190,224.94,1,224.94,30.001783,0.000,30.002,0.000,0.000,0.000,0.000
0.032071,350.7715,0.0879,0,0.0000,0.008978,0.034409,0.009577,0.008978,0.008380,338.52,1,338.52,0.001995,0.000,0.000,0.000,0.000,0.000,0.000
0.042043,350.6836,0.0000,0,0.0000,0.007183,0.034480,0.008978,0.007183,0.005986,458.88,1,458.88,0.001995,0.000,0.000,0.000,0.000,0.000,0.000
0.052026,348.5742,-2.1094,0,0.0000,0.020351,0.034683,0.010175,0.020351,0.008380,585.71,1,585.71,0.022063,0.000,0.000,0.000,0.000,0.000,0.000
0.062018,343.7402,-6.9434,0,0.0000,0.599748,0.040676,0.062249,0.599748,-0.058059,718.59,1,718.59,0.032071,0.000,0.000,0.000,0.000,0.000,0.000
0.072018,338.7305,-11.9531,0,0.0000,0.321422,0.043891,0.044891,0.321422,0.016759,857.04,1,857.04,0.052026,0.000,0.000,0.000,0.000,0.000,0.000
0.081985,333.8965,-16.7871,0,0.0000,0.468066,0.048555,0.147243,0.468066,0.014964,985.91,1,985.91,0.052026,0.000,0.000,0.000,0.000,0.000,0.000
0.091978,324.0527,-26.6309,0,0.0000,0.051475,0.049070,-0.025139,0.051475,0.033519,1133.21,1,1133.21,0.062018,0.000,0.000,0.000,0.000,0.000,0.000
0.101951,314.4727,-36.2109,0,0.0000,0.431555,0.053374,0.048483,0.431555,0.037709,1284.03,1,1284.03,0.062018,0.000,0.000,0.000,0.000,0.000,0.000
0.111945,305.0684,-45.6152,0,0.0000,0.172383,0.055096,0.011372,0.172383,0.010774,1437.44,1,1437.44,0.091978,0.000,0.000,0.000,0.000,0.000,0.000
0.121936,291.8848,-58.7988,0,0.0000,0.579995,0.060892,0.032322,0.579995,0.005387,1592.35,1,1592.35,0.101951,0.000,0.000,0.000,0.000,0.000,0.000
0.131903,278.5254,-72.1582,0,0.0000,0.724845,0.068115,0.090980,0.724845,0.046687,1747.53,1,1747.53,0.101951,0.000,0.000,0.000,0.000,0.000,0.000
0.141871,265.4297,-85.2539,0,0.0000,0.498592,0.073086,0.056264,0.498592,-0.020351,1901.64,1,1901.64,0.111945,0.000,0.000,0.000,0.000,0.000,0.000
0.151865,251.8945,-98.7891,0,0.0000,0.520739,0.078290,0.073023,0.520739,0.034117,2053.13,1,2053.13,0.131903,0.000,0.000,0.000,0.000,0.000,0.000
0.161834,234.6680,-116.0156,0,0.0000,1.318607,0.091434,0.049680,1.318607,0.073023,2200.37,1,2200.37,0.131903,0.000,0.000,0.000,0.000,0.000,0.000
0.171841,217.0020,-133.6816,0,0.0000,0.628478,0.097723,0.024541,0.628478,0.031125,2341.54,1,2341.54,0.151865,0.000,0.000,0.000,0.000,0.000,0.000
0.181807,193.8867,-156.7969,0,0.0000,0.711078,0.104810,0.000000,0.711078,0.047884,2474.71,1,2474.71,0.151865,0.000,0.000,0.000,0.000,0.000,0.000
0.191802,169.8047,-180.8789,0,0.0000,0.706290,0.111869,0.016759,0.706290,0.081403,2597.82,1,2597.82,0.171841,0.000,0.000,0.000,0.000,0.000,0.000
0.201770,145.4590,-205.2246,0,0.0000,0.545878,0.117311,0.038906,0.545878,0.041300,2708.70,1,2708.70,0.171841,0.000,0.000,0.000,0.000,0.000,0.000
0.211762,118.7402,-231.9434,0,0.0000,1.301249,0.130313,0.075417,1.301249,0.019752,2805.11,1,2805.11,0.181807,1.108,0.000,1.108,0.000,90.385,0.000
0.221757,92.7246,-257.9590,0,0.0000,0.617704,0.136487,-0.036512,0.617704,0.011971,2884.75,1,2884.75,0.191802,1.108,0.000,0.000,0.000,0.000,0.000
0.231725,67.8516,-282.8320,0,0.0000,0.484826,0.141320,-0.037110,0.484826,0.053271,2945.28,1,2945.28,0.191802,1.108,0.000,0.000,0.000,0.000,0.000
0.241722,43.1543,-307.5293,0,0.0000,0.408211,0.145400,-0.024541,0.408211,0.014365,2984.39,1,2984.39,0.211762,0.786,-0.088,-0.322,-0.088,-25.515,-7.008
0.251699,16.9629,-333.7207,0,0.0000,0.423175,0.149622,0.021548,0.423175,0.010774,2999.84,1,2999.84,0.211762,0.786,-0.088,-0.322,-0.088,-25.515,-7.008
0.261679,348.4863,-362.1973,0,0.0000,0.219668,0.151815,-0.029329,0.219668,0.033519,2989.47,1,2989.47,0.231725,2.362,-0.088,1.576,0.000,119.432,0.000
0.271667,319.8340,-390.8496,0,0.0000,0.044293,0.152257,-0.028730,0.044293,0.017957,2951.32,1,2951.32,0.251699,3.886,0.284,1.525,0.372,62.975,15.378
0.281634,292.1484,-418.5352,0,0.0000,0.047285,0.152728,0.024541,0.047285,-0.012570,2883.62,1,2883.62,0.251699,3.886,0.284,1.525,0.372,62.975,15.378
0.291621,265.9570,-444.7266,0,0.0000,0.078410,0.153511,0.002993,0.078410,0.005387,2784.94,1,2784.94,0.261679,5.283,0.209,1.397,-0.075,112.660,-6.057
0.301609,241.9629,-468.7207,0,0.0000,0.085593,0.154366,-0.012570,0.085593,-0.010175,2654.17,1,2654.17,0.281634,7.997,0.117,2.714,-0.092,204.220,-6.915
0.311589,220.4297,-490.2539,0,0.0000,-0.785897,0.146523,-0.146645,-0.785897,0.013168,2490.66,1,2490.66,0.281634,7.997,0.117,2.714,-0.092,204.220,-6.915
0.321579,197.7539,-512.9297,0,0.0000,-0.606332,0.140466,-0.079607,-0.606332,0.000000,2294.24,1,2294.24,0.291621,9.009,0.018,1.011,-0.099,80.234,-7.857
0.331554,177.8906,-532.7930,0,0.0000,-1.124676,0.129247,-0.143054,-1.124676,0.022745,2065.35,1,2065.35,0.291621,9.009,0.018,1.011,-0.099,80.234,-7.857
0.341536,161.2793,-549.4043,0,0.0000,-1.289876,0.116370,-0.097564,-1.289876,-0.017957,1805.03,1,1805.03,0.301609,12.852,0.122,3.844,0.104,159.027,4.304
0.351526,146.6895,-563.9941,0,0.0000,-1.289278,0.103490,-0.302867,-1.289278,0.001197,1515.04,1,1515.04,0.331554,17.894,-0.272,5.041,-0.394,403.011,-31.516
0.361498,135.3516,-575.3320,0,0.0000,-0.869694,0.094818,-0.105943,-0.869694,-0.012570,1197.88,1,1197.88,0.331554,17.894,-0.272,5.041,-0.394,403.011,-31.516
0.371483,126.6504,-584.0332,0,0.0000,-1.332373,0.081515,-0.144849,-1.332373,0.038906,856.83,1,856.83,0.341536,17.894,-0.272,0.000,0.000,0.000,0.000
0.381475,122.4316,-588.2520,0,0.0000,-1.192312,0.069602,0.000000,-1.192312,-0.055067,495.98,1,495.98,0.351526,21.677,-0.100,3.783,0.172,350.219,15.914
0.391444,121.5527,-589.1309,0,0.0000,-2.148197,0.048186,-0.081403,-2.148197,-0.007781,120.23,1,120.23,0.351526,21.677,-0.100,3.783,0.172,350.219,15.914
0.401427,121.4648,-589.2187,0,0.0000,-1.486799,0.033342,-0.096367,-1.486799,0.008380,264.76,-1,-264.76,0.371483,23.603,-0.100,1.926,0.000,74.810,0.000
0.411423,122.6953,-587.9883,0,0.0000,-1.133056,0.022017,-0.096367,-1.133056,0.037709,652.55,-1,-652.55,0.381475,25.805,-0.016,2.202,0.085,181.820,6.991
0.421390,127.6172,-583.0664,0,0.0000,-1.771111,0.004366,-0.047285,-1.771111,0.026935,1036.09,-1,-1036.09,0.381475,25.805,-0.016,2.202,0.085,181.820,6.991
0.431377,137.0215,-573.6621,0,0.0000,-1.663372,-0.012244,-0.098761,-1.663372,-0.014964,1407.72,-1,-1407.72,0.401427,30.282,0.417,4.477,0.433,362.244,35.015
0.441357,150.4687,-560.2148,0,0.0000,-2.378639,-0.035983,0.070030,-2.378639,0.007183,1759.39,-1,-1759.39,0.401427,30.282,0.417,4.477,0.433,362.244,35.015
0.451336,165.2344,-545.4492,0,0.0000,-1.769315,-0.053637,-0.097564,-1.769315,0.059855,2082.78,-1,-2082.78,0.411423,33.280,0.603,2.999,0.186,115.800,7.198
0.461330,185.1855,-525.4980,0,0.0000,-1.234211,-0.065973,-0.003591,-1.234211,0.014365,2369.52,-1,-2369.52,0.441357,33.280,0.603,0.000,0.000,0.000,0.000
0.471308,208.9160,-501.7676,0,0.0000,-1.407791,-0.080020,0.256778,-1.407791,-0.017358,2611.41,-1,-2611.41,0.441357,33.280,0.603,0.000,0.000,0.000,0.000
0.481291,232.0312,-478.6523,0,0.0000,-1.330578,-0.093302,0.117316,-1.330578,-0.016759,2800.67,-1,-2800.67,0.451336,34.364,0.660,1.084,0.057,97.778,5.102
0.491281,257.6953,-452.9883,0,0.0000,-1.377264,-0.107062,0.096965,-1.377264,-0.004190,2930.24,-1,-2930.24,0.461330,36.265,0.457,1.901,-0.203,150.464,-16.095
0.501297,283.3594,-427.3242,0,0.0000,-1.250970,-0.119592,0.051475,-1.250970,-0.005387,2994.03,-1,-2994.03,0.461330,36.265,0.457,1.901,-0.203,150.464,-16.095
0.511278,310.7812,-399.9023,0,0.0000,-1.035492,-0.129927,-0.055067,-1.035492,-0.010175,2987.23,-1,-2987.23,0.481291,36.531,0.564,0.266,0.107,19.782,7.960
0.521268,339.2578,-371.4258,0,0.0000,-0.607529,-0.135996,-0.001796,-0.607529,0.025738,2906.63,-1,-2906.63,0.501297,36.830,0.679,0.300,0.116,12.453,4.807
0.531240,7.9102,-342.7734,0,0.0000,-0.497994,-0.140962,0.037709,-0.497994,-0.002394,2750.81,-1,-2750.81,0.501297,36.830,0.679,0.300,0.116,12.453,4.807
0.541230,31.9922,-318.6914,0,0.0000,0.460285,-0.136365,0.053271,0.460285,-0.038307,2520.48,-1,-2520.48,0.511278,36.586,0.679,-0.245,0.000,-18.383,0.000
0.551220,53.1738,-297.5098,0,0.0000,0.268749,-0.133680,0.029928,0.268749,0.002993,2218.58,-1,-2218.58,0.521268,35.370,0.356,-1.215,-0.323,-97.589,-25.981
0.561196,68.9941,-281.6895,0,0.0000,0.329801,-0.130390,-0.131083,0.329801,0.035314,1850.48,-1,-1850.48,0.521268,35.370,0.356,-1.215,-0.323,-97.589,-25.981
0.571176,80.9473,-269.7363,0,0.0000,1.097143,-0.119439,-0.070629,1.097143,0.032920,1424.03,-1,-1424.03,0.541230,34.316,0.486,-1.054,0.130,-89.440,11.054
0.581171,89.9121,-260.7715,0,0.0000,2.028487,-0.099165,0.128090,2.028487,-0.027533,949.49,-1,-949.49,0.551220,34.316,0.486,0.000,0.000,0.000,0.000
0.591142,94.6582,-256.0254,0,0.0000,1.918953,-0.080031,0.075417,1.918953,-0.018555,439.48,-1,-439.48,0.551220,34.316,0.486,0.000,0.000,0.000,0.000
