t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.002130,334.6875,0.0000,0,0.0000,0.006584,0.019765,0.002394,0.006584,0.002993,2500.00,1,2500.00,5.654301,0.244,-0.070,0.000,0.000,0.000,0.000
0.011999,310.3418,-24.3457,0,0.0000,2.222418,0.041696,-0.175974,2.222418,0.130484,2500.00,1,2500.00,5.654301,0.244,-0.070,0.000,0.000,0.000,0.000
0.022127,287.5781,-47.1094,0,0.0000,1.045668,0.052287,0.149039,1.045668,-0.041899,2500.00,1,2500.00,5.654301,0.244,-0.002,0.000,0.000,0.000,0.000
0.031973,266.1328,-68.5547,0,0.0000,1.116297,0.063279,-0.122703,1.116297,-0.059855,2500.00,1,2500.00,5.654301,0.244,-0.002,0.000,0.000,0.000,0.000
0.042075,244.6875,-90.0000,0,0.0000,0.612317,0.069464,0.336385,0.612317,-0.042497,2500.00,1,2500.00,5.654301,0.244,-0.002,0.000,0.000,0.000,0.000
0.052046,223.1543,-111.5332,0,0.0000,0.535104,0.074799,-0.140659,0.535104,0.028132,0.00,1,0.00,5.654301,0.244,-0.002,0.000,0.000,0.000,0.000
0.148678,223.5937,-111.0938,0,0.0000,-0.322619,0.043624,-0.134075,-0.322619,-0.004190,0.00,1,0.00,0.031973,0.000,0.000,0.000,0.000,0.000,0.000
0.150105,223.6816,-111.0059,0,0.0000,-0.279523,0.043225,-0.059256,-0.279523,-0.025139,0.00,1,0.00,0.052046,0.000,0.000,0.000,0.000,46.000,-0.088
0.151914,223.5937,-111.0938,0,0.0000,-0.257975,0.042758,-0.096965,-0.257975,-0.016161,0.00,1,0.00,0.052046,0.000,0.000,0.000,0.000,46.000,-0.088
0.161768,223.5059,-111.1816,0,0.0000,-0.192135,0.040865,-0.034117,-0.192135,0.003591,0.00,1,0.00,0.052046,5.609,0.408,5.697,0.408,458.826,32.879
0.263408,223.6816,-111.0059,0,0.0000,0.092177,0.050234,0.037110,0.092177,0.001197,0.00,1,0.00,0.151914,6.630,-0.317,1.021,-0.726,40.693,-28.919
0.264826,223.6816,-111.0059,0,0.0000,0.092775,0.050366,0.031723,0.092775,0.003591,0.00,1,0.00,0.151914,6.630,-0.317,1.021,-0.726,40.693,-28.919
0.271584,223.5937,-111.0938,0,0.0000,0.079607,0.050904,-0.002993,0.079607,0.001796,0.00,1,0.00,0.151914,6.630,-0.317,1.021,-0.726,40.693,-28.919
0.281575,223.6816,-111.0059,0,0.0000,0.057461,0.051478,-0.009577,0.057461,0.000000,0.00,1,0.00,0.161768,6.945,-0.021,-0.365,0.000,-26.283,0.000
0.400754,223.5937,-111.0938,0,0.0000,0.019154,0.053760,0.044891,0.019154,0.000000,0.00,1,0.00,0.271584,6.945,-0.021,0.000,0.000,0.000,0.000
0.403283,223.5937,-111.0938,0,0.0000,0.053271,0.053895,0.035314,0.053271,-0.001197,0.00,1,0.00,0.271584,6.945,-0.021,0.000,0.000,0.000,0.000
0.411401,223.5937,-111.0938,0,0.0000,0.064643,0.054420,0.027533,0.064643,0.000000,0.00,1,0.00,0.281575,6.818,-0.073,0.000,0.000,0.000,0.000
