t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.003471,85.4297,0.0000,0,0.0000,0.005986,0.017977,0.002993,0.005986,0.008978,2500.00,1,2500.00,26.040380,-0.413,-0.055,0.000,0.000,0.000,0.000
0.013354,63.4570,-21.9727,0,0.0000,2.577358,0.043449,-0.142455,2.577358,0.213683,2500.00,1,2500.00,26.040380,-0.413,-0.055,0.000,0.000,0.000,0.000
0.023347,43.0664,-42.3633,0,0.0000,1.228824,0.055728,0.119112,1.228824,0.022146,2500.00,1,2500.00,0.003471,0.000,0.000,0.000,0.000,0.000,0.000
0.033332,21.0938,-64.3359,0,0.0000,1.118092,0.066891,-0.330400,1.118092,0.046687,2500.00,1,2500.00,0.003471,0.000,0.000,0.000,0.000,0.000,0.000
0.043322,358.2422,-87.1875,0,0.0000,0.474052,0.071627,0.178368,0.474052,-0.055067,2500.00,1,2500.00,0.013354,0.000,0.000,0.000,0.000,0.000,0.000
0.053300,336.6211,-108.8086,0,0.0000,0.758363,0.079194,-0.235829,0.758363,-0.008380,0.00,1,0.00,0.013354,0.000,0.000,0.000,0.000,0.000,0.000
0.063288,338.0273,-107.4023,0,0.0000,-1.765724,0.061558,0.416591,-1.765724,-0.208296,0.00,1,0.00,0.023347,0.000,0.000,0.000,0.000,0.000,0.000
0.073281,338.0273,-107.4023,0,0.0000,-0.802656,0.053538,0.007183,-0.802656,-0.036512,0.00,1,0.00,0.043322,0.000,0.000,0.000,0.000,0.000,0.000
0.083256,338.1152,-107.3145,0,0.0000,-0.916979,0.044391,0.056862,-0.916979,-0.009577,0.00,1,0.00,0.043322,0.000,0.000,0.000,0.000,0.000,0.000
0.093239,337.9395,-107.4902,0,0.0000,-0.596755,0.038433,-0.193332,-0.596755,0.081403,0.00,1,0.00,0.063288,0.000,0.000,0.000,0.000,0.000,0.000
0.103237,338.0273,-107.4023,0,0.0000,-0.451307,0.033921,-0.041899,-0.451307,0.007183,0.00,1,0.00,0.073281,0.000,0.000,0.000,0.000,0.000,0.000
0.113203,337.9395,-107.4902,0,0.0000,-0.438737,0.029549,-0.197522,-0.438737,0.017358,0.00,1,0.00,0.073281,0.000,0.000,0.000,0.000,0.000,0.000
0.123195,338.0273,-107.4023,0,0.0000,-0.347758,0.026074,0.014964,-0.347758,-0.012570,0.00,1,0.00,0.103237,0.000,0.000,0.000,0.000,0.000,0.000
0.133170,338.0273,-107.4023,0,0.0000,-0.320823,0.022874,-0.171185,-0.320823,0.020351,0.00,1,0.00,0.103237,0.000,0.000,0.000,0.000,0.000,0.000
0.143153,338.0273,-107.4023,0,0.0000,-0.232836,0.020550,-0.059855,-0.232836,-0.021548,0.00,1,0.00,0.113203,-0.175,-0.276,-0.175,-0.276,-14.589,-22.998
0.153119,337.9395,-107.4902,0,0.0000,-0.243610,0.018122,-0.095768,-0.243610,0.008978,0.00,1,0.00,0.113203,-0.175,-0.276,-0.175,-0.276,-14.589,-22.998
0.163096,337.9395,-107.4902,0,0.0000,-0.148441,0.016641,-0.004788,-0.148441,0.003591,0.00,1,0.00,0.113203,-0.175,-0.276,-0.175,-0.276,-14.589,-22.998
0.173156,338.0273,-107.4023,0,0.0000,-0.134075,0.015292,-0.034117,-0.134075,-0.004788,0.00,1,0.00,0.143153,-0.175,-0.276,0.000,0.000,0.000,0.000
0.183122,337.9395,-107.4902,0,0.0000,-0.067038,0.014624,0.004190,-0.067038,-0.011971,0.00,1,0.00,0.143153,-0.175,-0.276,0.000,0.000,0.000,0.000
0.193092,337.9395,-107.4902,0,0.0000,-0.028730,0.014337,-0.006584,-0.028730,0.010774,0.00,1,0.00,0.143153,-0.175,-0.276,0.000,0.000,0.000,0.000
0.203084,338.0273,-107.4023,0,0.0000,0.011971,0.014457,0.046687,0.011971,-0.000599,0.00,1,0.00,0.173156,7.935,0.390,8.110,0.666,214.999,17.666
0.213052,337.9395,-107.4902,0,0.0000,0.032322,0.014779,0.048483,0.032322,-0.002394,0.00,1,0.00,0.173156,7.935,0.390,8.110,0.666,214.999,17.666
0.223019,338.0273,-107.4023,0,0.0000,0.071826,0.015495,0.073622,0.071826,0.007183,0.00,1,0.00,0.173156,7.935,0.390,8.110,0.666,214.999,17.666
0.233010,337.9395,-107.4902,0,0.0000,0.088585,0.016380,0.059855,0.088585,0.010175,0.00,1,0.00,0.213052,8.666,-0.109,0.731,-0.499,29.272,-19.996
0.243114,338.0273,-107.4023,0,0.0000,0.097564,0.017366,0.060454,0.097564,0.000599,0.00,1,0.00,0.213052,8.666,-0.109,0.731,-0.499,29.272,-19.996
0.252947,337.9395,-107.4902,0,0.0000,0.090980,0.018261,0.041300,0.090980,0.008380,0.00,1,0.00,0.213052,8.666,-0.109,0.731,-0.499,29.272,-19.996
0.262935,338.0273,-107.4023,0,0.0000,0.087987,0.019139,0.020351,0.087987,0.010175,0.00,1,0.00,0.233010,7.056,0.840,-1.609,0.950,-42.762,25.238
0.273034,338.0273,-107.4023,0,0.0000,0.071227,0.019859,0.000000,0.071227,0.010774,0.00,1,0.00,0.233010,7.056,0.840,-1.609,0.950,-42.762,25.238
0.283005,337.9395,-107.4902,0,0.0000,0.043096,0.020288,-0.021548,0.043096,0.015562,0.00,1,0.00,0.233010,7.056,0.840,-1.609,0.950,-42.762,25.238
0.292995,338.0273,-107.4023,0,0.0000,0.017358,0.020462,-0.032920,0.017358,0.014964,0.00,1,0.00,0.243114,5.151,1.222,-1.906,0.382,-69.428,13.917
0.302963,338.0273,-107.4023,0,0.0000,-0.002993,0.020432,-0.044891,-0.002993,0.012570,0.00,1,0.00,0.243114,5.151,1.222,-1.906,0.382,-69.428,13.917
0.312936,337.9395,-107.4902,0,0.0000,-0.024541,0.020187,-0.035314,-0.024541,0.011372,0.00,1,0.00,0.243114,5.151,1.222,-1.906,0.382,-69.428,13.917
0.322923,338.0273,-107.4023,0,0.0000,-0.043096,0.019757,-0.034117,-0.043096,0.011372,0.00,1,0.00,0.302963,6.760,1.401,1.609,0.179,69.324,7.712
0.332888,337.9395,-107.4902,0,0.0000,-0.049680,0.019262,-0.014365,-0.049680,0.004190,0.00,1,0.00,0.302963,6.760,1.401,1.609,0.179,69.324,7.712
0.342855,338.0273,-107.4023,0,0.0000,-0.050278,0.018761,-0.007183,-0.050278,0.001197,0.00,1,0.00,0.302963,6.760,1.401,1.609,0.179,69.324,7.712
0.352847,337.9395,-107.4902,0,0.0000,-0.040103,0.018360,0.013168,-0.040103,0.000599,0.00,1,0.00,0.322923,7.467,1.401,0.708,0.000,19.231,0.000
0.362817,338.0273,-107.4023,0,0.0000,-0.025139,0.018109,0.026935,-0.025139,0.000000,0.00,1,0.00,0.322923,7.467,1.401,0.708,0.000,19.231,0.000
0.372803,337.9395,-107.4902,0,0.0000,-0.005387,0.018056,0.037709,-0.005387,-0.001796,0.00,1,0.00,0.342855,6.961,1.401,-0.506,0.000,-19.234,0.000
0.382783,338.0273,-107.4023,0,0.0000,0.014365,0.018199,0.040103,0.014365,0.000599,0.00,1,0.00,0.342855,6.961,1.401,-0.506,0.000,-19.234,0.000
0.392763,338.0273,-107.4023,0,0.0000,0.036512,0.018563,0.037709,0.036512,0.002993,0.00,1,0.00,0.352847,6.509,1.455,-0.452,0.053,-19.466,2.292
0.402755,338.0273,-107.4023,0,0.0000,0.051475,0.019078,0.035913,0.051475,0.003591,0.00,1,0.00,0.372803,6.360,1.455,-0.149,0.000,-11.317,0.000
0.412722,337.9395,-107.4902,0,0.0000,0.062249,0.019698,0.025139,0.062249,0.002993,0.00,1,0.00,0.372803,6.360,1.455,-0.149,0.000,-11.317,0.000
0.422716,338.0273,-107.4023,0,0.0000,0.065242,0.020350,0.013767,0.065242,0.004788,0.00,1,0.00,0.392763,6.418,1.366,0.058,-0.089,4.074,-6.247
0.432688,338.0273,-107.4023,0,0.0000,0.061651,0.020965,0.002394,0.061651,0.007781,0.00,1,0.00,0.392763,6.418,1.366,0.058,-0.089,4.074,-6.247
0.442670,337.9395,-107.4902,0,0.0000,0.052074,0.021485,-0.003591,0.052074,0.008380,0.00,1,0.00,0.412722,6.530,1.366,0.112,0.000,4.878,0.000
0.452667,338.0273,-107.4023,0,0.0000,0.036512,0.021850,-0.011372,0.036512,0.008978,0.00,1,0.00,0.432688,6.530,1.419,0.000,0.053,0.000,3.962
0.462633,337.9395,-107.4902,0,0.0000,0.020351,0.022053,-0.011971,0.020351,0.002993,0.00,1,0.00,0.432688,6.530,1.419,0.000,0.053,0.000,3.962
0.472620,337.9395,-107.4902,0,0.0000,0.001197,0.022064,-0.007781,0.001197,0.002394,0.00,1,0.00,0.442670,6.467,1.419,-0.063,0.000,-2.653,0.000
