
t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.003453,205.0488,0.0000,0,0.0000,0.005986,0.017976,-0.002394,0.005986,0.008380,2000.00,1,2000.00,nan,nan,nan,nan,nan,nan,nan
0.013497,190.1953,-14.8535,0,0.0000,1.808221,0.036138,-0.065841,1.808221,0.082600,2000.00,1,2000.00,nan,nan,nan,nan,nan,nan,nan
0.023465,175.4297,-29.6191,0,0.0000,1.128268,0.047385,0.015562,1.128268,0.046687,2000.00,1,2000.00,nan,nan,nan,nan,nan,nan,nan
0.033467,160.9277,-44.1211,0,0.0000,0.596755,0.053353,-0.022745,0.596755,0.067636,2000.00,1,2000.00,0.003453,0.000,0.000,0.000,0.000,0.000,0.000
0.043463,146.2500,-58.7988,0,0.0000,0.607529,0.059426,0.106542,0.607529,0.000000,2000.00,1,2000.00,0.013497,0.000,0.000,0.000,0.000,0.000,0.000
0.053434,132.0996,-72.9492,0,0.0000,0.369306,0.063108,-0.074819,0.369306,-0.037110,2000.00,1,2000.00,0.013497,0.000,0.000,0.000,0.000,0.000,0.000
0.063430,118.3008,-86.7480,0,0.0000,0.361524,0.066722,0.009577,0.361524,0.027533,2000.00,1,2000.00,0.033467,0.000,0.000,0.000,0.000,0.000,0.000
0.073430,104.9414,-100.1074,0,0.0000,0.307655,0.069799,-0.003591,0.307655,-0.007781,2000.00,1,2000.00,0.053434,0.000,0.000,0.000,0.000,0.000,0.000
0.083400,92.1094,-112.9395,0,0.0000,0.116717,0.070962,0.007781,0.116717,-0.009577,2000.00,1,2000.00,0.053434,0.000,0.000,0.000,0.000,0.000,0.000
0.093396,79.7168,-125.3320,0,0.0000,-0.041300,0.070549,0.017957,-0.041300,0.000000,2000.00,1,2000.00,0.063430,0.000,0.000,0.000,0.000,0.000,0.000
