t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.01072,22.852,0.088,0,0.000,0.005,0.010,0.006,0.005,0.008,0.0,1,0.0,nan,nan,nan,nan,nan,nan,nan
0.02077,22.764,0.000,0,0.000,0.005,0.010,0.005,0.005,0.007,0.0,1,0.0,nan,nan,nan,nan,nan,nan,nan
0.03100,22.764,0.000,0,0.000,0.004,0.010,0.007,0.004,0.007,0.0,1,0.0,0.008,0.00,0.00,0.00,0.00,0.00,0.00
0.04105,22.676,-0.088,0,0.000,0.001,0.010,0.008,0.001,0.005,0.0,1,0.0,0.018,0.00,0.00,0.00,0.00,0.00,0.00
0.06064,22.764,0.000,0,0.000,0.003,0.010,0.005,0.003,0.007,0.0,1,0.0,0.041,0.00,0.00,0.00,0.00,0.00,0.00
0.07069,22.764,0.000,0,0.000,0.002,0.010,0.006,0.002,0.005,0.0,1,0.0,0.041,0.00,0.00,0.00,0.00,0.00,0.00
0.08092,22.676,-0.088,0,0.000,0.000,0.010,0.005,0.000,0.008,0.0,1,0.0,0.058,0.00,0.00,0.00,0.00,0.00,0.00
0.09099,22.676,-0.088,0,0.000,-0.001,0.010,0.006,-0.001,0.008,0.0,1,0.0,0.071,0.00,0.00,0.00,0.00,0.00,0.00
0.11056,22.676,-0.088,0,0.000,0.001,0.010,0.006,0.001,0.010,0.0,1,0.0,0.082,0.00,0.00,0.00,0.00,0.00,0.00
0.12061,22.764,0.000,0,0.000,0.002,0.010,0.003,0.002,0.010,0.0,1,0.0,0.097,0.00,0.00,0.00,0.00,0.00,0.00
0.13075,22.764,0.000,0,0.000,0.004,0.010,0.005,0.004,0.010,0.0,1,0.0,0.109,0.00,0.00,0.00,0.00,0.00,0.00
0.14099,22.676,-0.088,0,0.000,0.003,0.010,0.007,0.003,0.007,0.0,1,0.0,0.119,0.00,0.00,0.00,0.00,0.00,0.00
0.15103,22.676,-0.088,0,0.000,0.004,0.010,0.008,0.004,0.002,0.0,1,0.0,0.133,0.00,0.00,0.00,0.00,0.00,0.00
0.17062,22.588,-0.176,0,0.000,0.005,0.010,0.004,0.005,0.005,0.0,1,0.0,0.146,0.00,0.00,0.00,0.00,0.00,0.00
0.18067,22.676,-0.088,0,0.000,0.005,0.010,0.006,0.005,0.004,0.0,1,0.0,0.158,0.00,0.00,0.00,0.00,0.00,0.00
0.19090,22.764,0.000,0,0.000,0.007,0.010,0.006,0.007,0.007,0.0,1,0.0,0.170,0.00,0.00,0.00,0.00,0.00,0.00
0.20095,22.764,0.000,0,0.000,0.004,0.010,0.008,0.004,0.008,0.0,1,0.0,0.170,0.00,0.00,0.00,0.00,0.00,0.00
0.22054,22.764,0.000,0,0.000,0.004,0.010,0.008,0.004,0.010,0.0,1,0.0,0.196,0.00,0.00,0.00,0.00,0.00,0.00
0.24066,22.676,-0.088,0,0.000,0.006,0.010,0.005,0.006,0.013,0.0,1,0.0,0.218,0.00,0.00,0.00,0.00,0.00,0.00
0.25071,22.764,0.000,0,0.000,0.008,0.010,0.007,0.008,0.012,0.0,1,0.0,0.226,0.00,0.00,0.00,0.00,0.00,0.00
0.26081,22.676,-0.088,0,0.000,0.008,0.011,0.005,0.008,0.011,0.0,1,0.0,0.226,0.00,0.00,0.00,0.00,0.00,0.00
0.28048,22.764,0.000,0,0.000,0.005,0.011,0.006,0.005,0.005,0.0,1,0.0,0.266,0.00,0.00,0.00,0.00,0.00,0.00
