t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,a_rod,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.03957,13.359,-0.088,0,0.000,0.004,0.010,0.000,0.005,0.004,0.010,0.0,-1,0.0,0.019,0.00,0.00,0.00,0.00,0.00,0.00
0.04963,13.447,0.000,0,0.000,0.001,0.010,0.000,0.007,0.001,0.010,0.0,-1,0.0,0.019,0.00,0.00,0.00,0.00,0.00,0.00
0.05985,13.447,0.000,0,0.000,0.001,0.008,0.000,0.008,0.001,0.008,0.0,-1,0.0,0.031,0.00,0.00,0.00,0.00,0.00,0.00
0.06990,13.447,0.000,0,0.000,0.002,0.010,0.000,0.006,0.002,0.010,0.0,-1,0.0,0.046,0.00,0.00,0.00,0.00,0.00,0.00
0.08949,13.359,-0.088,0,0.000,0.000,0.007,0.000,0.007,0.000,0.007,0.0,-1,0.0,0.059,0.00,0.00,0.00,0.00,0.00,0.00
0.09955,13.359,-0.088,0,0.000,0.003,0.008,0.000,0.006,0.003,0.008,0.0,-1,0.0,0.076,0.00,0.00,0.00,0.00,0.00,0.00
0.10977,13.447,0.000,0,0.000,0.003,0.007,0.000,0.006,0.003,0.007,0.0,-1,0.0,0.086,0.00,0.00,0.00,0.00,0.00,0.00
0.13977,13.447,0.000,0,0.000,0.002,0.008,0.000,0.002,0.002,0.008,0.0,-1,0.0,0.098,0.00,0.00,0.00,0.00,0.00,0.00
0.15953,13.447,0.000,0,0.000,0.008,0.004,0.000,0.005,0.008,0.004,0.0,-1,0.0,0.130,0.00,0.00,0.00,0.00,0.00,0.00
0.32254,13.359,-0.088,0,0.000,0.004,0.010,0.001,0.000,0.004,0.010,0.0,-1,0.0,0.147,0.00,0.00,0.00,0.00,0.00,0.00
0.34129,13.447,0.000,0,0.000,0.004,0.006,0.001,0.003,0.004,0.006,0.0,-1,0.0,0.147,0.00,0.00,0.00,0.00,0.00,0.00
0.35924,13.447,0.000,0,0.000,0.006,0.004,0.001,0.007,0.006,0.004,0.0,-1,0.0,0.338,0.00,0.00,0.00,0.00,0.00,0.00
0.36930,13.447,0.000,0,0.000,0.007,0.004,0.001,0.006,0.007,0.004,0.0,-1,0.0,0.347,0.00,0.00,0.00,0.00,0.00,0.00
0.38888,13.447,0.000,0,0.000,0.007,0.005,0.001,0.006,0.007,0.005,0.0,-1,0.0,0.360,0.00,0.00,0.00,0.00,0.00,0.00
0.39893,13.359,-0.088,0,0.000,0.007,0.010,0.001,0.004,0.007,0.010,0.0,-1,0.0,0.373,0.00,0.00,0.00,0.00,0.00,0.00
0.40916,13.447,0.000,0,0.000,0.004,0.011,0.001,0.005,0.004,0.011,0.0,-1,0.0,0.384,0.00,0.00,0.00,0.00,0.00,0.00
0.41921,13.447,0.000,0,0.000,0.004,0.007,0.001,0.004,0.004,0.007,0.0,-1,0.0,0.400,0.00,0.00,0.00,0.00,0.00,0.00
0.43882,13.447,0.000,0,0.000,0.005,0.007,0.002,0.002,0.005,0.007,0.0,-1,0.0,0.422,0.00,0.00,0.00,0.00,0.00,0.00
0.44886,13.447,0.000,0,0.000,0.005,0.007,0.002,0.001,0.005,0.007,0.0,-1,0.0,0.422,0.00,0.00,0.00,0.00,0.00,0.00
0.45945,13.447,0.000,0,0.000,0.004,0.005,0.002,0.001,0.004,0.005,0.0,-1,0.0,0.433,0.00,0.00,0.00,0.00,0.00,0.00
0.47891,13.359,-0.088,0,0.000,0.005,0.002,0.002,0.001,0.005,0.002,0.0,-1,0.0,0.456,0.00,0.00,0.00,0.00,0.00,0.00
0.48914,13.447,0.000,0,0.000,0.009,0.000,0.002,0.001,0.009,0.000,0.0,-1,0.0,0.469,0.00,0.00,0.00,0.00,0.00,0.00
0.49919,13.447,0.000,0,0.000,0.008,0.002,0.002,0.001,0.008,0.002,0.0,-1,0.0,0.481,0.00,0.00,0.00,0.00,0.00,0.00
0.51878,13.359,-0.088,0,0.000,0.005,0.005,0.002,0.002,0.005,0.005,0.0,-1,0.0,0.493,0.00,0.00,0.00,0.00,0.00,0.00
0.52883,13.359,-0.088,0,0.000,0.005,0.005,0.002,0.002,0.005,0.005,0.0,-1,0.0,0.503,0.00,0.00,0.00,0.00,0.00,0.00
0.53906,13.359,-0.088,0,0.000,0.004,0.002,0.002,0.000,0.004,0.002,0.0,-1,0.0,0.518,0.00,0.00,0.00,0.00,0.00,0.00
0.54911,13.359,-0.088,0,0.000,0.008,0.002,0.002,0.000,0.008,0.002,0.0,-1,0.0,0.527,0.00,0.00,0.00,0.00,0.00,0.00
