t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,a_rod,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.03100,104.941,0.000,0,0.000,0.004,0.001,0.010,0.005,0.004,0.001,0.0,-1,0.0,0.010,0.00,0.00,0.00,0.00,0.00,0.00
0.04105,104.941,0.000,0,0.000,0.004,-0.002,0.010,0.004,0.004,-0.002,0.0,-1,0.0,0.023,0.00,0.00,0.00,0.00,0.00,0.00
0.05128,104.941,0.000,0,0.000,0.005,0.000,0.010,0.005,0.005,0.000,0.0,-1,0.0,0.023,0.00,0.00,0.00,0.00,0.00,0.00
0.06133,104.941,0.000,0,0.000,0.005,0.000,0.010,0.002,0.005,0.000,0.0,-1,0.0,0.035,0.00,0.00,0.00,0.00,0.00,0.00
0.08093,104.941,0.000,0,0.000,0.004,0.004,0.010,0.000,0.004,0.004,0.0,-1,0.0,0.062,0.00,0.00,0.00,0.00,0.00,0.00
0.09097,104.941,0.000,0,0.000,0.001,0.004,0.010,0.000,0.001,0.004,0.0,-1,0.0,0.062,0.00,0.00,0.00,0.00,0.00,0.00
0.10120,104.941,0.000,0,0.000,0.002,0.004,0.010,0.000,0.002,0.004,0.0,-1,0.0,0.077,0.00,0.00,0.00,0.00,0.00,0.00
0.11125,104.941,0.000,0,0.000,0.003,0.004,0.010,0.001,0.003,0.004,0.0,-1,0.0,0.089,0.00,0.00,0.00,0.00,0.00,0.00
0.13084,104.941,0.000,0,0.000,0.002,0.002,0.010,0.004,0.002,0.002,0.0,-1,0.0,0.105,0.00,0.00,0.00,0.00,0.00,0.00
0.14089,104.941,0.000,0,0.000,0.003,0.001,0.010,0.003,0.003,0.001,0.0,-1,0.0,0.117,0.00,0.00,0.00,0.00,0.00,0.00
0.15112,104.941,0.000,0,0.000,0.004,0.005,0.010,0.004,0.004,0.005,0.0,-1,0.0,0.129,0.00,0.00,0.00,0.00,0.00,0.00
0.16117,104.941,0.000,0,0.000,0.004,0.007,0.010,0.005,0.004,0.007,0.0,-1,0.0,0.129,0.00,0.00,0.00,0.00,0.00,0.00
0.18076,104.941,0.000,0,0.000,0.002,0.004,0.010,0.004,0.002,0.004,0.0,-1,0.0,0.157,0.00,0.00,0.00,0.00,0.00,0.00
0.19081,104.941,0.000,0,0.000,0.001,0.003,0.010,0.005,0.001,0.003,0.0,-1,0.0,0.167,0.00,0.00,0.00,0.00,0.00,0.00
0.20104,104.941,0.000,0,0.000,0.005,0.005,0.010,0.007,0.005,0.005,0.0,-1,0.0,0.167,0.00,0.00,0.00,0.00,0.00,0.00
0.21109,104.941,0.000,0,0.000,0.005,0.008,0.010,0.005,0.005,0.008,0.0,-1,0.0,0.188,0.00,0.00,0.00,0.00,0.00,0.00
0.23068,104.941,0.000,0,0.000,0.000,0.010,0.010,0.004,0.000,0.010,0.0,-1,0.0,0.211,0.00,0.00,0.00,0.00,0.00,0.00
0.24073,104.941,0.000,0,0.000,-0.001,0.010,0.010,0.001,-0.001,0.010,0.0,-1,0.0,0.211,0.00,0.00,0.00,0.00,0.00,0.00
0.25096,105.029,0.088,0,0.000,0.001,0.008,0.010,0.001,0.001,0.008,0.0,-1,0.0,0.220,0.00,0.00,0.00,0.00,0.00,0.00
0.26246,105.029,0.088,0,0.000,0.004,0.011,0.010,0.002,0.004,0.011,0.0,-1,0.0,0.240,0.00,0.00,0.00,0.00,0.00,0.00
0.28032,104.941,0.000,0,0.000,0.004,0.004,0.011,0.002,0.004,0.004,0.0,-1,0.0,0.250,0.00,0.00,0.00,0.00,0.00,0.00
0.29054,104.941,0.000,0,0.000,0.004,0.002,0.011,0.004,0.004,0.002,0.0,-1,0.0,0.269,0.00,0.00,0.00,0.00,0.00,0.00
0.30060,105.029,0.088,0,0.000,0.005,0.000,0.011,0.004,0.005,0.000,0.0,-1,0.0,0.280,0.00,0.00,0.00,0.00,0.00,0.00
0.31084,105.029,0.088,0,0.000,0.004,0.000,0.011,0.003,0.004,0.000,0.0,-1,0.0,0.291,0.00,0.00,0.00,0.00,0.00,0.00
0.32088,104.941,0.000,0,0.000,0.004,0.005,0.011,0.005,0.004,0.005,0.0,-1,0.0,0.291,0.00,0.00,0.00,0.00,0.00,0.00
0.34047,104.941,0.000,0,0.000,0.003,0.003,0.011,0.008,0.003,0.003,0.0,-1,0.0,0.315,0.00,0.00,0.00,0.00,0.00,0.00
0.35052,105.029,0.088,0,0.000,0.002,0.004,0.011,0.009,0.002,0.004,0.0,-1,0.0,0.327,0.00,0.00,0.00,0.00,0.00,0.00
0.36075,104.941,0.000,0,0.000,0.006,0.005,0.011,0.010,0.006,0.005,0.0,-1,0.0,0.338,0.00,0.00,0.00,0.00,0.00,0.00
0.37080,104.941,0.000,0,0.000,0.004,0.003,0.011,0.012,0.004,0.003,0.0,-1,0.0,0.351,0.00,0.00,0.00,0.00,0.00,0.00
0.38094,104.941,0.000,0,0.000,0.004,0.001,0.011,0.009,0.004,0.001,0.0,-1,0.0,0.351,0.00,0.00,0.00,0.00,0.00,0.00
0.40053,104.941,0.000,0,0.000,0.008,0.005,0.011,0.004,0.008,0.005,0.0,-1,0.0,0.376,0.00,0.00,0.00,0.00,0.00,0.00
0.41058,104.941,0.000,0,0.000,0.008,0.008,0.011,0.001,0.008,0.008,0.0,-1,0.0,0.391,0.00,0.00,0.00,0.00,0.00,0.00
0.42082,104.941,0.000,0,0.000,0.006,0.007,0.011,0.001,0.006,0.007,0.0,-1,0.0,0.403,0.00,0.00,0.00,0.00,0.00,0.00
0.43086,104.941,0.000,0,0.000,0.005,0.007,0.011,0.002,0.005,0.007,0.0,-1,0.0,0.403,0.00,0.00,0.00,0.00,0.00,0.00
0.45044,105.029,0.088,0,0.000,0.005,0.008,0.011,0.001,0.005,0.008,0.0,-1,0.0,0.427,0.00,0.00,0.00,0.00,0.00,0.00
0.46050,105.029,0.088,0,0.000,0.006,0.008,0.011,0.001,0.006,0.008,0.0,-1,0.0,0.438,0.00,0.00,0.00,0.00,0.00,0.00
0.47072,104.941,0.000,0,0.000,0.008,0.008,0.011,0.000,0.008,0.008,0.0,-1,0.0,0.452,0.00,0.00,0.00,0.00,0.00,0.00
0.48078,104.941,0.000,0,0.000,0.009,0.008,0.012,0.000,0.009,0.008,0.0,-1,0.0,0.452,0.00,0.00,0.00,0.00,0.00,0.00
0.50037,104.941,0.000,0,0.000,0.007,0.005,0.012,-0.001,0.007,0.005,0.0,-1,0.0,0.475,0.00,0.00,0.00,0.00,0.00,0.00
0.51067,105.029,0.088,0,0.000,0.004,0.007,0.012,-0.001,0.004,0.007,0.0,-1,0.0,0.490,0.00,0.00,0.00,0.00,0.00,0.00
0.53060,104.941,0.000,0,0.000,0.005,0.004,0.012,0.004,0.005,0.004,0.0,-1,0.0,0.502,0.00,0.00,0.00,0.00,0.00,0.00
0.55018,104.941,0.000,0,0.000,0.008,0.003,0.012,0.005,0.008,0.003,0.0,-1,0.0,0.528,0.00,0.00,0.00,0.00,0.00,0.00
0.56025,104.941,0.000,0,0.000,0.007,0.004,0.012,0.008,0.007,0.004,0.0,-1,0.0,0.542,0.00,0.00,0.00,0.00,0.00,0.00
0.57048,104.941,0.000,0,0.000,0.005,0.005,0.012,0.008,0.005,0.005,0.0,-1,0.0,0.553,0.00,0.00,0.00,0.00,0.00,0.00
0.58052,104.941,0.000,0,0.000,0.004,0.003,0.012,0.008,0.004,0.003,0.0,-1,0.0,0.553,0.00,0.00,0.00,0.00,0.00,0.00
0.60010,104.941,0.000,0,0.000,0.005,0.002,0.012,0.008,0.005,0.002,0.0,-1,0.0,0.578,0.00,0.00,0.00,0.00,0.00,0.00
0.61015,105.029,0.088,0,0.000,0.005,0.004,0.012,0.008,0.005,0.004,0.0,-1,0.0,0.578,0.00,0.00,0.00,0.00,0.00,0.00
0.62038,104.941,0.000,0,0.000,0.005,0.002,0.012,0.009,0.005,0.002,0.0,-1,0.0,0.597,0.00,0.00,0.00,0.00,0.00,0.00
0.63043,105.029,0.088,0,0.000,0.005,0.003,0.012,0.008,0.005,0.003,0.0,-1,0.0,0.610,0.00,0.00,0.00,0.00,0.00,0.00
0.64481,104.941,0.000,0,0.000,0.005,0.002,0.012,0.008,0.005,0.002,0.0,-1,0.0,0.623,0.00,0.00,0.00,0.00,0.00,0.00
0.66047,104.941,0.000,0,0.000,0.008,0.004,0.013,0.001,0.008,0.004,0.0,-1,0.0,0.632,0.00,0.00,0.00,0.00,0.00,0.00
0.67988,104.941,0.000,0,0.000,0.009,0.004,0.013,0.001,0.009,0.004,0.0,-1,0.0,0.656,0.00,0.00,0.00,0.00,0.00,0.00
0.69010,104.941,0.000,0,0.000,0.010,0.006,0.013,0.000,0.010,0.006,0.0,-1,0.0,0.672,0.00,0.00,0.00,0.00,0.00,0.00
0.70016,104.941,0.000,0,0.000,0.011,0.000,0.013,0.001,0.011,0.000,0.0,-1,0.0,0.680,0.00,0.00,0.00,0.00,0.00,0.00
0.71040,104.941,0.000,0,0.000,0.012,0.001,0.013,0.001,0.012,0.001,0.0,-1,0.0,0.692,0.00,0.00,0.00,0.00,0.00,0.00
0.72980,104.941,0.000,0,0.000,0.013,0.002,0.013,0.006,0.013,0.002,0.0,-1,0.0,0.703,0.00,0.00,0.00,0.00,0.00,0.00
0.74002,104.941,0.000,0,0.000,0.010,0.001,0.013,0.005,0.010,0.001,0.0,-1,0.0,0.716,0.00,0.00,0.00,0.00,0.00,0.00
0.75008,104.941,0.000,0,0.000,0.010,0.000,0.014,0.005,0.010,0.000,0.0,-1,0.0,0.730,0.00,0.00,0.00,0.00,0.00,0.00
0.76030,104.941,0.000,0,0.000,0.012,-0.001,0.014,0.003,0.012,-0.001,0.0,-1,0.0,0.739,0.00,0.00,0.00,0.00,0.00,0.00
0.78005,104.941,0.000,0,0.000,0.011,0.001,0.014,0.007,0.011,0.001,0.0,-1,0.0,0.762,0.00,0.00,0.00,0.00,0.00,0.00
0.79027,104.941,0.000,0,0.000,0.011,0.005,0.014,0.004,0.011,0.005,0.0,-1,0.0,0.762,0.00,0.00,0.00,0.00,0.00,0.00
0.80968,104.941,0.000,0,0.000,0.008,0.002,0.014,0.002,0.008,0.002,0.0,-1,0.0,0.789,0.00,0.00,0.00,0.00,0.00,0.00
0.81991,104.941,0.000,0,0.000,0.007,0.002,0.014,0.003,0.007,0.002,0.0,-1,0.0,0.789,0.00,0.00,0.00,0.00,0.00,0.00
0.82996,104.941,0.000,0,0.000,0.009,0.000,0.014,0.002,0.009,0.000,0.0,-1,0.0,0.806,0.00,0.00,0.00,0.00,0.00,0.00
0.84018,104.941,0.000,0,0.000,0.009,0.001,0.014,0.004,0.009,0.001,0.0,-1,0.0,0.815,0.00,0.00,0.00,0.00,0.00,0.00
0.85960,104.854,-0.088,0,0.000,0.008,0.007,0.015,0.004,0.008,0.007,0.0,-1,0.0,0.839,0.00,0.00,0.00,0.00,0.00,0.00
0.86984,104.941,0.000,0,0.000,0.010,0.007,0.015,0.001,0.010,0.007,0.0,-1,0.0,0.851,0.00,0.00,0.00,0.00,0.00,0.00
0.87988,104.941,0.000,0,0.000,0.009,0.005,0.015,0.001,0.009,0.005,0.0,-1,0.0,0.851,0.00,0.00,0.00,0.00,0.00,0.00
0.89011,104.941,0.000,0,0.000,0.008,0.007,0.015,0.001,0.008,0.007,0.0,-1,0.0,0.864,0.00,0.00,0.00,0.00,0.00,0.00
0.90952,105.029,0.088,0,0.000,0.011,0.000,0.015,0.002,0.011,0.000,0.0,-1,0.0,0.888,0.00,0.00,0.00,0.00,0.00,0.00
0.91974,104.941,0.000,0,0.000,0.011,0.002,0.015,0.004,0.011,0.002,0.0,-1,0.0,0.901,0.00,0.00,0.00,0.00,0.00,0.00
0.92982,105.029,0.088,0,0.000,0.009,0.001,0.015,0.004,0.009,0.001,0.0,-1,0.0,0.911,0.00,0.00,0.00,0.00,0.00,0.00
0.94003,104.941,0.000,0,0.000,0.010,0.000,0.015,0.004,0.010,0.000,0.0,-1,0.0,0.911,0.00,0.00,0.00,0.00,0.00,0.00
0.95944,105.029,0.088,0,0.000,0.013,0.000,0.016,0.002,0.013,0.000,0.0,-1,0.0,0.932,0.00,0.00,0.00,0.00,0.00,0.00
0.96966,104.941,0.000,0,0.000,0.014,0.001,0.016,0.001,0.014,0.001,0.0,-1,0.0,0.945,0.00,0.00,0.00,0.00,0.00,0.00
0.97972,104.941,0.000,0,0.000,0.014,0.000,0.016,0.000,0.014,0.000,0.0,-1,0.0,0.956,0.00,0.00,0.00,0.00,0.00,0.00
0.98994,105.029,0.088,0,0.000,0.014,0.000,0.016,0.000,0.014,0.000,0.0,-1,0.0,0.967,0.00,0.00,0.00,0.00,0.00,0.00
1.00936,104.941,0.000,0,0.000,0.011,0.000,0.016,0.003,0.011,0.000,7.0,-1,-7.0,0.981,0.00,0.00,0.00,0.00,0.00,0.00
1.01959,105.029,0.088,0,0.000,0.011,0.000,0.016,0.005,0.011,0.000,13.4,-1,-13.4,0.996,0.00,0.00,0.00,0.00,0.00,0.00
1.02981,105.029,0.088,0,0.000,0.008,0.000,0.016,0.004,0.008,0.000,20.0,-1,-20.0,1.008,0.00,0.00,0.00,0.00,0.00,0.00
1.04947,105.029,0.088,0,0.000,0.013,0.003,0.017,0.006,0.013,0.003,33.4,-1,-33.4,1.020,0.00,0.00,0.00,0.00,0.00,0.00
