t_s,enc_x_deg,acc_x_deg,enc_y_deg,acc_y_deg,axW,ayW,azW,a_belt,v_belt,cmd_sps_x,cmd_dir_x,cmd_vel_x,steps_x,cmd_sps_y,cmd_dir_y,cmd_vel_y,steps_y,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.01789,94.043,0.000,302.695,0.000,0.005,0.011,0.006,0.011,0.012,0.0,1,0.0,0,0.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan
0.03748,94.043,0.000,302.607,-0.088,0.001,0.013,0.007,0.013,0.012,0.0,1,0.0,0,0.0,1,0.0,0,0.021,0.000,0.000,0.000,0.000,0.000,0.000
0.05768,94.043,0.000,302.695,0.000,0.001,0.010,0.007,0.010,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.041,0.000,0.000,0.000,0.000,0.000,0.000
0.07790,94.131,0.088,302.695,0.000,0.002,0.001,0.009,0.001,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.062,0.000,0.000,0.000,0.000,0.000,0.000
0.09809,94.043,0.000,302.695,0.000,0.004,-0.004,0.007,-0.004,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.076,0.000,0.000,0.000,0.000,0.000,0.000
0.11829,94.131,0.088,302.607,-0.088,0.013,-0.003,0.001,-0.003,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.101,0.000,0.000,0.000,0.000,0.000,0.000
0.13847,94.131,0.088,302.695,0.000,0.013,0.004,-0.001,0.004,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.125,0.000,0.000,0.000,0.000,0.000,0.000
0.15720,94.043,0.000,302.695,0.000,0.009,0.013,0.003,0.013,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.135,0.000,0.000,0.000,0.000,0.000,0.000
0.17741,94.043,0.000,302.607,-0.088,0.001,0.018,0.010,0.018,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.155,0.000,0.000,0.000,0.000,0.000,0.000
0.19759,94.131,0.088,302.607,-0.088,0.000,0.013,0.014,0.013,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.184,0.000,0.000,0.000,0.000,0.000,0.000
0.21779,94.043,0.000,302.607,-0.088,0.000,0.000,0.013,0.000,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.206,0.000,0.000,0.000,0.000,0.000,0.000
0.23800,94.043,0.000,302.607,-0.088,-0.002,-0.004,0.013,-0.004,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.217,0.000,0.000,0.000,0.000,0.000,0.000
0.25820,94.043,0.000,302.695,0.000,0.005,0.000,0.013,0.000,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.238,0.000,0.000,0.000,0.000,0.000,0.000
0.27839,94.043,0.000,302.695,0.000,0.011,0.011,0.010,0.011,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.254,0.000,0.000,0.000,0.000,0.000,0.000
0.29712,94.131,0.088,302.607,-0.088,0.012,0.017,0.008,0.017,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.277,0.000,0.000,0.000,0.000,0.000,0.000
0.31731,94.131,0.088,302.695,0.000,0.011,0.013,0.010,0.013,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.300,0.000,0.000,0.000,0.000,0.000,0.000
0.33751,94.131,0.088,302.695,0.000,0.004,0.007,0.011,0.007,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.324,0.000,0.000,0.000,0.000,0.000,0.000
0.35769,94.043,0.000,302.695,0.000,0.002,0.000,0.011,0.000,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.338,0.000,0.000,0.000,0.000,0.000,0.000
0.37789,94.131,0.088,302.607,-0.088,0.000,-0.002,0.007,-0.002,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.366,0.000,0.000,0.000,0.000,0.000,0.000
0.39810,94.131,0.088,302.695,0.000,-0.002,0.000,0.004,0.000,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.376,0.000,0.000,0.000,0.000,0.000,0.000
0.41954,94.043,0.000,302.695,0.000,0.000,0.012,0.009,0.012,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.397,0.000,0.000,0.000,0.000,0.000,0.000
0.43752,94.131,0.088,302.695,0.000,0.011,0.013,0.011,0.013,0.015,0.0,1,0.0,0,0.0,1,0.0,0,0.418,0.000,0.000,0.000,0.000,0.000,0.000
0.45773,94.131,0.088,302.607,-0.088,0.009,0.014,0.014,0.014,0.015,0.0,1,0.0,0,0.0,1,0.0,0,0.431,0.000,0.000,0.000,0.000,0.000,0.000
0.47791,94.043,0.000,302.695,0.000,0.009,0.006,0.013,0.006,0.015,0.0,1,0.0,0,0.0,1,0.0,0,0.461,0.000,0.000,0.000,0.000,0.000,0.000
0.49663,94.131,0.088,302.607,-0.088,0.006,0.002,0.012,0.002,0.015,0.0,1,0.0,0,0.0,1,0.0,0,0.470,0.000,0.000,0.000,0.000,0.000,0.000
0.51682,94.043,0.000,302.695,0.000,0.004,0.001,0.016,0.001,0.015,0.0,1,0.0,0,0.0,1,0.0,0,0.497,0.000,0.000,0.000,0.000,0.000,0.000
0.53702,94.043,0.000,302.695,0.000,0.000,0.010,0.017,0.010,0.015,0.0,1,0.0,0,0.0,1,0.0,0,0.506,0.000,0.000,0.000,0.000,0.000,0.000
0.55718,94.043,0.000,302.695,0.000,-0.002,0.012,0.014,0.012,0.016,0.0,1,0.0,0,0.0,1,0.0,0,0.540,0.000,0.000,0.000,0.000,0.000,0.000
0.57739,94.131,0.088,302.695,0.000,0.000,0.010,0.012,0.010,0.016,0.0,1,0.0,0,0.0,1,0.0,0,0.559,0.000,0.000,0.000,0.000,0.000,0.000
0.59759,94.219,0.176,302.695,0.000,0.004,0.010,0.014,0.010,0.016,0.0,1,0.0,0,0.0,1,0.0,0,0.573,0.000,0.000,0.000,0.000,0.000,0.000
0.61777,94.131,0.088,302.607,-0.088,0.010,0.007,0.016,0.007,0.016,0.0,1,0.0,0,0.0,1,0.0,0,0.585,0.000,0.000,0.000,0.000,0.000,0.000
0.63650,94.131,0.088,302.607,-0.088,0.009,0.007,0.016,0.007,0.016,0.0,1,0.0,0,0.0,1,0.0,0,0.619,0.000,0.000,0.000,0.000,0.000,0.000
0.65668,94.131,0.088,302.695,0.000,0.011,0.005,0.015,0.005,0.016,0.0,1,0.0,0,0.0,1,0.0,0,0.638,0.000,0.000,0.000,0.000,0.000,0.000
0.67689,94.043,0.000,302.607,-0.088,0.005,0.006,0.017,0.006,0.017,0.0,1,0.0,0,0.0,1,0.0,0,0.651,0.000,0.000,0.000,0.000,0.000,0.000
0.69749,94.043,0.000,302.607,-0.088,0.000,0.010,0.017,0.010,0.017,0.0,1,0.0,0,0.0,1,0.0,0,0.679,0.000,0.000,0.000,0.000,0.000,0.000
0.71621,94.131,0.088,302.607,-0.088,-0.001,0.011,0.014,0.011,0.017,0.0,1,0.0,0,0.0,1,0.0,0,0.690,0.000,0.000,0.000,0.000,0.000,0.000
0.73641,94.043,0.000,302.607,-0.088,-0.002,0.014,0.009,0.014,0.017,0.0,1,0.0,0,0.0,1,0.0,0,0.711,0.000,0.000,0.000,0.000,0.000,0.000
0.75662,94.131,0.088,302.607,-0.088,0.008,0.014,0.010,0.014,0.017,0.0,1,0.0,0,0.0,1,0.0,0,0.739,0.000,0.000,0.000,0.000,0.000,0.000
0.77681,94.043,0.000,302.695,0.000,0.020,0.013,0.010,0.013,0.018,0.0,1,0.0,0,0.0,1,0.0,0,0.761,0.000,0.000,0.000,0.000,0.000,0.000
0.79700,94.043,0.000,302.607,-0.088,0.025,0.013,0.008,0.013,0.018,0.0,1,0.0,0,0.0,1,0.0,0,0.771,0.000,0.000,0.000,0.000,0.000,0.000
0.81767,94.131,0.088,302.607,-0.088,0.019,0.010,0.011,0.010,0.018,0.0,1,0.0,0,0.0,1,0.0,0,0.802,0.000,0.000,0.000,0.000,0.000,0.000
0.83744,94.043,0.000,302.695,0.000,0.005,0.001,0.015,0.001,0.018,0.0,1,0.0,0,0.0,1,0.0,0,0.808,0.000,0.000,0.000,0.000,0.000,0.000
0.85615,94.043,0.000,302.695,0.000,-0.010,0.001,0.008,0.001,0.018,0.0,1,0.0,0,0.0,1,0.0,0,0.839,0.000,0.000,0.000,0.000,0.000,0.000
0.87634,94.131,0.088,302.695,0.000,-0.011,0.001,0.009,0.001,0.018,0.0,1,0.0,0,0.0,1,0.0,0,0.859,0.000,0.000,0.000,0.000,0.000,0.000
0.89654,94.043,0.000,302.607,-0.088,-0.010,0.005,0.004,0.005,0.018,0.0,1,0.0,0,0.0,1,0.0,0,0.876,0.000,0.000,0.000,0.000,0.000,0.000
0.91675,94.131,0.088,302.695,0.000,0.001,0.010,0.007,0.010,0.019,0.0,1,0.0,0,0.0,1,0.0,0,0.895,0.000,0.000,0.000,0.000,0.000,0.000
0.93694,94.043,0.000,302.607,-0.088,0.015,0.014,0.009,0.014,0.019,0.0,1,0.0,0,0.0,1,0.0,0,0.916,0.000,0.000,0.000,0.000,0.000,0.000
0.95714,94.043,0.000,302.695,0.000,0.022,0.017,0.008,0.017,0.019,0.0,1,0.0,0,0.0,1,0.0,0,0.944,0.000,0.000,0.000,0.000,0.000,0.000
0.97586,94.131,0.088,302.607,-0.088,0.022,0.011,0.013,0.011,0.019,0.0,1,0.0,0,0.0,1,0.0,0,0.954,0.000,0.000,0.000,0.000,0.000,0.000
0.99607,94.131,0.088,302.695,0.000,0.017,0.010,0.012,0.010,0.020,0.0,1,0.0,0,0.0,1,0.0,0,0.975,0.000,0.000,0.000,0.000,0.000,0.000
1.01626,72.686,-21.357,269.209,-33.486,0.275,1.486,0.716,1.486,0.035,2000.0,1,2000.0,29,2400.0,-1,-2400.0,-39,0.997,0.000,0.000,0.000,0.000,0.000,0.000
1.03647,44.561,-49.482,224.473,-78.223,0.127,0.749,0.060,0.749,0.056,2000.0,1,2000.0,65,2400.0,-1,-2400.0,-88,1.017,0.000,0.000,0.000,0.000,0.000,0.000
1.05666,12.305,-81.738,178.682,-124.014,0.163,0.547,0.145,0.547,0.072,2000.0,1,2000.0,101,2400.0,-1,-2400.0,-137,1.035,0.000,0.000,0.000,0.000,0.000,0.000
1.07685,330.820,-123.223,133.594,-169.102,-0.020,0.649,-0.032,0.649,0.085,1841.7,1,1841.7,142,2283.6,-1,-2283.6,-186,1.059,3.958,1.455,4.161,1.749,268.520,112.907
1.09705,295.840,-158.203,93.164,-209.531,0.065,-0.005,-0.065,-0.005,0.090,1658.9,1,1658.9,178,2260.5,-1,-2260.5,-231,1.080,8.527,1.743,2.974,1.398,275.184,129.341
