t_s,enc_x_deg,acc_x_deg,enc_y_deg,acc_y_deg,axW,ayW,azW,a_belt,v_belt,cmd_sps_x,cmd_dir_x,cmd_vel_x,steps_x,cmd_sps_y,cmd_dir_y,cmd_vel_y,steps_y,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.01939,50.537,0.000,62.666,0.000,0.010,-0.010,0.006,-0.010,-0.029,0.0,1,0.0,0,0.0,1,0.0,0,222.735,-9.234,50.624,0.000,0.000,0.000,0.000
0.03881,50.537,0.000,62.666,0.000,0.014,-0.003,0.000,-0.003,-0.029,0.0,1,0.0,0,0.0,1,0.0,0,0.016,-9.234,50.624,0.000,0.000,0.000,0.000
0.05899,50.625,0.088,62.578,-0.088,0.016,0.005,-0.008,0.005,-0.029,0.0,1,0.0,0,0.0,1,0.0,0,0.036,-9.234,50.624,0.000,0.000,0.000,0.000
0.07921,50.537,0.000,62.578,-0.088,0.014,0.019,-0.017,0.019,-0.029,0.0,1,0.0,0,0.0,1,0.0,0,0.058,-9.234,50.624,0.000,0.000,0.000,0.000
0.09791,50.537,0.000,62.666,0.000,0.017,0.026,-0.017,0.026,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.070,-9.234,50.624,0.000,0.000,0.000,0.000
0.11811,50.537,0.000,62.578,-0.088,0.018,0.020,-0.007,0.020,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.094,-9.234,50.624,0.000,0.000,0.000,0.000
0.13829,50.537,0.000,62.754,0.088,0.018,0.010,0.014,0.010,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.109,-9.234,50.624,0.000,0.000,0.000,0.000
0.15848,50.537,0.000,62.666,0.000,0.026,0.000,0.028,0.000,-0.027,0.0,1,0.0,0,0.0,1,0.0,0,0.141,-9.234,50.624,0.000,0.000,0.000,0.000
0.17867,50.537,0.000,62.666,0.000,0.041,-0.007,0.022,-0.007,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.163,-9.234,50.624,0.000,0.000,0.000,0.000
0.19887,50.537,0.000,62.666,0.000,0.053,-0.012,0.024,-0.012,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.174,-9.234,50.624,0.000,0.000,0.000,0.000
0.21908,50.537,0.000,62.666,0.000,0.045,-0.011,0.021,-0.011,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.197,-9.234,50.624,0.000,0.000,0.000,0.000
0.23778,50.537,0.000,62.666,0.000,0.038,-0.004,0.018,-0.004,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.218,-9.234,50.624,0.000,0.000,0.000,0.000
0.25798,50.537,0.000,62.578,-0.088,0.035,0.002,0.020,0.002,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.235,-9.234,50.624,0.000,0.000,0.000,0.000
0.27816,50.537,0.000,62.578,-0.088,0.036,0.004,0.032,0.004,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.247,-9.234,50.624,0.000,0.000,0.000,0.000
0.29837,50.625,0.088,62.666,0.000,0.043,0.004,0.032,0.004,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.278,-9.234,50.624,0.000,0.000,0.000,0.000
0.31855,50.537,0.000,62.666,0.000,0.053,0.007,0.025,0.007,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.300,-9.234,50.624,0.000,0.000,0.000,0.000
0.33875,50.449,-0.088,62.666,0.000,0.053,0.001,0.028,0.001,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.320,-9.234,50.624,0.000,0.000,0.000,0.000
0.35747,50.449,-0.088,62.666,0.000,0.042,0.001,0.014,0.001,-0.028,0.0,1,0.0,0,0.0,1,0.0,0,0.337,-9.234,50.624,0.000,0.000,0.000,0.000
