t_s,enc_x_deg,acc_x_deg,enc_y_deg,acc_y_deg,axW,ayW,azW,a_belt,v_belt,cmd_sps_x,cmd_dir_x,cmd_vel_x,steps_x,cmd_sps_y,cmd_dir_y,cmd_vel_y,steps_y,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.03735,229.834,0.000,83.936,0.088,0.006,0.002,0.001,0.002,0.013,0.0,1,0.0,0,0.0,1,0.0,0,46.918,0.000,0.000,0.000,0.000,0.000,0.000
0.05753,229.834,0.000,83.936,0.088,0.008,0.002,0.002,0.002,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.040,0.000,0.000,0.000,0.000,0.000,0.000
0.07775,229.922,0.088,83.936,0.088,0.005,0.007,0.000,0.007,0.013,0.0,1,0.0,0,0.0,1,0.0,0,0.063,0.000,0.000,0.000,0.000,0.000,0.000
0.09796,229.922,0.088,83.936,0.088,0.006,0.005,0.005,0.005,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.073,0.000,0.000,0.000,0.000,0.000,0.000
0.11815,229.922,0.088,83.848,0.000,0.010,0.001,0.004,0.001,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.101,0.000,0.000,0.000,0.000,0.000,0.000
0.13834,229.834,0.000,83.848,0.000,0.009,0.002,0.000,0.002,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.126,0.000,0.000,0.000,0.000,0.000,0.000
0.15855,229.922,0.088,83.936,0.088,0.005,-0.002,0.001,-0.002,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.137,0.000,0.000,0.000,0.000,0.000,0.000
0.17726,229.922,0.088,83.848,0.000,0.006,0.002,0.004,0.002,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.160,0.000,0.000,0.000,0.000,0.000,0.000
0.19746,229.834,0.000,83.936,0.088,0.008,0.004,0.004,0.004,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.181,0.000,0.000,0.000,0.000,0.000,0.000
0.21765,229.834,0.000,83.936,0.088,0.005,0.002,0.003,0.002,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.200,0.000,0.000,0.000,0.000,0.000,0.000
0.23785,229.834,0.000,83.936,0.088,0.007,0.004,0.001,0.004,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.211,0.000,0.000,0.000,0.000,0.000,0.000
0.25806,229.834,0.000,83.936,0.088,0.002,0.005,0.000,0.005,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.239,0.000,0.000,0.000,0.000,0.000,0.000
0.27825,229.922,0.088,83.936,0.088,0.001,0.007,0.000,0.007,0.014,0.0,1,0.0,0,0.0,1,0.0,0,0.261,0.000,0.000,0.000,0.000,0.000,0.000
