t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.002665,86.3965,0.0000,0,0.0000,0.269946,0.810523,0.107739,0.269946,-0.053271,12.60,1,12.60,30.001028,-0.251,-0.183,0.000,0.000,0.000,0.000
0.012697,86.3086,-0.0879,0,0.0000,0.324414,0.813778,0.132280,0.324414,-0.061651,76.25,1,76.25,30.001028,-0.251,-0.183,0.000,0.000,0.000,0.000
0.022670,86.2207,-0.1758,0,0.0000,0.215478,0.815927,0.026935,0.215478,-0.031125,141.01,1,141.01,30.001028,-0.251,-0.183,0.000,0.000,0.000,0.000
0.032534,86.2207,-0.1758,0,0.0000,0.126294,0.817173,0.016161,0.126294,-0.021548,206.81,1,206.81,0.002665,-0.906,-0.753,0.000,0.000,0.000,0.000
0.042521,86.2207,-0.1758,0,0.0000,0.096367,0.818135,-0.023343,0.096367,-0.016161,273.57,1,273.57,0.012697,4.938,-0.259,5.844,0.494,237.816,20.094
0.052497,86.3086,-0.0879,0,0.0000,0.074220,0.818875,-0.009577,0.074220,-0.013168,341.20,1,341.20,0.012697,4.938,-0.259,5.844,0.494,237.816,20.094
0.062483,86.2207,-0.1758,0,0.0000,0.066439,0.819539,-0.038906,0.066439,0.001197,409.59,1,409.59,0.032534,4.075,-0.259,-0.863,0.000,-63.614,0.000
0.072475,86.2207,-0.1758,0,0.0000,0.053271,0.820071,-0.018555,0.053271,0.000599,478.65,1,478.65,0.042521,4.075,-0.259,0.000,0.000,0.000,0.000
0.082466,83.2324,-3.1641,0,0.0000,1.034295,0.830406,0.013767,1.034295,0.001796,548.25,1,548.25,0.062483,3.696,-0.259,-0.379,0.000,-28.667,0.000
0.092437,79.0137,-7.3828,0,0.0000,0.368109,0.834076,0.024541,0.368109,0.005387,618.28,1,618.28,0.062483,3.696,-0.259,-0.379,0.000,-28.667,0.000
0.102561,74.8828,-11.5137,0,0.0000,0.340575,0.837524,-0.107141,0.340575,0.032920,688.61,1,688.61,0.072475,3.696,-0.259,0.000,0.000,0.000,0.000
0.112553,70.7520,-15.6445,0,0.0000,0.383072,0.841351,0.055665,0.383072,0.023942,759.08,1,759.08,0.092437,2.351,-0.020,-1.345,0.239,-111.264,19.774
0.122388,66.6211,-19.7754,0,0.0000,0.227449,0.843589,-0.060454,0.227449,0.023343,829.56,1,829.56,0.092437,2.351,-0.020,-1.345,0.239,-111.264,19.774
0.132489,62.3145,-24.0820,0,0.0000,0.241814,0.846031,0.086191,0.241814,0.025139,899.88,1,899.88,0.102561,0.581,0.103,-1.771,0.123,-136.431,9.470
0.142480,58.2715,-28.1250,0,0.0000,0.165798,0.847687,0.020949,0.165798,0.032322,969.87,1,969.87,0.112553,-0.037,0.103,-0.618,0.000,-25.242,0.000
0.152449,50.5371,-35.8594,0,0.0000,0.555455,0.853225,0.085593,0.555455,0.009577,1039.37,1,1039.37,0.112553,-0.037,0.103,-0.618,0.000,-25.242,0.000
0.162434,42.1875,-44.2090,0,0.0000,0.438737,0.857606,0.104148,0.438737,0.001197,1108.18,1,1108.18,0.132489,1.713,0.292,1.750,0.189,137.221,14.802
0.172437,33.7500,-52.6465,0,0.0000,0.276530,0.860372,0.040103,0.276530,0.002993,1176.11,1,1176.11,0.142480,1.713,0.292,0.000,0.000,0.000,0.000
0.182275,25.0488,-61.3477,0,0.0000,0.145448,0.861803,0.057461,0.145448,0.004788,1242.96,1,1242.96,0.142480,1.713,0.292,0.000,0.000,0.000,0.000
0.192392,15.9082,-70.4883,0,0.0000,-0.029928,0.861500,-0.043096,-0.029928,0.019154,1308.53,1,1308.53,0.162434,0.446,0.182,-1.267,-0.110,-101.047,-8.782
0.202386,6.5918,-79.8047,0,0.0000,0.003591,0.861536,-0.020351,0.003591,0.024541,1372.60,1,1372.60,0.172437,0.226,0.100,-0.220,-0.081,-8.887,-3.278
0.212220,357.3633,-89.0332,0,0.0000,0.124498,0.862760,0.004190,0.124498,0.023343,1434.93,1,1434.93,0.172437,0.226,0.100,-0.220,-0.081,-8.887,-3.278
0.222341,342.9492,-103.4473,0,0.0000,0.042497,0.863191,-0.084396,0.042497,0.065242,1495.31,1,1495.31,0.192392,0.226,0.100,0.000,0.000,0.000,0.000
0.232328,328.6230,-117.7734,0,0.0000,-0.165798,0.861535,0.036512,-0.165798,0.045490,1553.50,1,1553.50,0.202386,2.002,0.231,1.776,0.131,121.048,8.933
0.242301,314.2969,-132.0996,0,0.0000,0.006584,0.861600,0.065242,0.006584,0.000599,1609.26,1,1609.26,0.202386,2.002,0.231,1.776,0.131,121.048,8.933
0.252292,300.2344,-146.1621,0,0.0000,-0.129287,0.860309,0.081403,-0.129287,-0.022146,1662.35,1,1662.35,0.222341,2.002,0.231,0.000,0.000,0.000,0.000
0.262266,286.7871,-159.6094,0,0.0000,-0.000599,0.860303,0.001197,-0.000599,-0.012570,1712.51,1,1712.51,0.222341,2.002,0.231,0.000,0.000,0.000,0.000
0.272242,273.6035,-172.7930,0,0.0000,0.093374,0.861234,-0.021548,0.093374,-0.030526,1759.49,1,1759.49,0.252292,2.468,0.231,0.466,0.000,34.223,0.000
0.282230,260.6836,-185.7129,0,0.0000,0.231639,0.863548,-0.025139,0.231639,-0.013168,1803.04,1,1803.04,0.262266,3.417,0.231,0.949,0.000,40.564,0.000
0.292209,247.9395,-198.4570,0,0.0000,0.233435,0.865877,0.029928,0.233435,0.011372,1842.92,1,1842.92,0.262266,3.417,0.231,0.949,0.000,40.564,0.000
0.302190,235.1953,-211.2012,0,0.0000,0.254982,0.868422,0.068833,0.254982,0.011971,1878.86,1,1878.86,0.272242,4.769,0.231,1.352,0.000,109.781,0.000
0.312191,222.0117,-224.3848,0,0.0000,-0.098761,0.867434,0.019154,-0.098761,-0.000599,1910.62,1,1910.62,0.282230,5.423,0.385,0.654,0.154,51.704,12.152
0.322163,208.5645,-237.8320,0,0.0000,-0.099359,0.866444,0.027533,-0.099359,0.014964,1937.95,1,1937.95,0.282230,5.423,0.385,0.654,0.154,51.704,12.152
0.332148,194.7656,-251.6309,0,0.0000,0.195127,0.868392,0.055665,0.195127,0.021548,1960.60,1,1960.60,0.302190,5.733,0.385,0.310,0.000,22.158,0.000
