t_s,enc_x_deg,acc_x_deg,enc_y_deg,acc_y_deg,axW,ayW,azW,a_belt,v_belt,cmd_sps_x,cmd_dir_x,cmd_vel_x,steps_x,cmd_sps_y,cmd_dir_y,cmd_vel_y,steps_y,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.01079,215.859,0.000,69.785,0.000,0.001,0.004,0.013,0.004,0.008,0.0,1,0.0,0,0.0,1,0.0,0,470.233,0.446,0.179,0.000,0.000,0.000,0.000
0.02149,215.771,-0.088,69.785,0.000,0.001,0.004,0.012,0.004,0.008,0.0,1,0.0,0,0.0,1,0.0,0,0.009,0.000,0.000,0.000,0.000,0.000,0.000
0.03159,215.771,-0.088,69.785,0.000,0.001,0.005,0.008,0.005,0.009,0.0,1,0.0,0,0.0,1,0.0,0,0.009,0.000,0.000,0.000,0.000,0.000,0.000
0.04172,215.859,0.000,69.697,-0.088,0.001,0.004,0.010,0.004,0.009,0.0,1,0.0,0,0.0,1,0.0,0,0.021,0.000,0.000,0.000,0.000,0.000,0.000
0.05184,215.947,0.088,69.785,0.000,0.004,0.007,0.003,0.007,0.009,0.0,1,0.0,0,0.0,1,0.0,0,0.034,0.000,0.000,0.000,0.000,0.000,0.000
0.06195,215.859,0.000,69.785,0.000,0.005,0.003,0.003,0.003,0.009,0.0,1,0.0,0,0.0,1,0.0,0,0.044,0.000,0.000,0.000,0.000,0.000,0.000
0.07204,215.859,0.000,69.785,0.000,0.006,0.001,0.002,0.001,0.009,0.0,1,0.0,0,0.0,1,0.0,0,0.044,0.000,0.000,0.000,0.000,0.000,0.000
0.08216,215.859,0.000,69.785,0.000,0.007,0.001,0.006,0.001,0.009,0.0,1,0.0,0,0.0,1,0.0,0,0.065,0.000,0.000,0.000,0.000,0.000,0.000
0.09225,215.859,0.000,69.697,-0.088,0.005,0.002,0.009,0.002,0.009,0.0,1,0.0,0,0.0,1,0.0,0,0.065,0.000,0.000,0.000,0.000,0.000,0.000
0.10237,215.859,0.000,69.785,0.000,0.008,0.002,0.007,0.002,0.009,0.0,1,0.0,0,0.0,1,0.0,0,0.075,0.000,0.000,0.000,0.000,0.000,0.000
0.11248,215.859,0.000,69.785,0.000,0.008,0.002,0.005,0.002,0.009,0.0,1,0.0,0,0.0,1,0.0,0,0.088,0.000,0.000,0.000,0.000,0.000,0.000
0.12260,215.859,0.000,69.785,0.000,0.010,0.004,0.005,0.004,0.009,0.0,1,0.0,0,0.0,1,0.0,0,0.100,0.000,0.000,0.000,0.000,0.000,0.000
0.13270,215.859,0.000,69.785,0.000,0.007,0.005,0.011,0.005,0.009,0.0,1,0.0,0,0.0,1,0.0,0,0.120,0.000,0.000,0.000,0.000,0.000,0.000
