t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.01072,49.922,0.000,0,0.000,0.005,0.007,0.002,0.005,0.011,1250.0,1,1250.0,267.781,16274.20,0.00,0.00,0.00,0.00,0.00
0.02077,49.922,0.000,0,0.000,0.006,0.007,0.001,0.006,0.020,1250.0,1,1250.0,274.208,0.00,0.00,0.00,0.00,0.00,0.00
0.03100,49.922,0.000,0,0.000,0.005,0.007,0.004,0.005,0.016,1250.0,1,1250.0,0.009,0.00,0.00,0.00,0.00,0.00,0.00
0.04105,49.922,0.000,0,0.000,0.004,0.007,0.006,0.004,0.014,1250.0,1,1250.0,0.009,0.00,0.00,0.00,0.00,0.00,0.00
0.05128,50.010,0.088,0,0.000,0.004,0.007,0.008,0.004,0.014,1250.0,1,1250.0,0.032,0.00,0.00,0.00,0.00,0.00,0.00
0.07069,50.010,0.088,0,0.000,0.002,0.007,0.006,0.002,0.010,1250.0,1,1250.0,0.042,0.00,0.00,0.00,0.00,0.00,0.00
0.08092,49.922,0.000,0,0.000,0.003,0.008,0.005,0.003,0.011,1250.0,1,1250.0,0.055,0.00,0.00,0.00,0.00,0.00,0.00
0.09097,49.922,0.000,0,0.000,0.003,0.008,0.004,0.003,0.007,1250.0,1,1250.0,0.067,0.00,0.00,0.00,0.00,0.00,0.00
0.10120,49.922,0.000,0,0.000,0.001,0.008,0.005,0.001,0.008,1250.0,1,1250.0,0.080,0.00,0.00,0.00,0.00,0.00,0.00
0.12061,49.922,0.000,0,0.000,0.003,0.008,0.004,0.003,0.008,1250.0,1,1250.0,0.103,0.00,0.00,0.00,0.00,0.00,0.00
0.13089,49.922,0.000,0,0.000,0.007,0.008,0.004,0.007,0.007,1250.0,1,1250.0,0.103,0.00,0.00,0.00,0.00,0.00,0.00
0.14094,49.922,0.000,0,0.000,0.006,0.008,0.004,0.006,0.009,1250.0,1,1250.0,0.115,0.00,0.00,0.00,0.00,0.00,0.00
0.16053,49.922,0.000,0,0.000,0.007,0.008,0.003,0.007,0.010,1250.0,1,1250.0,0.131,0.00,0.00,0.00,0.00,0.00,0.00
0.17058,49.922,0.000,0,0.000,0.007,0.008,0.005,0.007,0.010,1250.0,1,1250.0,0.145,0.00,0.00,0.00,0.00,0.00,0.00
0.18081,49.922,0.000,0,0.000,0.008,0.008,0.004,0.008,0.011,1250.0,1,1250.0,0.158,0.00,0.00,0.00,0.00,0.00,0.00
0.19086,49.922,0.000,0,0.000,0.009,0.008,0.004,0.009,0.004,1250.0,1,1250.0,0.168,0.00,0.00,0.00,0.00,0.00,0.00
0.21045,49.922,0.000,0,0.000,0.010,0.008,0.005,0.010,0.005,1250.0,1,1250.0,0.180,0.00,0.00,0.00,0.00,0.00,0.00
0.23052,49.922,0.000,0,0.000,0.006,0.008,0.003,0.006,0.001,1250.0,1,1250.0,0.206,0.00,0.00,0.00,0.00,0.00,0.00
0.24057,49.922,0.000,0,0.000,0.008,0.008,0.001,0.008,-0.002,1250.0,1,1250.0,0.218,0.00,0.00,0.00,0.00,0.00,0.00
