t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.01999,169.365,0.000,0,0.000,0.005,0.006,0.006,0.005,-0.002,1000.0,1,1000.0,0.001,0.00,0.00,0.00,0.00,0.00,0.00
0.03021,169.365,0.000,0,0.000,0.007,0.006,0.002,0.007,0.000,1000.0,1,1000.0,0.014,0.00,0.00,0.00,0.00,0.00,0.00
0.04962,169.365,0.000,0,0.000,0.007,0.006,0.005,0.007,0.001,1000.0,1,1000.0,0.025,0.00,0.00,0.00,0.00,0.00,0.00
0.05985,169.365,0.000,0,0.000,0.006,0.006,0.005,0.006,0.001,1000.0,1,1000.0,0.042,0.00,0.00,0.00,0.00,0.00,0.00
0.06991,169.277,-0.088,0,0.000,0.007,0.006,0.004,0.007,0.002,1000.0,1,1000.0,0.042,0.00,0.00,0.00,0.00,0.00,0.00
0.08013,169.365,0.000,0,0.000,0.003,0.006,0.002,0.003,0.004,1000.0,1,1000.0,0.058,0.00,0.00,0.00,0.00,0.00,0.00
0.09955,169.365,0.000,0,0.000,0.001,0.006,0.000,0.001,0.007,1000.0,1,1000.0,0.069,0.00,0.00,0.00,0.00,0.00,0.00
0.10977,169.365,0.000,0,0.000,0.004,0.006,0.000,0.004,0.002,1000.0,1,1000.0,0.086,0.00,0.00,0.00,0.00,0.00,0.00
0.11983,169.277,-0.088,0,0.000,0.003,0.007,0.001,0.003,0.000,1000.0,1,1000.0,0.097,0.00,0.00,0.00,0.00,0.00,0.00
0.13005,169.277,-0.088,0,0.000,0.003,0.007,0.004,0.003,-0.001,1000.0,1,1000.0,0.114,0.00,0.00,0.00,0.00,0.00,0.00
0.14955,169.277,-0.088,0,0.000,0.002,0.007,0.005,0.002,0.002,1000.0,1,1000.0,0.136,0.00,0.00,0.00,0.00,0.00,0.00
0.15961,169.277,-0.088,0,0.000,0.001,0.007,0.007,0.001,0.001,1000.0,1,1000.0,0.136,0.00,0.00,0.00,0.00,0.00,0.00
