t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.01305,208.213,-0.088,0,0.000,0.001,0.007,0.005,0.001,-0.005,1000.0,1,1000.0,nan,nan,nan,nan,nan,nan,nan
0.02310,208.213,-0.088,0,0.000,0.001,0.007,0.006,0.001,-0.005,1000.0,1,1000.0,nan,nan,nan,nan,nan,nan,nan
0.03333,208.213,-0.088,0,0.000,0.002,0.007,0.004,0.002,-0.001,1000.0,1,1000.0,0.006,0.00,0.00,0.00,0.00,0.00,0.00
0.05274,208.213,-0.088,0,0.000,0.007,0.007,0.003,0.007,0.001,1000.0,1,1000.0,0.029,0.00,0.00,0.00,0.00,0.00,0.00
0.06297,208.213,-0.088,0,0.000,0.003,0.007,0.002,0.003,0.002,1000.0,1,1000.0,0.039,0.00,0.00,0.00,0.00,0.00,0.00
0.07304,208.213,-0.088,0,0.000,0.002,0.007,0.001,0.002,0.003,1000.0,1,1000.0,0.053,0.00,0.00,0.00,0.00,0.00,0.00
0.08325,208.301,0.000,0,0.000,0.002,0.007,0.002,0.002,0.001,1000.0,1,1000.0,0.053,0.00,0.00,0.00,0.00,0.00,0.00
0.10266,208.213,-0.088,0,0.000,0.005,0.007,0.005,0.005,0.003,1000.0,1,1000.0,0.079,0.00,0.00,0.00,0.00,0.00,0.00
0.11289,208.213,-0.088,0,0.000,0.006,0.008,0.008,0.006,0.004,1000.0,1,1000.0,0.091,0.00,0.00,0.00,0.00,0.00,0.00
0.12295,208.125,-0.176,0,0.000,0.004,0.008,0.008,0.004,0.005,1000.0,1,1000.0,0.101,0.00,0.00,0.00,0.00,0.00,0.00
0.13314,208.213,-0.088,0,0.000,0.004,0.008,0.008,0.004,0.002,1000.0,1,1000.0,0.111,0.00,0.00,0.00,0.00,0.00,0.00
0.15272,208.301,0.000,0,0.000,0.005,0.008,0.008,0.005,0.001,1000.0,1,1000.0,0.132,0.00,0.00,0.00,0.00,0.00,0.00
0.16278,208.213,-0.088,0,0.000,0.004,0.008,0.009,0.004,0.001,1000.0,1,1000.0,0.139,0.00,0.00,0.00,0.00,0.00,0.00
0.17300,208.213,-0.088,0,0.000,0.002,0.008,0.010,0.002,0.000,1000.0,1,1000.0,0.149,0.00,0.00,0.00,0.00,0.00,0.00
0.18306,208.301,0.000,0,0.000,0.002,0.008,0.008,0.002,0.000,1000.0,1,1000.0,0.161,0.00,0.00,0.00,0.00,0.00,0.00
0.20264,208.213,-0.088,0,0.000,0.004,0.008,0.007,0.004,0.001,1000.0,1,1000.0,0.181,0.00,0.00,0.00,0.00,0.00,0.00
