t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.011376,270.5273,0.0000,0,0.0000,0.616507,1.856453,-0.055067,0.616507,0.088585,2000.00,1,2000.00,7.501117,0.123,0.053,0.000,0.000,0.000,0.000
0.021401,257.4316,-13.0957,0,0.0000,0.661997,1.863091,-0.009577,0.661997,-0.096367,2000.00,1,2000.00,7.501117,0.123,0.053,0.000,0.000,0.000,0.000
0.031264,244.8633,-25.6641,0,0.0000,0.474650,1.867772,-0.076016,0.474650,-0.062249,2000.00,1,2000.00,7.501117,0.000,0.000,0.000,0.000,0.000,0.000
0.041377,232.0312,-38.4961,0,0.0000,0.457293,1.872396,-0.070030,0.457293,-0.057461,2000.00,1,2000.00,7.501117,0.000,0.000,0.000,0.000,0.000,0.000
0.051244,218.9355,-51.5918,0,0.0000,0.390255,1.876247,-0.044293,0.390255,-0.037110,2000.00,1,2000.00,0.021401,0.000,0.000,0.000,0.000,0.000,0.000
0.061239,205.4004,-65.1270,0,0.0000,0.160412,1.877850,-0.012570,0.160412,-0.057461,2000.00,1,2000.00,0.031264,0.000,0.000,0.000,0.000,0.000,0.000
0.071211,191.2500,-79.2773,0,0.0000,-0.046088,1.877391,-0.053271,-0.046088,0.018555,2000.00,1,2000.00,0.031264,0.000,0.000,0.000,0.000,0.000,0.000
0.142203,92.0215,-178.5059,0,0.0000,0.053870,1.881215,0.056862,0.053870,-0.005986,2000.00,1,2000.00,0.051244,0.000,0.000,0.000,0.000,0.000,0.000
0.143631,90.1758,-180.3516,0,0.0000,-0.143054,1.881011,0.033519,-0.143054,-0.006584,2000.00,1,2000.00,0.061239,0.000,0.000,0.000,2.597,0.163,2.726
0.151061,80.8594,-189.6680,0,0.0000,-0.247800,1.879170,-0.008380,-0.247800,-0.000599,2000.00,1,2000.00,0.061239,0.000,0.000,0.000,2.597,0.163,2.726
0.161052,68.6426,-201.8848,0,0.0000,-0.378284,1.875390,-0.032920,-0.378284,-0.010774,2000.00,1,2000.00,0.071211,2.653,-0.095,0.056,-0.258,2.315,-10.712
0.236196,327.6562,-302.8711,0,0.0000,0.071227,1.880742,-0.043096,0.071227,0.026336,2000.00,1,2000.00,0.143631,6.817,0.180,4.164,0.275,255.153,16.831
0.237609,325.6348,-304.8926,0,0.0000,-0.099359,1.880602,-0.082600,-0.099359,0.017358,2000.00,1,2000.00,0.143631,6.817,0.180,4.164,0.275,255.153,16.831
0.241024,320.7129,-309.8145,0,0.0000,-0.126294,1.880171,-0.070030,-0.126294,0.009577,2000.00,1,2000.00,0.143631,6.817,0.180,4.164,0.275,255.153,16.831
