t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.010961,127.0020,0.0000,0,0.0000,-1.287482,-3.876392,-0.274136,-1.287482,0.079009,3000.00,1,3000.00,20.018368,0.058,0.000,0.000,0.000,0.000,0.000
0.021016,99.7559,-27.2461,0,0.0000,-1.784877,-3.894339,-0.046088,-1.784877,-0.186748,3000.00,1,3000.00,20.018368,0.058,20.018,0.000,0.000,0.000,0.000
0.031014,74.3555,-52.6465,0,0.0000,-1.432331,-3.908658,-0.068833,-1.432331,-0.148441,3000.00,1,3000.00,0.010961,0.000,0.000,0.000,0.000,0.000,0.000
0.040869,50.2734,-76.7285,0,0.0000,-0.601543,-3.914586,-0.062249,-0.601543,-0.158017,3000.00,1,3000.00,0.010961,0.000,0.000,0.000,0.000,0.000,0.000
0.050858,24.6094,-102.3926,0,0.0000,-0.658405,-3.921163,-0.105943,-0.658405,-0.106542,3000.00,1,3000.00,0.021016,0.000,0.000,0.000,0.000,0.000,0.000
0.060856,356.9238,-130.0781,0,0.0000,-0.052672,-3.921690,-0.099958,-0.052672,-0.061052,3000.00,1,3000.00,0.031014,0.000,0.000,0.000,0.000,0.000,0.000
0.070834,328.2715,-158.7305,0,0.0000,0.102951,-3.920662,-0.069432,0.102951,-0.037709,3000.00,1,3000.00,0.031014,0.000,0.000,0.000,0.000,0.000,0.000
0.080827,299.8828,-187.1191,0,0.0000,-0.032920,-3.920991,-0.075417,-0.032920,-0.034716,3000.00,1,3000.00,0.050858,0.000,0.000,0.000,0.000,0.000,0.000
0.090826,273.2520,-213.7500,0,0.0000,-0.132280,-3.922314,-0.058658,-0.132280,-0.022745,3000.00,1,3000.00,0.060856,0.000,0.000,0.000,0.000,0.000,0.000
0.100803,247.5879,-239.4141,0,0.0000,0.020351,-3.922111,-0.047285,0.020351,-0.011372,3000.00,1,3000.00,0.060856,0.000,0.000,0.000,0.000,0.000,0.000
0.110797,221.7480,-265.2539,0,0.0000,0.098761,-3.921124,-0.022745,0.098761,-0.035314,3000.00,1,3000.00,0.080827,0.000,0.000,0.000,0.000,0.000,0.000
