t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.03211,242.314,0.000,0,0.000,0.007,0.017,0.000,0.007,0.010,1000.0,1,1000.0,0.002,0.00,0.00,0.00,0.00,0.00,0.00
0.05219,242.402,0.088,0,0.000,0.004,0.017,0.002,0.004,0.009,1000.0,1,1000.0,0.012,0.00,0.00,0.00,0.00,0.00,0.00
0.07203,242.314,0.000,0,0.000,0.004,0.017,0.001,0.004,0.007,1000.0,1,1000.0,0.042,0.00,0.00,0.00,0.00,0.00,0.00
0.08214,242.314,0.000,0,0.000,0.005,0.017,0.002,0.005,0.005,1000.0,1,1000.0,0.042,0.00,0.00,0.00,0.00,0.00,0.00
0.10210,242.227,-0.088,0,0.000,0.001,0.017,0.004,0.001,-0.001,1000.0,1,1000.0,0.072,0.00,0.00,0.00,0.00,0.00,0.00
0.12203,242.227,-0.088,0,0.000,0.003,0.017,0.003,0.003,0.000,1000.0,1,1000.0,0.092,0.00,0.00,0.00,0.00,0.00,0.00
0.14200,242.314,0.000,0,0.000,0.007,0.017,0.004,0.007,0.007,1000.0,1,1000.0,0.122,0.00,0.00,0.00,0.00,0.00,0.00
0.16195,242.314,0.000,0,0.000,0.005,0.018,0.004,0.005,0.013,1000.0,1,1000.0,0.132,0.00,0.00,0.00,0.00,0.00,0.00
0.18189,242.314,0.000,0,0.000,0.000,0.018,0.004,0.000,0.008,1000.0,1,1000.0,0.152,0.00,0.00,0.00,0.00,0.00,0.00
0.19193,242.314,0.000,0,0.000,-0.001,0.018,0.002,-0.001,0.005,1000.0,1,1000.0,0.162,0.00,0.00,0.00,0.00,0.00,0.00
0.21180,242.314,0.000,0,0.000,0.004,0.018,0.001,0.004,0.002,1000.0,1,1000.0,0.172,0.00,0.00,0.00,0.00,0.00,0.00
0.22180,242.314,0.000,0,0.000,0.007,0.018,0.004,0.007,0.002,1000.0,1,1000.0,0.192,0.00,0.00,0.00,0.00,0.00,0.00
0.24175,242.314,0.000,0,0.000,0.008,0.018,0.005,0.008,0.004,1000.0,1,1000.0,0.202,0.00,0.00,0.00,0.00,0.00,0.00
0.25186,242.227,-0.088,0,0.000,0.004,0.018,0.004,0.004,0.000,1000.0,1,1000.0,0.222,0.00,0.00,0.00,0.00,0.00,0.00
0.27183,242.314,0.000,0,0.000,0.003,0.018,0.005,0.003,0.000,1000.0,1,1000.0,0.252,0.00,0.00,0.00,0.00,0.00,0.00
0.29177,242.314,0.000,0,0.000,0.004,0.018,0.005,0.004,0.002,1000.0,1,1000.0,0.262,0.00,0.00,0.00,0.00,0.00,0.00
0.30177,242.314,0.000,0,0.000,0.004,0.018,0.004,0.004,0.000,1000.0,1,1000.0,0.282,0.00,0.00,0.00,0.00,0.00,0.00
0.32170,242.314,0.000,0,0.000,0.003,0.018,0.008,0.003,0.007,1000.0,1,1000.0,0.292,0.00,0.00,0.00,0.00,0.00,0.00
0.34165,242.314,0.000,0,0.000,0.001,0.018,0.004,0.001,0.008,1000.0,1,1000.0,0.312,0.00,0.00,0.00,0.00,0.00,0.00
0.35261,242.314,0.000,0,0.000,0.001,0.018,0.004,0.001,0.004,1000.0,1,1000.0,0.322,0.00,0.00,0.00,0.00,0.00,0.00
0.37157,242.314,0.000,0,0.000,0.004,0.018,0.001,0.004,0.004,1000.0,1,1000.0,0.353,0.00,0.00,0.00,0.00,0.00,0.00
0.39152,242.402,0.088,0,0.000,0.009,0.018,0.004,0.009,0.006,1000.0,1,1000.0,0.362,0.00,0.00,0.00,0.00,0.00,0.00
0.41146,242.314,0.000,0,0.000,0.008,0.019,0.000,0.008,0.000,1000.0,1,1000.0,0.382,0.00,0.00,0.00,0.00,0.00,0.00
0.43156,242.314,0.000,0,0.000,0.005,0.019,0.001,0.005,-0.003,1000.0,1,1000.0,0.411,0.00,0.00,0.00,0.00,0.00,0.00
0.45147,242.402,0.088,0,0.000,0.008,0.019,0.007,0.008,-0.005,1000.0,1,1000.0,0.411,0.00,0.00,0.00,0.00,0.00,0.00
0.47141,242.314,0.000,0,0.000,0.009,0.019,0.005,0.009,-0.006,1000.0,1,1000.0,0.421,0.00,0.00,0.00,0.00,0.00,0.00
0.49133,242.402,0.088,0,0.000,0.008,0.019,0.004,0.008,-0.002,1000.0,1,1000.0,0.421,0.00,0.00,0.00,0.00,0.00,0.00
0.51139,242.314,0.000,0,0.000,0.008,0.019,0.003,0.008,0.000,1000.0,1,1000.0,0.471,0.00,0.00,0.00,0.00,0.00,0.00
0.53130,242.314,0.000,0,0.000,0.008,0.019,0.004,0.008,0.004,1000.0,1,1000.0,0.471,0.00,0.00,0.00,0.00,0.00,0.00
0.54132,242.227,-0.088,0,0.000,0.009,0.020,0.004,0.009,0.001,1000.0,1,1000.0,0.511,0.00,0.00,0.00,0.00,0.00,0.00
0.55136,242.314,0.000,0,0.000,0.010,0.020,0.002,0.010,0.000,1000.0,1,1000.0,0.511,0.00,0.00,0.00,0.00,0.00,0.00
0.57130,242.314,0.000,0,0.000,0.008,0.020,0.002,0.008,0.000,1000.0,1,1000.0,0.521,0.00,0.00,0.00,0.00,0.00,0.00
0.59126,242.314,0.000,0,0.000,0.010,0.020,0.002,0.010,0.000,1000.0,1,1000.0,0.561,0.00,0.00,0.00,0.00,0.00,0.00
0.61118,242.314,0.000,0,0.000,0.014,0.020,0.003,0.014,0.005,1000.0,1,1000.0,0.561,0.00,0.00,0.00,0.00,0.00,0.00
0.63114,242.314,0.000,0,0.000,0.013,0.021,0.002,0.013,0.000,1000.0,1,1000.0,0.611,0.00,0.00,0.00,0.00,0.00,0.00
0.65108,242.314,0.000,0,0.000,0.013,0.021,0.002,0.013,0.004,1000.0,1,1000.0,0.621,0.00,0.00,0.00,0.00,0.00,0.00
0.67102,242.402,0.088,0,0.000,0.013,0.021,0.004,0.013,0.002,1000.0,1,1000.0,0.641,0.00,0.00,0.00,0.00,0.00,0.00
