t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.03325,169.277,0.088,0,0.000,0.003,0.005,0.004,0.003,0.007,3000.0,1,3000.0,0.011,0.00,0.00,0.00,0.00,0.00,0.00
0.04348,169.189,0.000,0,0.000,0.005,0.005,0.005,0.005,0.006,3000.0,1,3000.0,0.025,0.00,0.00,0.00,0.00,0.00,0.00
0.05353,169.277,0.088,0,0.000,0.005,0.005,0.005,0.005,0.007,3000.0,1,3000.0,0.025,0.00,0.00,0.00,0.00,0.00,0.00
0.07312,169.277,0.088,0,0.000,0.005,0.005,0.004,0.005,0.008,3000.0,1,3000.0,0.048,0.00,0.00,0.00,0.00,0.00,0.00
0.08317,169.277,0.088,0,0.000,0.004,0.005,0.001,0.004,0.011,3000.0,1,3000.0,0.064,0.00,0.00,0.00,0.00,0.00,0.00
0.09340,169.277,0.088,0,0.000,0.004,0.005,0.002,0.004,0.011,3000.0,1,3000.0,0.064,0.00,0.00,0.00,0.00,0.00,0.00
0.10345,169.277,0.088,0,0.000,0.006,0.005,0.004,0.006,0.012,3000.0,1,3000.0,0.078,0.00,0.00,0.00,0.00,0.00,0.00
0.12304,169.365,0.176,0,0.000,0.005,0.005,0.002,0.005,0.007,3000.0,1,3000.0,0.088,0.00,0.00,0.00,0.00,0.00,0.00
0.13309,169.277,0.088,0,0.000,0.007,0.005,0.003,0.007,0.008,3000.0,1,3000.0,0.106,0.00,0.00,0.00,0.00,0.00,0.00
0.14332,169.277,0.088,0,0.000,0.008,0.006,0.004,0.008,0.010,3000.0,1,3000.0,0.117,0.00,0.00,0.00,0.00,0.00,0.00
0.15337,169.277,0.088,0,0.000,0.005,0.006,0.003,0.005,0.006,3000.0,1,3000.0,0.132,0.00,0.00,0.00,0.00,0.00,0.00
0.17296,169.277,0.088,0,0.000,0.002,0.006,0.004,0.002,0.011,3000.0,1,3000.0,0.141,0.00,0.00,0.00,0.00,0.00,0.00
0.18301,169.277,0.088,0,0.000,0.005,0.006,0.002,0.005,0.012,3000.0,1,3000.0,0.161,0.00,0.00,0.00,0.00,0.00,0.00
0.19324,169.277,0.088,0,0.000,0.005,0.006,0.004,0.005,0.011,3000.0,1,3000.0,0.168,0.00,0.00,0.00,0.00,0.00,0.00
0.20329,169.277,0.088,0,0.000,0.004,0.006,0.005,0.004,0.011,3000.0,1,3000.0,0.181,0.00,0.00,0.00,0.00,0.00,0.00
0.22324,169.365,0.176,0,0.000,0.004,0.006,0.008,0.004,0.009,3000.0,1,3000.0,0.204,0.00,0.00,0.00,0.00,0.00,0.00
0.23330,169.277,0.088,0,0.000,0.004,0.006,0.007,0.004,0.008,3000.0,1,3000.0,0.204,0.00,0.00,0.00,0.00,0.00,0.00
0.25288,169.277,0.088,0,0.000,0.006,0.006,0.004,0.006,0.007,3000.0,1,3000.0,0.228,0.00,0.00,0.00,0.00,0.00,0.00
0.26297,169.277,0.088,0,0.000,0.004,0.006,0.006,0.004,0.005,3000.0,1,3000.0,0.228,0.00,0.00,0.00,0.00,0.00,0.00
0.27302,169.277,0.088,0,0.000,0.002,0.006,0.003,0.002,0.005,3000.0,1,3000.0,0.250,0.00,0.00,0.00,0.00,0.00,0.00
0.28325,169.277,0.088,0,0.000,0.003,0.006,0.004,0.003,0.007,3000.0,1,3000.0,0.265,0.00,0.00,0.00,0.00,0.00,0.00
0.30268,169.277,0.088,0,0.000,0.004,0.006,0.005,0.004,0.008,3000.0,1,3000.0,0.283,0.00,0.00,0.00,0.00,0.00,0.00
0.31289,169.277,0.088,0,0.000,0.002,0.006,0.004,0.002,0.007,3000.0,1,3000.0,0.283,0.00,0.00,0.00,0.00,0.00,0.00
0.32294,169.277,0.088,0,0.000,0.004,0.006,0.005,0.004,0.003,3000.0,1,3000.0,0.295,0.00,0.00,0.00,0.00,0.00,0.00
0.33317,169.365,0.176,0,0.000,0.002,0.006,0.004,0.002,0.004,3000.0,1,3000.0,0.317,0.00,0.00,0.00,0.00,0.00,0.00
0.35258,169.277,0.088,0,0.000,0.005,0.006,0.002,0.005,0.004,3000.0,1,3000.0,0.327,0.00,0.00,0.00,0.00,0.00,0.00
0.36281,169.365,0.176,0,0.000,0.005,0.006,0.002,0.005,0.009,3000.0,1,3000.0,0.339,0.00,0.00,0.00,0.00,0.00,0.00
0.37286,169.365,0.176,0,0.000,0.005,0.006,0.003,0.005,0.010,3000.0,1,3000.0,0.350,0.00,0.00,0.00,0.00,0.00,0.00
0.38309,169.277,0.088,0,0.000,0.005,0.006,0.002,0.005,0.010,3000.0,1,3000.0,0.362,0.00,0.00,0.00,0.00,0.00,0.00
0.40250,169.277,0.088,0,0.000,0.009,0.007,0.003,0.009,0.011,3000.0,1,3000.0,0.384,0.00,0.00,0.00,0.00,0.00,0.00
0.41273,169.277,0.088,0,0.000,0.008,0.007,0.002,0.008,0.013,3000.0,1,3000.0,0.394,0.00,0.00,0.00,0.00,0.00,0.00
0.42278,169.277,0.088,0,0.000,0.007,0.007,0.004,0.007,0.013,3000.0,1,3000.0,0.394,0.00,0.00,0.00,0.00,0.00,0.00
0.43301,169.365,0.176,0,0.000,0.006,0.007,0.002,0.006,0.014,3000.0,1,3000.0,0.410,0.00,0.00,0.00,0.00,0.00,0.00
0.45242,169.277,0.088,0,0.000,0.009,0.007,0.000,0.009,0.008,3000.0,1,3000.0,0.431,0.00,0.00,0.00,0.00,0.00,0.00
0.46265,169.277,0.088,0,0.000,0.008,0.007,0.003,0.008,0.013,3000.0,1,3000.0,0.442,0.00,0.00,0.00,0.00,0.00,0.00
0.47270,169.277,0.088,0,0.000,0.011,0.007,0.003,0.011,0.013,3000.0,1,3000.0,0.442,0.00,0.00,0.00,0.00,0.00,0.00
0.48293,169.365,0.176,0,0.000,0.008,0.007,0.004,0.008,0.016,3000.0,1,3000.0,0.460,0.00,0.00,0.00,0.00,0.00,0.00
0.50236,169.277,0.088,0,0.000,0.008,0.007,0.005,0.008,0.017,3000.0,1,3000.0,0.485,0.00,0.00,0.00,0.00,0.00,0.00
0.51269,169.277,0.088,0,0.000,0.008,0.008,0.004,0.008,0.016,3000.0,1,3000.0,0.494,0.00,0.00,0.00,0.00,0.00,0.00
0.52273,169.365,0.176,0,0.000,0.007,0.008,0.002,0.007,0.013,3000.0,1,3000.0,0.494,0.00,0.00,0.00,0.00,0.00,0.00
0.54231,169.277,0.088,0,0.000,0.004,0.008,0.001,0.004,0.008,3000.0,1,3000.0,0.507,0.00,0.00,0.00,0.00,0.00,0.00
0.55237,169.277,0.088,0,0.000,0.006,0.008,0.001,0.006,0.004,3000.0,1,3000.0,0.530,0.00,0.00,0.00,0.00,0.00,0.00
0.56259,169.365,0.176,0,0.000,0.007,0.008,0.001,0.007,0.004,3000.0,1,3000.0,0.540,0.00,0.00,0.00,0.00,0.00,0.00
0.57265,169.365,0.176,0,0.000,0.007,0.008,0.001,0.007,0.003,3000.0,1,3000.0,0.553,0.00,0.00,0.00,0.00,0.00,0.00
0.59223,169.189,0.000,0,0.000,0.007,0.008,0.002,0.007,0.003,3000.0,1,3000.0,0.564,0.00,0.00,0.00,0.00,0.00,0.00
0.60229,169.277,0.088,0,0.000,0.007,0.008,0.001,0.007,0.005,3000.0,1,3000.0,0.579,0.00,0.00,0.00,0.00,0.00,0.00
0.61251,169.277,0.088,0,0.000,0.010,0.008,0.002,0.010,0.005,3000.0,1,3000.0,0.579,0.00,0.00,0.00,0.00,0.00,0.00
0.62257,169.189,0.000,0,0.000,0.010,0.008,0.003,0.010,0.010,3000.0,1,3000.0,0.599,0.00,0.00,0.00,0.00,0.00,0.00
0.70676,169.277,0.088,0,0.000,0.010,0.009,0.002,0.010,0.010,3000.0,1,3000.0,0.611,0.00,0.00,0.00,0.00,0.00,0.00
