t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.02077,113.994,0.000,0,0.000,0.000,-0.000,0.001,0.000,0.004,1500.0,1,1500.0,0.004,0.00,0.00,0.00,0.00,0.00,0.00
0.04036,113.994,0.000,0,0.000,-0.001,-0.000,0.002,-0.001,0.004,1500.0,1,1500.0,0.016,0.00,0.00,0.00,0.00,0.00,0.00
0.05041,114.082,0.088,0,0.000,0.000,-0.000,0.002,0.000,0.002,1500.0,1,1500.0,0.028,0.00,0.00,0.00,0.00,0.00,0.00
0.06064,113.994,0.000,0,0.000,0.000,-0.000,0.002,0.000,0.002,1500.0,1,1500.0,0.037,0.00,0.00,0.00,0.00,0.00,0.00
0.07069,113.994,0.000,0,0.000,0.002,0.000,0.005,0.002,0.002,1500.0,1,1500.0,0.049,0.00,0.00,0.00,0.00,0.00,0.00
0.09028,113.994,0.000,0,0.000,0.005,0.000,0.007,0.005,0.000,1500.0,1,1500.0,0.066,0.00,0.00,0.00,0.00,0.00,0.00
0.10033,113.994,0.000,0,0.000,0.006,0.000,0.008,0.006,0.001,1500.0,1,1500.0,0.076,0.00,0.00,0.00,0.00,0.00,0.00
0.13025,113.994,0.000,0,0.000,0.005,0.000,0.007,0.005,0.007,1500.0,1,1500.0,0.086,0.00,0.00,0.00,0.00,0.00,0.00
0.15035,113.994,0.000,0,0.000,0.005,0.000,0.007,0.005,0.010,1500.0,1,1500.0,0.099,0.00,0.00,0.11,0.00,0.00,0.00
0.31376,113.994,0.000,0,0.000,0.004,0.001,0.004,0.004,0.002,1500.0,1,1500.0,0.146,0.00,0.00,0.00,0.00,0.00,0.00
0.33250,114.082,0.088,0,0.000,0.004,0.001,0.004,0.004,0.006,1500.0,1,1500.0,0.146,0.00,0.00,0.00,0.00,0.00,0.00
0.35036,114.082,0.088,0,0.000,0.004,0.001,0.007,0.004,0.008,1500.0,1,1500.0,0.146,0.00,0.00,0.00,0.00,0.00,0.00
0.36994,113.994,0.000,0,0.000,0.006,0.001,0.004,0.006,0.002,1500.0,1,1500.0,0.341,0.00,0.00,0.00,0.00,0.00,0.00
0.38000,113.994,0.000,0,0.000,0.005,0.001,0.004,0.005,0.002,1500.0,1,1500.0,0.341,0.00,0.00,0.00,0.00,0.00,0.00
0.39022,113.994,0.000,0,0.000,0.003,0.001,0.004,0.003,0.004,1500.0,1,1500.0,0.365,0.00,0.00,0.00,0.00,0.00,0.00
0.40027,113.994,0.000,0,0.000,0.006,0.001,0.002,0.006,0.001,1500.0,1,1500.0,0.375,0.00,0.00,0.00,0.00,0.00,0.00
0.41986,113.994,0.000,0,0.000,0.005,0.001,0.003,0.005,0.005,1500.0,1,1500.0,0.400,0.00,0.00,0.00,0.00,0.00,0.00
0.42992,113.994,0.000,0,0.000,0.005,0.002,0.001,0.005,0.007,1500.0,1,1500.0,0.400,0.00,0.00,0.00,0.00,0.00,0.00
0.44014,114.082,0.088,0,0.000,0.007,0.002,0.003,0.007,0.008,1500.0,1,1500.0,0.414,0.00,0.00,0.00,0.00,0.00,0.00
0.45063,113.994,0.000,0,0.000,0.005,0.002,0.003,0.005,0.010,1500.0,1,1500.0,0.423,0.00,0.00,0.00,0.00,0.00,0.00
0.46930,113.994,0.000,0,0.000,0.005,0.002,0.004,0.005,0.010,1500.0,1,1500.0,0.448,0.00,0.00,0.00,0.00,0.00,0.00
0.47954,114.082,0.088,0,0.000,0.005,0.002,0.004,0.005,0.008,1500.0,1,1500.0,0.459,0.00,0.00,0.00,0.00,0.00,0.00
0.48958,113.994,0.000,0,0.000,0.005,0.002,0.004,0.005,0.007,1500.0,1,1500.0,0.459,0.00,0.00,0.00,0.00,0.00,0.00
0.49980,113.994,0.000,0,0.000,0.006,0.002,0.005,0.006,0.003,1500.0,1,1500.0,0.478,0.00,0.00,0.00,0.00,0.00,0.00
0.50986,113.994,0.000,0,0.000,0.005,0.002,0.004,0.005,0.005,1500.0,1,1500.0,0.487,0.00,0.00,0.00,0.00,0.00,0.00
0.52008,113.994,0.000,0,0.000,0.007,0.002,0.005,0.007,0.007,1500.0,1,1500.0,0.499,0.00,0.00,0.00,0.00,0.00,0.00
0.53950,113.994,0.000,0,0.000,0.008,0.002,0.007,0.008,0.007,1500.0,1,1500.0,0.510,0.00,0.00,0.00,0.00,0.00,0.00
0.54972,113.994,0.000,0,0.000,0.008,0.002,0.007,0.008,0.007,1500.0,1,1500.0,0.510,0.00,0.00,0.00,0.00,0.00,0.00
0.55978,113.994,0.000,0,0.000,0.008,0.002,0.007,0.008,0.010,1500.0,1,1500.0,0.533,0.00,0.00,0.00,0.00,0.00,0.00
0.57946,113.994,0.000,0,0.000,0.013,0.003,0.008,0.013,0.012,1500.0,1,1500.0,0.556,0.00,0.00,0.00,0.00,0.00,0.00
0.58951,113.994,0.000,0,0.000,0.011,0.003,0.008,0.011,0.008,1500.0,1,1500.0,0.556,0.00,0.00,0.00,0.00,0.00,0.00
0.59974,113.994,0.000,0,0.000,0.010,0.003,0.007,0.010,0.011,1500.0,1,1500.0,0.575,0.00,0.00,0.00,0.00,0.00,0.00
0.60979,113.994,0.000,0,0.000,0.008,0.003,0.007,0.008,0.010,1500.0,1,1500.0,0.586,0.00,0.00,0.00,0.00,0.00,0.00
0.62938,113.994,0.000,0,0.000,0.007,0.003,0.007,0.007,0.009,1500.0,1,1500.0,0.609,0.00,0.00,0.00,0.00,0.00,0.00
0.63943,114.082,0.088,0,0.000,0.008,0.003,0.005,0.008,0.005,1500.0,1,1500.0,0.609,0.00,0.00,0.00,0.00,0.00,0.00
0.64966,114.082,0.088,0,0.000,0.009,0.003,0.004,0.009,0.005,1500.0,1,1500.0,0.629,0.00,0.00,0.00,0.00,0.00,0.00
0.65971,113.906,-0.088,0,0.000,0.006,0.003,0.004,0.006,0.002,1500.0,1,1500.0,0.637,0.00,0.00,0.00,0.00,0.00,0.00
0.67930,113.994,0.000,0,0.000,0.005,0.003,0.005,0.005,0.003,1500.0,1,1500.0,0.659,0.00,0.00,0.00,0.00,0.00,0.00
0.68935,113.994,0.000,0,0.000,0.008,0.003,0.007,0.008,0.004,1500.0,1,1500.0,0.672,0.00,0.00,0.00,0.00,0.00,0.00
0.70098,113.994,0.000,0,0.000,0.007,0.003,0.007,0.007,0.000,1500.0,1,1500.0,0.672,0.00,0.00,0.00,0.00,0.00,0.00
0.71973,113.906,-0.088,0,0.000,0.010,0.004,0.010,0.010,0.004,1500.0,1,1500.0,0.701,0.00,0.00,0.00,0.00,0.00,0.00
0.73912,113.994,0.000,0,0.000,0.008,0.004,0.010,0.008,0.008,1500.0,1,1500.0,0.714,0.00,0.00,0.00,0.00,0.00,0.00
0.74935,113.994,0.000,0,0.000,0.010,0.004,0.009,0.010,0.006,1500.0,1,1500.0,0.724,0.00,0.00,0.00,0.00,0.00,0.00
0.75940,114.082,0.088,0,0.000,0.014,0.004,0.008,0.014,0.004,1500.0,1,1500.0,0.738,0.00,0.00,0.00,0.00,0.00,0.00
0.76963,113.994,0.000,0,0.000,0.016,0.004,0.010,0.016,0.004,1500.0,1,1500.0,0.750,0.00,0.00,0.00,0.00,0.00,0.00
0.78904,113.994,0.000,0,0.000,0.012,0.004,0.005,0.012,0.004,1500.0,1,1500.0,0.765,0.00,0.00,0.00,0.00,0.00,0.00
0.79927,113.994,0.000,0,0.000,0.014,0.005,0.004,0.014,0.007,1500.0,1,1500.0,0.776,0.00,0.00,0.00,0.00,0.00,0.00
0.80932,114.082,0.088,0,0.000,0.014,0.005,0.005,0.014,0.009,1500.0,1,1500.0,0.776,0.00,0.00,0.00,0.00,0.00,0.00
