t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,a_rod,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.01063,41.660,0.000,0,0.000,0.001,-0.001,0.006,0.003,0.001,-0.001,2500.0,-1,-2500.0,nan,nan,nan,nan,nan,nan,nan
0.03021,41.660,0.000,0,0.000,0.004,0.000,0.006,0.006,0.004,0.000,2500.0,-1,-2500.0,0.009,0.00,0.00,0.00,0.00,0.00,0.00
0.04027,41.660,0.000,0,0.000,0.002,0.001,0.006,0.007,0.002,0.001,2500.0,-1,-2500.0,0.009,0.00,0.00,0.00,0.00,0.00,0.00
0.05049,41.660,0.000,0,0.000,0.002,0.000,0.006,0.007,0.002,0.000,2500.0,-1,-2500.0,0.025,0.00,0.00,0.00,0.00,0.00,0.00
0.06055,41.660,0.000,0,0.000,0.002,0.001,0.006,0.004,0.002,0.001,2500.0,-1,-2500.0,0.037,0.00,0.00,0.00,0.00,0.00,0.00
0.08013,41.660,0.000,0,0.000,0.003,0.004,0.006,0.004,0.003,0.004,2500.0,-1,-2500.0,0.057,0.00,0.00,0.00,0.00,0.00,0.00
0.09019,41.660,0.000,0,0.000,0.003,0.002,0.006,0.003,0.003,0.002,2500.0,-1,-2500.0,0.068,0.00,0.00,0.00,0.00,0.00,0.00
0.10041,41.572,-0.088,0,0.000,0.001,0.002,0.006,0.004,0.001,0.002,2500.0,-1,-2500.0,0.081,0.00,0.00,0.00,0.00,0.00,0.00
0.11047,41.660,0.000,0,0.000,0.002,0.004,0.006,0.002,0.002,0.004,2500.0,-1,-2500.0,0.081,0.00,0.00,0.00,0.00,0.00,0.00
0.13005,41.660,0.000,0,0.000,0.001,0.002,0.006,0.002,0.001,0.002,2500.0,-1,-2500.0,0.105,0.00,0.00,0.00,0.00,0.00,0.00
0.14011,41.660,0.000,0,0.000,0.004,-0.001,0.006,0.004,0.004,-0.001,2500.0,-1,-2500.0,0.119,0.00,0.00,0.00,0.00,0.00,0.00
0.15033,41.660,0.000,0,0.000,0.005,0.000,0.006,0.000,0.005,0.000,2500.0,-1,-2500.0,0.130,0.00,0.00,0.00,0.00,0.00,0.00
0.16039,41.660,0.000,0,0.000,0.007,0.000,0.006,0.000,0.007,0.000,2500.0,-1,-2500.0,0.130,0.00,0.00,0.00,0.00,0.00,0.00
0.17997,41.660,0.000,0,0.000,0.001,-0.001,0.006,0.002,0.001,-0.001,2500.0,-1,-2500.0,0.154,0.00,0.00,0.00,0.00,0.00,0.00
0.19003,41.660,0.000,0,0.000,0.004,0.000,0.007,0.001,0.004,0.000,2500.0,-1,-2500.0,0.171,0.00,0.00,0.00,0.00,0.00,0.00
0.20025,41.660,0.000,0,0.000,0.006,0.003,0.007,0.003,0.006,0.003,2500.0,-1,-2500.0,0.182,0.00,0.00,0.00,0.00,0.00,0.00
0.21032,41.660,0.000,0,0.000,0.007,0.005,0.007,0.003,0.007,0.005,2500.0,-1,-2500.0,0.192,0.00,0.00,0.00,0.00,0.00,0.00
0.22989,41.748,0.088,0,0.000,0.007,0.006,0.007,0.004,0.007,0.006,2500.0,-1,-2500.0,0.203,0.00,0.00,0.00,0.00,0.00,0.00
0.23995,41.660,0.000,0,0.000,0.007,0.003,0.007,0.004,0.007,0.003,2500.0,-1,-2500.0,0.217,0.00,0.00,0.00,0.00,0.00,0.00
0.25017,41.660,0.000,0,0.000,0.008,0.003,0.007,0.004,0.008,0.003,2500.0,-1,-2500.0,0.229,0.00,0.00,0.00,0.00,0.00,0.00
0.31800,41.660,0.000,0,0.000,0.011,0.001,0.008,0.002,0.011,0.001,2500.0,-1,-2500.0,0.242,0.00,0.00,0.00,0.00,0.00,0.00
0.32990,41.660,0.000,0,0.000,0.008,0.000,0.008,0.002,0.008,0.000,2500.0,-1,-2500.0,0.242,0.00,0.00,0.00,0.00,0.00,0.00
0.33995,41.660,0.000,0,0.000,0.010,0.002,0.008,0.005,0.010,0.002,2500.0,-1,-2500.0,0.242,0.00,0.00,0.00,0.00,0.00,0.00
0.35018,41.660,0.000,0,0.000,0.009,0.004,0.008,0.001,0.009,0.004,2500.0,-1,-2500.0,0.329,0.00,0.00,0.00,0.00,0.00,0.00
0.36023,41.660,0.000,0,0.000,0.008,0.005,0.008,0.007,0.008,0.005,2500.0,-1,-2500.0,0.337,0.00,0.00,0.00,0.00,0.00,0.00
0.37982,41.660,0.000,0,0.000,0.006,0.004,0.008,0.011,0.006,0.004,2500.0,-1,-2500.0,0.357,0.00,0.00,0.00,0.00,0.00,0.00
0.38987,41.660,0.000,0,0.000,0.005,0.001,0.008,0.008,0.005,0.001,2500.0,-1,-2500.0,0.357,0.00,0.00,0.00,0.00,0.00,0.00
0.40010,41.660,0.000,0,0.000,0.005,0.000,0.008,0.011,0.005,0.000,2500.0,-1,-2500.0,0.373,0.00,0.00,0.00,0.00,0.00,0.00
0.41951,41.660,0.000,0,0.000,0.002,0.002,0.008,0.011,0.002,0.002,2500.0,-1,-2500.0,0.397,0.00,0.00,0.00,0.00,0.00,0.00
0.42974,41.660,0.000,0,0.000,0.004,0.004,0.008,0.007,0.004,0.004,2500.0,-1,-2500.0,0.407,0.00,0.00,0.00,0.00,0.00,0.00
0.46342,41.660,0.000,0,0.000,0.005,0.000,0.009,0.007,0.005,0.000,2500.0,-1,-2500.0,0.420,0.00,0.00,0.00,0.00,0.00,0.00
0.47986,41.660,0.000,0,0.000,0.003,-0.004,0.009,0.007,0.003,-0.004,2500.0,-1,-2500.0,0.452,0.00,0.00,0.00,0.00,0.00,0.00
0.48992,41.660,0.000,0,0.000,0.004,-0.001,0.009,0.006,0.004,-0.001,2500.0,-1,-2500.0,0.471,0.00,0.00,0.00,0.00,0.00,0.00
0.50951,41.660,0.000,0,0.000,0.002,0.005,0.009,0.007,0.002,0.005,2500.0,-1,-2500.0,0.481,0.00,0.00,0.00,0.00,0.00,0.00
0.51956,41.660,0.000,0,0.000,0.002,0.006,0.009,0.010,0.002,0.006,2500.0,-1,-2500.0,0.493,0.00,0.00,0.00,0.00,0.00,0.00
0.52978,41.660,0.000,0,0.000,0.006,0.009,0.009,0.010,0.006,0.009,2500.0,-1,-2500.0,0.504,0.00,0.00,0.00,0.00,0.00,0.00
0.53984,41.660,0.000,0,0.000,0.002,0.006,0.009,0.011,0.002,0.006,2500.0,-1,-2500.0,0.504,0.00,0.00,0.00,0.00,0.00,0.00
0.55942,41.660,0.000,0,0.000,0.000,0.006,0.009,0.014,0.000,0.006,2500.0,-1,-2500.0,0.535,0.00,0.00,0.00,0.00,0.00,0.00
0.56948,41.660,0.000,0,0.000,0.001,0.008,0.009,0.010,0.001,0.008,2500.0,-1,-2500.0,0.549,0.00,0.00,0.00,0.00,0.00,0.00
0.57970,41.660,0.000,0,0.000,0.003,0.008,0.009,0.008,0.003,0.008,2500.0,-1,-2500.0,0.558,0.00,0.00,0.00,0.00,0.00,0.00
0.58979,41.660,0.000,0,0.000,0.005,0.008,0.009,0.007,0.005,0.008,2500.0,-1,-2500.0,0.570,0.00,0.00,0.00,0.00,0.00,0.00
0.60981,41.660,0.000,0,0.000,0.005,0.008,0.009,0.004,0.005,0.008,2500.0,-1,-2500.0,0.584,0.00,0.00,0.00,0.00,0.00,0.00
