t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,cmd_sps,cmd_dir,cmd_vel
0.013104,196.6992,0.000000,-1.090559,-1.051276,-0.022146,-1.106121,4.836287,82.62,1,82.62
0.023178,196.7871,0.087891,-0.608127,-1.057402,-0.034117,-0.623690,4.850653,147.38,1,147.38
0.033125,196.6992,0.000000,-0.646434,-1.063832,-0.022146,-0.665588,4.865018,213.10,1,213.10
0.043075,196.7871,0.087891,-0.400430,-1.067816,0.008380,-0.417190,4.868011,279.72,1,279.72
0.053022,196.8750,0.175781,-0.371700,-1.071514,-0.008380,-0.391452,4.940435,347.13,1,347.13
0.062985,196.8750,0.175781,-0.200514,-1.073511,-0.019752,-0.219069,4.897938,408.41,1,408.41
0.073068,196.8750,0.175781,-0.159214,-1.075117,-0.001796,-0.178967,4.954202,483.96,1,483.96
0.083016,192.1289,-4.570312,-0.466271,-1.079755,-0.014964,-0.482432,4.871003,553.16,1,553.16
0.092965,184.9219,-11.777344,-0.637456,-1.086097,-0.043694,-0.666785,4.933851,615.76,1,615.76
0.102913,177.8027,-18.896484,-0.374094,-1.089818,0.034716,-0.402824,4.794389,685.54,1,685.54
0.112998,170.3320,-26.367187,-0.266953,-1.092511,-0.017358,-0.296881,4.958392,755.43,1,755.43
0.122954,163.4766,-33.222656,-0.133477,-1.093840,0.017957,-0.167594,4.866814,825.30,1,825.30
0.132906,156.7969,-39.902344,-0.187945,-1.095710,0.025139,-0.224456,4.897339,894.98,1,894.98
0.142856,150.5566,-46.142578,-0.083797,-1.096544,-0.020351,-0.120907,4.882974,964.33,1,964.33
0.152940,139.8340,-56.865234,-1.116895,-1.107806,-0.027533,-1.152210,4.842273,1033.16,1,1033.16
0.162886,129.2871,-67.412109,-0.814627,-1.115910,-0.084994,-0.873285,4.911106,1101.30,1,1101.30
0.172842,119.9707,-76.728516,-0.514155,-1.121028,0.001197,-0.567426,4.836287,1168.58,1,1168.58
0.182792,111.3574,-85.341797,-0.344166,-1.124453,-0.037110,-0.407613,4.915895,1234.79,1,1234.79
0.192875,103.4473,-93.251953,-0.340575,-1.127887,-0.018555,-0.390853,4.866215,1299.75,1,1299.75
0.202823,95.8008,-100.898437,-0.158616,-1.129465,0.028132,-0.215478,4.884171,1363.24,1,1363.24
0.212774,88.6816,-108.017578,-0.020949,-1.129673,0.014365,-0.073622,4.853047,1425.06,1,1425.06
0.222732,78.4863,-118.212891,-0.828394,-1.137922,-0.011372,-0.881066,4.896741,1484.99,1,1484.99
0.232683,67.7637,-128.935547,-0.656011,-1.144450,-0.064643,-0.733224,4.936245,1542.80,1,1542.80
0.242770,56.3379,-140.361328,-0.404620,-1.148531,0.008978,-0.474052,4.850653,1598.27,1,1598.27
0.252719,44.5605,-152.138672,-0.295085,-1.151467,-0.035314,-0.372298,4.931457,1651.17,1,1651.17
0.262668,32.4316,-164.267578,-0.071826,-1.152182,-0.016161,-0.148441,4.896142,1701.27,1,1701.27
0.272618,19.5117,-177.187500,-0.085593,-1.153033,0.005387,-0.156222,4.860229,1748.32,1,1748.32
0.282605,6.4160,-190.283203,-0.019752,-1.153231,-0.018555,-0.092775,4.865616,1792.09,1,1792.09
0.292690,353.1445,-203.554687,-0.013767,-1.153370,0.033519,-0.084994,4.865018,1832.35,1,1832.35
0.302639,340.2246,-216.474609,-0.074819,-1.154114,-0.028730,-0.151433,4.878186,1868.85,1,1868.85
