t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.002241,249.0820,1.230469,-12.774611,-9.692069,-9.525331,-12.514492,1.510741,-0.530539,-12.774611,0.613124,12.60,1,12.60
0.004494,248.9941,1.142578,-14.409850,-9.720324,-8.670602,-14.149732,-0.557849,0.324191,-14.409850,-1.455466,25.23,1,25.23
0.006752,248.9941,1.142578,-19.873419,-9.762052,-8.979453,-19.613300,0.203507,0.015340,-19.873419,-0.694110,37.92,1,37.92
0.009009,248.7305,0.878906,-14.812077,-9.801238,-8.665813,-14.551958,-1.177947,0.328979,-14.812077,-2.075564,57.03,1,57.03
0.011278,248.7305,0.878906,-0.768886,-9.811822,-9.056067,-0.508768,1.088165,-0.061275,-0.768886,0.190548,69.83,1,69.83
0.013532,248.6426,0.791016,-1.476373,-9.814009,-9.337387,-1.216254,1.511938,-0.342594,-1.476373,0.614321,82.67,1,82.67
0.015787,248.6426,0.791016,0.029580,-9.815191,-10.084377,0.289698,2.418144,-1.089584,0.029580,1.520527,95.56,1,95.56
0.018042,248.7305,0.878906,4.011138,-9.808548,-9.255983,4.271256,1.619677,-0.261190,4.011138,0.722061,114.97,1,114.97
0.020303,248.7305,0.878906,3.088173,-9.798828,-8.859743,3.348291,-0.244209,0.135050,3.088173,-1.141825,127.97,1,127.97
0.022559,248.7305,0.878906,-1.398561,-9.796884,-9.052477,-1.138443,-0.318429,-0.057684,-1.398561,-1.216046,141.01,1,141.01
0.024816,248.8184,0.966797,-2.970355,-9.803258,-8.983045,-2.710236,0.374693,0.011748,-2.970355,-0.522924,154.09,1,154.09
0.027071,248.8184,0.966797,-2.213787,-9.808997,-9.770737,-1.953669,0.700304,-0.775944,-2.213787,-0.197313,173.78,1,173.78
0.029332,248.7305,0.878906,-2.738117,-9.814447,-9.603143,-2.477999,1.750161,-0.608350,-2.738117,0.852545,186.97,1,186.97
0.031588,248.7305,0.878906,-2.563340,-9.820668,-8.997410,-2.303222,1.411382,-0.002617,-2.563340,0.513765,200.19,1,200.19
0.033843,248.6426,0.791016,-1.064570,-9.824076,-8.753201,-0.804452,0.560243,0.241591,-1.064570,-0.337374,213.44,1,213.44
0.036099,248.7305,0.878906,1.950927,-9.822260,-8.750807,2.211045,0.459687,0.243986,1.950927,-0.437930,233.40,1,233.40
0.038361,248.8184,0.966797,2.246611,-9.817276,-8.991425,2.506729,1.109712,0.003368,2.246611,0.212096,246.76,1,246.76
0.040617,248.9062,1.054688,0.909449,-9.814001,-9.453506,1.169568,1.288081,-0.458713,0.909449,0.390464,260.15,1,260.15
0.042874,248.8184,0.966797,-1.043022,-9.815211,-9.668983,-0.782904,0.778116,-0.674191,-1.043022,-0.119501,273.57,1,273.57
0.045129,248.8184,0.966797,-3.255265,-9.820817,-9.300277,-2.995146,-0.238223,-0.305484,-3.255265,-1.135840,293.77,1,293.77
0.047385,248.8184,0.966797,-3.421662,-9.828492,-8.791509,-3.161543,-0.086191,0.203284,-3.421662,-0.983808,307.28,1,307.28
0.049646,248.8184,0.966797,-2.220969,-9.834667,-8.773552,-1.960851,0.293290,0.221241,-2.220969,-0.604327,320.82,1,320.82
0.051902,248.9062,1.054688,0.097815,-9.835803,-9.006987,0.357933,1.049857,-0.012194,0.097815,0.152241,334.40,1,334.40
0.054157,248.8184,0.966797,1.600177,-9.832595,-9.437943,1.860295,1.859098,-0.443151,1.600177,0.961481,354.82,1,354.82
0.056413,248.8184,0.966797,1.023174,-9.829546,-9.418790,1.283292,1.790863,-0.423997,1.023174,0.893246,368.47,1,368.47
0.058675,248.7305,0.878906,-0.116466,-9.828794,-9.216479,0.143652,0.893037,-0.221686,-0.116466,-0.004580,382.15,1,382.15
0.060930,248.8184,0.966797,-1.323144,-9.831146,-9.099164,-1.063026,-0.108936,-0.104371,-1.323144,-1.006553,395.86,1,395.86
0.063187,248.7305,0.878906,-1.721778,-9.835061,-8.768764,-1.461660,-0.102951,0.226029,-1.721778,-1.000568,416.47,1,416.47
0.065443,248.7305,0.878906,-1.344692,-9.838534,-9.021352,-1.084573,0.497994,-0.026559,-1.344692,-0.399623,430.24,1,430.24
0.067702,248.7305,0.878906,-1.020277,-9.841016,-9.415198,-0.760159,0.930147,-0.420405,-1.020277,0.032530,444.04,1,444.04
0.069958,248.7305,0.878906,-0.633614,-9.842689,-9.380483,-0.373495,1.477222,-0.385690,-0.633614,0.579606,457.87,1,457.87
0.072214,248.7305,0.878906,-0.115269,-9.843265,-9.008183,0.144849,1.115698,-0.013391,-0.115269,0.218081,478.65,1,478.65
0.074470,248.7305,0.878906,0.297731,-9.843112,-8.884883,0.557849,0.845153,0.109910,0.297731,-0.052464,492.53,1,492.53
0.084232,245.3906,-2.460938,-4.718122,-9.889175,-8.204929,-4.458004,-1.165976,0.789864,-4.718122,-2.063593,562.23,1,562.23
0.086487,244.2480,-3.603516,-1.309976,-9.895349,-8.621520,-1.049857,-0.287304,0.373273,-1.309976,-1.184921,576.22,1,576.22
0.088741,243.1055,-4.746094,-3.309134,-9.900580,-8.804677,-3.049016,1.368286,0.190116,-3.309134,0.470669,590.23,1,590.23
0.090997,241.9629,-5.888672,3.404207,-9.903745,-9.649830,3.664326,2.537854,-0.655037,3.404207,1.640237,604.25,1,604.25
0.093255,240.9961,-6.855469,4.426532,-9.893875,-9.361329,4.686650,0.596156,-0.366536,4.426532,-0.301461,625.31,1,625.31
0.095527,239.6777,-8.173828,3.819601,-9.884383,-8.876503,4.079720,-0.143652,0.118290,3.819601,-1.041269,639.36,1,639.36
0.097784,238.6230,-9.228516,-2.853039,-9.887117,-8.218098,-2.592921,0.083797,0.776695,-2.853039,-0.813820,653.42,1,653.42
0.100039,237.5684,-10.283203,-0.333141,-9.891115,-8.722076,-0.073023,0.062249,0.272717,-0.333141,-0.835368,674.53,1,674.53
0.102295,236.4258,-11.425781,0.866354,-9.890907,-9.968259,1.126472,1.170765,-0.973466,0.866354,0.273148,688.61,1,688.61
0.104555,235.1953,-12.656250,-2.538201,-9.893209,-9.387665,-2.278083,1.692701,-0.392872,-2.538201,0.795084,702.69,1,702.69
0.106813,233.9648,-13.886719,-2.428068,-9.900258,-9.520543,-2.167950,1.903390,-0.525750,-2.428068,1.005774,716.79,1,716.79
0.109069,232.6465,-15.205078,2.396249,-9.896705,-8.344990,2.656367,-0.150835,0.649803,2.396249,-1.048452,737.93,1,737.93
0.111324,231.3281,-16.523437,4.209857,-9.889009,-8.937555,4.469975,0.312443,0.057238,4.209857,-0.585174,752.03,1,752.03
0.113585,230.3613,-17.490234,-0.291243,-9.885703,-8.974665,-0.031125,1.091756,0.020128,-0.291243,0.194139,766.13,1,766.13
0.115842,229.0430,-18.808594,0.253438,-9.885697,-9.179369,0.513556,2.111686,-0.184576,0.253438,1.214069,780.23,1,780.23
0.118100,227.9004,-19.951172,0.800513,-9.886063,-9.331401,1.060631,1.040281,-0.336608,0.800513,0.142664,801.38,1,801.38
0.120357,226.4941,-21.357422,-0.135620,-9.884345,-8.804677,0.124498,0.107739,0.190116,-0.135620,-0.789878,815.47,1,815.47
0.133153,218.8477,-29.003906,1.079438,-9.870533,-8.775947,1.339556,0.969652,0.218846,1.079438,0.072035,906.89,1,906.89
0.135209,217.6172,-30.234375,1.369136,-9.867717,-9.028535,1.629254,1.067814,-0.033742,1.369136,0.170197,920.92,1,920.92
0.137464,216.2988,-31.552734,-0.535451,-9.867496,-9.182961,-0.275333,1.535880,-0.188168,-0.535451,0.638264,934.93,1,934.93
0.139721,214.8926,-32.958984,0.674818,-9.866096,-9.214086,0.934936,1.079785,-0.219293,0.674818,0.182168,948.92,1,948.92
0.141991,213.4863,-34.365234,1.130913,-9.866069,-9.033323,1.391031,0.584185,-0.038530,1.130913,-0.313432,962.89,1,962.89
