t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.002241,249.082,1.230469,-12.774611,-9.692069,-9.525331,-12.514492,1.510741,-0.530539,-12.774611,0.613124,12.6,1,12.6,-12.77339193354575,-0.5251954924582966,-12.77339193354575,0.5701793342408495
0.004494,248.9941,1.142578,-14.40985,-9.720324,-8.670602,-14.149732,-0.557849,0.324191,-14.40985,-1.455466,25.23,1,25.23,-11.237507132993795,-0.4203654748660978,-11.237507132993795,0.33133321389867815
0.006752,248.9941,1.142578,-19.873419,-9.762052,-8.979453,-19.6133,0.203507,0.01534,-19.873419,-0.69411,37.92,1,37.92,-9.591061184539928,-0.33335238035418163,-9.591061184539928,0.13622282083271553
0.009009,248.7305,0.878906,-14.812077,-9.801238,-8.665813,-14.551958,-1.177947,0.328979,-14.812077,-2.075564,57.03,1,57.03,-7.79859554131196,-0.27378009726635805,-7.79859554131196,0.006715118083986843
0.011278,248.7305,0.878906,-0.768886,-9.811822,-9.056067,-0.508768,1.088165,-0.061275,-0.768886,0.190548,69.83,1,69.83,-5.948025656688453,-0.24156040004808804,-5.948025656688453,-0.06090092066580414
0.013532,248.6426,0.791016,-1.476373,-9.814009,-9.337387,-1.216254,1.511938,-0.342594,-1.476373,0.614321,82.67,1,82.67,-4.207100699811523,-0.22853362682210085,-4.207100699811523,-0.09049434967152789
0.015787,248.6426,0.791016,0.02958,-9.815191,-10.084377,0.289698,2.418144,-1.089584,0.02958,1.520527,95.56,1,95.56,-2.7354178521192667,-0.22334480670869364,-2.7354178521192667,-0.1099946667571119
0.018042,248.7305,0.878906,4.011138,-9.808548,-9.255983,4.271256,1.619677,-0.26119,4.011138,0.722061,114.97,1,114.97,-1.633218765767507,-0.21827745521046488,-1.633218765767507,-0.13397336094152285
0.020303,248.7305,0.878906,3.088173,-9.798828,-8.859743,3.348291,-0.244209,0.13505,3.088173,-1.141825,127.97,1,127.97,-0.9255441972187023,-0.21233518082840896,-0.9255441972187023,-0.1576017473283086
0.022559,248.7305,0.878906,-1.398561,-9.796884,-9.052477,-1.138443,-0.318429,-0.057684,-1.398561,-1.216046,141.01,1,141.01,-0.5576830386286358,-0.20743559734053463,-0.5576830386286358,-0.16669356829402604
0.024816,248.8184,0.966797,-2.970355,-9.803258,-8.983045,-2.710236,0.374693,0.011748,-2.970355,-0.522924,154.09,1,154.09,-0.41973086427736434,-0.20313650634722064,-0.41973086427736434,-0.15393414858063334
0.027071,248.8184,0.966797,-2.213787,-9.808997,-9.770737,-1.953669,0.700304,-0.775944,-2.213787,-0.197313,173.78,1,173.78,-0.3959055384583727,-0.19579334167620213,-0.3959055384583727,-0.1258664210617534
0.029332,248.7305,0.878906,-2.738117,-9.814447,-9.603143,-2.477999,1.750161,-0.60835,-2.738117,0.852545,186.97,1,186.97,-0.40120132182622714,-0.1824095449253451,-0.40120132182622714,-0.09757191882070684
0.031588,248.7305,0.878906,-2.56334,-9.820668,-8.99741,-2.303222,1.411382,-0.002617,-2.56334,0.513765,200.19,1,200.19,-0.39306749358542814,-0.16507895150354984,-0.39306749358542814,-0.08230230392885758
0.033843,248.6426,0.791016,-1.06457,-9.824076,-8.753201,-0.804452,0.560243,0.241591,-1.06457,-0.337374,213.44,1,213.44,-0.37109073716527097,-0.15048666157340732,-0.37109073716527097,-0.0842051595942672
0.036099,248.7305,0.878906,1.950927,-9.82226,-8.750807,2.211045,0.459687,0.243986,1.950927,-0.43793,233.4,1,233.4,-0.3661187886593697,-0.14449622664296677,-0.3661187886593697,-0.09987452155049677
0.038361,248.8184,0.966797,2.246611,-9.817276,-8.991425,2.506729,1.109712,0.003368,2.246611,0.212096,246.76,1,246.76,-0.4131232416946139,-0.14754046948589342,-0.4131232416946139,-0.12488944979509294
0.040617,248.9062,1.054688,0.909449,-9.814001,-9.453506,1.169568,1.288081,-0.458713,0.909449,0.390464,260.15,1,260.15,-0.5204030363225911,-0.15452013547512117,-0.5204030363225911,-0.155527958590299
0.042874,248.8184,0.966797,-1.043022,-9.815211,-9.668983,-0.782904,0.778116,-0.674191,-1.043022,-0.119501,273.57,1,273.57,-0.658369635230044,-0.1589159938403313,-0.658369635230044,-0.18468664485010705
0.045129,248.8184,0.966797,-3.255265,-9.820817,-9.300277,-2.995146,-0.238223,-0.305484,-3.255265,-1.13584,293.77,1,293.77,-0.7752148497945922,-0.15806703943174702,-0.7752148497945922,-0.2006810061780763
0.047385,248.8184,0.966797,-3.421662,-9.828492,-8.791509,-3.161543,-0.086191,0.203284,-3.421662,-0.983808,307.28,1,307.28,-0.827303875681157,-0.15487974860779566,-0.827303875681157,-0.19387960879449068
0.049646,248.8184,0.966797,-2.220969,-9.834667,-8.773552,-1.960851,0.29329,0.221241,-2.220969,-0.604327,320.82,1,320.82,-0.8049755709388674,-0.15408953696374109,-0.8049755709388674,-0.16531018619439508
0.051902,248.9062,1.054688,0.097815,-9.835803,-9.006987,0.357933,1.049857,-0.012194,0.097815,0.152241,334.4,1,334.4,-0.7375113913955493,-0.15701930961021152,-0.7375113913955493,-0.12854634811810406
0.054157,248.8184,0.966797,1.600177,-9.832595,-9.437943,1.860295,1.859098,-0.443151,1.600177,0.961481,354.82,1,354.82,-0.6741562454372303,-0.16012916446243528,-0.6741562454372303,-0.10292251001365978
0.056413,248.8184,0.966797,1.023174,-9.829546,-9.41879,1.283292,1.790863,-0.423997,1.023174,0.893246,368.47,1,368.47,-0.6546048141104113,-0.1581913993128735,-0.6546048141104113,-0.10220208769017519
0.058675,248.7305,0.878906,-0.116466,-9.828794,-9.216479,0.143652,0.893037,-0.221686,-0.116466,-0.00458,382.15,1,382.15,-0.6895594816815064,-0.1483631540789495,-0.6895594816815064,-0.1259745732124782
0.06093,248.8184,0.966797,-1.323144,-9.831146,-9.099164,-1.063026,-0.108936,-0.104371,-1.323144,-1.006553,395.86,1,395.86,-0.762157149129142,-0.13141470080533674,-0.762157149129142,-0.1609527981374368
0.063187,248.7305,0.878906,-1.721778,-9.835061,-8.768764,-1.46166,-0.102951,0.226029,-1.721778,-1.000568,416.47,1,416.47,-0.8437350780741848,-0.1098188438702673,-0.8437350780741848,-0.19184100130235748
0.065443,248.7305,0.878906,-1.344692,-9.838534,-9.021352,-1.084573,0.497994,-0.026559,-1.344692,-0.399623,430.24,1,430.24,-0.9098708328678785,-0.08477383205254052,-0.9098708328678785,-0.21224179780859664
0.067702,248.7305,0.878906,-1.020277,-9.841016,-9.415198,-0.760159,0.930147,-0.420405,-1.020277,0.03253,444.04,1,444.04,-0.9472431932302973,-0.055045636970490884,-0.9472431932302973,-0.2266716113855005
0.069958,248.7305,0.878906,-0.633614,-9.842689,-9.380483,-0.373495,1.477222,-0.38569,-0.633614,0.579606,457.87,1,457.87,-0.9509751854233546,-0.019537059001780564,-0.9509751854233546,-0.24388936602081898
0.072214,248.7305,0.878906,-0.115269,-9.843265,-9.008183,0.144849,1.115698,-0.013391,-0.115269,0.218081,478.65,1,478.65,-0.9174379370891055,0.01889093730142185,-0.9174379370891055,-0.26786299776889355
0.07447,248.7305,0.878906,0.297731,-9.843112,-8.884883,0.557849,0.845153,0.10991,0.297731,-0.052464,492.53,1,492.53,-0.8360009232254443,0.052719346132871395,-0.8360009232254443,-0.29244520338062574
0.084232,245.3906,-2.460938,-4.718122,-9.889175,-8.204929,-4.458004,-1.165976,0.789864,-4.718122,-2.063593,562.23,1,562.23,-0.6877705890373721,0.07306159145475948,-0.6877705890373721,-0.3042969323740831
0.086487,244.248,-3.603516,-1.309976,-9.895349,-8.62152,-1.049857,-0.287304,0.373273,-1.309976,-1.184921,576.22,1,576.22,-0.4622770974406049,0.07485372114310153,-0.4622770974406049,-0.2947981539560032
0.088741,243.1055,-4.746094,-3.309134,-9.90058,-8.804677,-3.049016,1.368286,0.190116,-3.309134,0.470669,590.23,1,590.23,-0.18122456303276147,0.06041532430197285,-0.18122456303276147,-0.270461150969667
0.090997,241.9629,-5.888672,3.404207,-9.903745,-9.64983,3.664326,2.537854,-0.655037,3.404207,1.640237,604.25,1,604.25,0.0965438686554483,0.03782607909718044,0.0965438686554483,-0.2470406992493259
0.093255,240.9961,-6.855469,4.426532,-9.893875,-9.361329,4.68665,0.596156,-0.366536,4.426532,-0.301461,625.31,1,625.31,0.3009811256351826,0.014577228015452144,0.3009811256351826,-0.2319111403753321
0.095527,239.6777,-8.173828,3.819601,-9.884383,-8.876503,4.07972,-0.143652,0.11829,3.819601,-1.041269,639.36,1,639.36,0.3955449816583496,-0.007850494919102854,0.3955449816583496,-0.2168500060471667
0.097784,238.623,-9.228516,-2.853039,-9.887117,-8.218098,-2.592921,0.083797,0.776695,-2.853039,-0.81382,653.42,1,653.42,0.4011539614432452,-0.03256150261933746,0.4011539614432452,-0.18862415224853812
0.100039,237.5684,-10.283203,-0.333141,-9.891115,-8.722076,-0.073023,0.062249,0.272717,-0.333141,-0.835368,674.53,1,674.53,0.3725090843203305,-0.05998461214873091,0.3725090843203305,-0.14228541092860972
0.102295,236.4258,-11.425781,0.866354,-9.890907,-9.968259,1.126472,1.170765,-0.973466,0.866354,0.273148,688.61,1,688.61,0.3592134555931058,-0.08367335216671623,0.3592134555931058,-0.08497775301545746
0.104555,235.1953,-12.65625,-2.538201,-9.893209,-9.387665,-2.278083,1.692701,-0.392872,-2.538201,0.795084,702.69,1,702.69,0.3921871069487284,-0.09527518755150596,0.3921871069487284,-0.03047388582514555
0.106813,233.9648,-13.886719,-2.428068,-9.900258,-9.520543,-2.16795,1.90339,-0.52575,-2.428068,1.005774,716.79,1,716.79,0.4799438486784814,-0.0925546542973502,0.4799438486784814,0.011319771574901273
0.109069,232.6465,-15.205078,2.396249,-9.896705,-8.34499,2.656367,-0.150835,0.649803,2.396249,-1.048452,737.93,1,737.93,0.5978982979025781,-0.08090522165726463,0.5978982979025781,0.04138150892920754
0.111324,231.3281,-16.523437,4.209857,-9.889009,-8.937555,4.469975,0.312443,0.057238,4.209857,-0.585174,752.03,1,752.03,0.6986854103239981,-0.06778991038062887,0.6986854103239981,0.0665450634688767
0.113585,230.3613,-17.490234,-0.291243,-9.885703,-8.974665,-0.031125,1.091756,0.020128,-0.291243,0.194139,766.13,1,766.13,0.7466540795733193,-0.05695367708088853,0.7466540795733193,0.08826999000194406
0.115842,229.043,-18.808594,0.253438,-9.885697,-9.179369,0.513556,2.111686,-0.184576,0.253438,1.214069,780.23,1,780.23,0.7324389050103244,-0.047814145376421154,0.7324389050103244,0.10073668352989441
0.1181,227.9004,-19.951172,0.800513,-9.886063,-9.331401,1.060631,1.040281,-0.336608,0.800513,0.142664,801.38,1,801.38,0.6566240401420691,-0.03871278240943074,0.6566240401420691,0.09994527297882981
0.120357,226.4941,-21.357422,-0.13562,-9.884345,-8.804677,0.124498,0.107739,0.190116,-0.13562,-0.789878,815.47,1,815.47,0.515240059692181,-0.029714908406303385,0.515240059692181,0.08918161835005539
0.133153,218.8477,-29.003906,1.079438,-9.870533,-8.775947,1.339556,0.969652,0.218846,1.079438,0.072035,906.89,1,906.89,0.29935271660582063,-0.022327927923664878,0.29935271660582063,0.07337800671253453
0.135209,217.6172,-30.234375,1.369136,-9.867717,-9.028535,1.629254,1.067814,-0.033742,1.369136,0.170197,920.92,1,920.92,0.0008903222776498748,-0.016868799523216228,0.0008903222776498748,0.05254763130802629
0.137464,216.2988,-31.552734,-0.535451,-9.867496,-9.182961,-0.275333,1.53588,-0.188168,-0.535451,0.638264,934.93,1,934.93,-0.37865791423678413,-0.011391215622109492,-0.37865791423678413,0.023663869860135564
0.139721,214.8926,-32.958984,0.674818,-9.866096,-9.214086,0.934936,1.079785,-0.219293,0.674818,0.182168,948.92,1,948.92,-0.8231518876220288,-0.0037451059697515745,-0.8231518876220288,-0.013160109840392757
0.141991,213.4863,-34.365234,1.130913,-9.866069,-9.033323,1.391031,0.584185,-0.03853,1.130913,-0.313432,962.89,1,962.89,-1.2990297048619153,0.0059443549211917555,-1.2990297048619153,-0.051878840309866316
