t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.002240,162.5977,-0.791016,-0.115523,-0.012649,-9.082404,0.130484,0.877475,-0.087989,-0.115523,0.007798,2500.00,1,2500.00
0.004492,156.1816,-7.207031,-12.120050,-0.023931,-9.515755,-11.874043,1.349133,-0.521339,-12.120050,0.479456,2500.00,1,2500.00
0.006751,148.7988,-14.589844,-19.859306,-0.064327,-9.959879,-19.613300,0.877475,-0.965464,-19.859306,0.007798,2500.00,1,2500.00
0.009011,141.7676,-21.621094,-19.859306,-0.109190,-9.771935,-19.613300,-1.083376,-0.777519,-19.859306,-1.953053,2500.00,1,2500.00
0.011282,134.7363,-28.652344,-15.797544,-0.152016,-6.478710,-15.551538,-0.973243,2.515706,-15.797544,-1.842920,2500.00,1,2500.00
0.013537,128.8477,-34.541016,-10.128075,-0.181652,-11.580753,-9.882068,2.582147,-2.586338,-10.128075,1.712470,2500.00,1,2500.00
0.015791,123.4863,-39.902344,-2.398394,-0.189003,-9.113529,-2.152387,0.635661,-0.119114,-2.398394,-0.234016,2500.00,1,2500.00
0.018047,118.3008,-45.087891,0.001793,-0.193340,-8.293514,0.247800,1.680730,0.700901,0.001793,0.811053,2500.00,1,2500.00
0.020309,113.4668,-49.921875,14.138357,-0.169207,-10.405201,14.384364,0.292093,-1.410786,14.138357,-0.577584,2500.00,1,2500.00
0.022568,109.2480,-54.140625,14.220957,-0.134030,-8.547300,14.466964,0.644040,0.447115,14.220957,-0.225636,2500.00,1,2500.00
0.024826,104.6777,-58.710937,0.900816,-0.124722,-9.848549,1.146823,4.170700,-0.854134,0.900816,3.301023,2500.00,1,2500.00
0.027083,100.1953,-63.193359,-5.264253,-0.135379,-7.693767,-5.018247,-1.751359,1.300648,-5.264253,-2.621035,2500.00,1,2500.00
0.029343,96.1523,-67.236328,-5.022439,-0.147677,-7.836222,-4.776433,-0.946907,1.158193,-5.022439,-1.816584,2500.00,1,2500.00
0.031599,91.7578,-71.630859,-4.483744,-0.158471,-8.440758,-4.237737,2.244564,0.553658,-4.483744,1.374887,2500.00,1,2500.00
