t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.00224,162.5977,-0.791016,-0.115523,-0.012649,-9.082404,0.130484,0.877475,-0.087989,-0.115523,0.007798,2500.0,1,2500.0,0.44938738753939733,-0.07611214613099597,0.44938738753939733,0.0009892986013519771
0.004492,156.1816,-7.207031,-12.12005,-0.023931,-9.515755,-11.874043,1.349133,-0.521339,-12.12005,0.479456,2500.0,1,2500.0,-2.3001881267223196,-0.13226905261305016,-2.3001881267223196,-0.08469625968106136
0.006751,148.7988,-14.589844,-19.859306,-0.064327,-9.959879,-19.6133,0.877475,-0.965464,-19.859306,0.007798,2500.0,1,2500.0,-4.53596580715411,-0.1770522982341818,-4.53596580715411,-0.1528847906484467
0.009011,141.7676,-21.621094,-19.859306,-0.10919,-9.771935,-19.6133,-1.083376,-0.777519,-19.859306,-1.953053,2500.0,1,2500.0,-5.855166228311023,-0.20585012221948104,-5.855166228311023,-0.18675945444132824
0.011282,134.7363,-28.652344,-15.797544,-0.152016,-6.47871,-15.551538,-0.973243,2.515706,-15.797544,-1.84292,2500.0,1,2500.0,-6.115943873092301,-0.22177749291446333,-6.115943873092301,-0.17677559325309766
0.013537,128.8477,-34.541016,-10.128075,-0.181652,-11.580753,-9.882068,2.582147,-2.586338,-10.128075,1.71247,2500.0,1,2500.0,-5.438802478766456,-0.22581325875435357,-5.438802478766456,-0.13216532064007877
0.015791,123.4863,-39.902344,-2.398394,-0.189003,-9.113529,-2.152387,0.635661,-0.119114,-2.398394,-0.234016,2500.0,1,2500.0,-4.137746668828423,-0.21364809260261375,-4.137746668828423,-0.07495342705071202
0.018047,118.3008,-45.087891,0.001793,-0.19334,-8.293514,0.2478,1.68073,0.700901,0.001793,0.811053,2500.0,1,2500.0,-2.6209713327841744,-0.18430438284561176,-2.6209713327841744,-0.023418600373183572
0.020309,113.4668,-49.921875,14.138357,-0.169207,-10.405201,14.384364,0.292093,-1.410786,14.138357,-0.577584,2500.0,1,2500.0,-1.2862158311159837,-0.14191195869050316,-1.2862158311159837,0.014075842140097735
0.022568,109.248,-54.140625,14.220957,-0.13403,-8.5473,14.466964,0.64404,0.447115,14.220957,-0.225636,2500.0,1,2500.0,-0.4065804671990734,-0.09219591068950048,-0.4065804671990734,0.03390877293239662
0.024826,104.6777,-58.710937,0.900816,-0.124722,-9.848549,1.146823,4.1707,-0.854134,0.900816,3.301023,2500.0,1,2500.0,-0.03817225922442334,-0.044356908797886986,-0.03817225922442334,0.034912451228569376
0.027083,100.1953,-63.193359,-5.264253,-0.135379,-7.693767,-5.018247,-1.751359,1.300648,-5.264253,-2.621035,2500.0,1,2500.0,-0.03808905699749377,-0.011402929112169233,-0.03808905699749377,0.025602117354642337
0.029343,96.1523,-67.236328,-5.022439,-0.147677,-7.836222,-4.776433,-0.946907,1.158193,-5.022439,-1.816584,2500.0,1,2500.0,-0.19229798145320062,-0.003119000160448693,-0.19229798145320062,0.021815498640000618
