t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.002240,243.6328,-0.263672,-0.015110,-0.045357,-9.069236,0.209493,0.927753,-0.072264,-0.015110,0.002760,1500.00,1,1500.00
0.004441,240.7324,-3.164063,-7.468259,-0.051391,-9.466674,-7.243657,1.264138,-0.469702,-7.468259,0.339145,1500.00,1,1500.00
0.006699,237.2168,-6.679687,-19.837902,-0.089060,-9.947908,-19.613300,1.501164,-0.950936,-19.837902,0.576171,1500.00,1,1500.00
0.008959,233.0859,-10.810547,-19.837902,-0.133874,-9.409213,-19.613300,-0.944513,-0.412241,-19.837902,-1.869506,1500.00,1,1500.00
0.011228,229.6582,-14.238281,-0.282063,-0.149226,-8.316259,-0.057461,1.713051,0.680713,-0.282063,0.788058,1500.00,1,1500.00
0.013484,226.3184,-17.578125,-3.271224,-0.150399,-7.431602,-3.046622,-2.759317,1.565370,-3.271224,-3.684311,1500.00,1,1500.00
0.015739,221.5723,-22.324219,-7.896821,-0.166662,-8.969876,-7.672219,1.097741,0.027096,-7.896821,0.172748,1500.00,1,1500.00
0.017993,217.5293,-26.367187,-4.559304,-0.181106,-10.742783,-4.334702,3.645172,-1.745811,-4.559304,2.720179,1500.00,1,1500.00
0.020255,213.3984,-30.498047,10.600780,-0.167006,-9.261970,10.825383,0.648829,-0.264997,10.600780,-0.276165,1500.00,1,1500.00
0.022515,209.3555,-34.541016,6.953215,-0.146129,-8.535329,7.177817,1.094150,0.461643,6.953215,0.169157,1500.00,1,1500.00
0.024773,204.8730,-39.023437,0.680406,-0.141117,-8.497022,0.905008,-0.548272,0.499950,0.680406,-1.473266,1500.00,1,1500.00
0.027029,200.0391,-43.857422,-1.313964,-0.143475,-9.306262,-1.089362,1.782483,-0.309290,-1.313964,0.857490,1500.00,1,1500.00
0.029293,195.4687,-48.427734,-2.470363,-0.147284,-9.667787,-2.245761,0.713472,-0.670815,-2.470363,-0.211521,1500.00,1,1500.00
0.031551,190.8105,-53.085937,-4.937588,-0.155783,-9.283517,-4.712986,1.504756,-0.286545,-4.937588,0.579762,1500.00,1,1500.00
0.033807,186.0645,-57.832031,-4.360586,-0.166320,-8.294712,-4.135983,0.972046,0.702260,-4.360586,0.047052,1500.00,1,1500.00
0.036063,180.9668,-62.929687,1.979260,-0.168960,-9.813833,2.203863,0.717063,-0.816861,1.979260,-0.207930,1500.00,1,1500.00
0.038323,175.9570,-67.939453,2.555066,-0.162853,-9.191340,2.779668,1.262941,-0.194368,2.555066,0.337948,1500.00,1,1500.00
0.040580,171.4746,-72.421875,-0.765692,-0.161886,-8.428787,-0.541090,0.743400,0.568185,-0.765692,-0.181594,1500.00,1,1500.00
0.042836,166.7285,-77.167969,0.442183,-0.162117,-8.943541,0.666785,0.299275,0.053432,0.442183,-0.625718,1500.00,1,1500.00
0.045092,162.0703,-81.826172,2.912999,-0.156594,-9.208099,3.137601,1.450886,-0.211127,2.912999,0.525893,1500.00,1,1500.00
0.047353,157.6758,-86.220703,0.193186,-0.152306,-9.595961,0.417788,1.241394,-0.598989,0.193186,0.316400,1500.00,1,1500.00
0.049610,153.3691,-90.527344,-4.327067,-0.158402,-9.430760,-4.102465,0.626084,-0.433788,-4.327067,-0.298910,1500.00,1,1500.00
0.051866,149.3262,-94.570312,-5.065678,-0.170082,-8.427590,-4.841076,-0.380678,0.569382,-5.065678,-1.305671,1500.00,1,1500.00
0.054121,145.2832,-98.613281,1.305292,-0.172652,-8.718486,1.529895,1.204283,0.278486,1.305292,0.279290,1500.00,1,1500.00
0.056381,141.1523,-102.744141,1.706321,-0.168198,-9.745598,1.930924,1.470040,-0.748626,1.706321,0.545046,1500.00,1,1500.00
0.058637,137.3730,-106.523437,-1.130808,-0.168442,-9.549273,-0.906205,1.312023,-0.552301,-1.130808,0.387029,1500.00,1,1500.00
0.060893,133.9453,-109.951172,1.632101,-0.167183,-8.324639,1.856703,1.940500,0.672333,1.632101,1.015507,1500.00,1,1500.00
0.063150,130.6055,-113.291016,2.842370,-0.159298,-9.837775,3.066972,0.766145,-0.840803,2.842370,-0.158849,1500.00,1,1500.00
0.065413,127.0898,-116.806641,-1.687460,-0.158141,-9.015367,-1.462857,0.056264,-0.018394,-1.687460,-0.868730,1500.00,1,1500.00
0.067668,123.9258,-119.970703,-1.683868,-0.162512,-8.160637,-1.459266,0.462081,0.836335,-1.683868,-0.462913,1500.00,1,1500.00
0.069925,120.9375,-122.958984,-1.595283,-0.165955,-9.746795,-1.370680,-0.186748,-0.749823,-1.595283,-1.111741,1500.00,1,1500.00
0.072180,117.7734,-126.123047,-0.458037,-0.167878,-8.995016,-0.233435,1.514333,0.001956,-0.458037,0.589339,1500.00,1,1500.00
0.074440,115.1367,-128.759766,-0.941666,-0.169004,-9.382876,-0.717063,1.747767,-0.385904,-0.941666,0.822774,1500.00,1,1500.00
0.076696,112.0605,-131.835937,-2.191439,-0.174014,-9.423578,-1.966837,1.845930,-0.426606,-2.191439,0.920936,1500.00,1,1500.00
0.078953,109.4238,-134.472656,2.844764,-0.172060,-8.497022,3.069367,0.966060,0.499950,2.844764,0.041067,1500.00,1,1500.00
0.081209,106.6992,-137.197266,3.434935,-0.164546,-9.119514,3.659537,0.725443,-0.122542,3.434935,-0.199550,1500.00,1,1500.00
0.083468,104.0625,-139.833984,1.914617,-0.158555,-8.498219,2.139219,0.876278,0.498754,1.914617,-0.048716,1500.00,1,1500.00
0.085725,101.4258,-142.470703,-0.515498,-0.158117,-8.883685,-0.290895,0.798466,0.113287,-0.515498,-0.126527,1500.00,1,1500.00
0.087981,98.7891,-145.107422,-2.303966,-0.162280,-9.628283,-2.079364,1.140837,-0.631310,-2.303966,0.215844,1500.00,1,1500.00
0.090239,96.5039,-147.392578,-1.098486,-0.166280,-8.737639,-0.873884,1.255759,0.259333,-1.098486,0.330765,1500.00,1,1500.00
0.092500,93.9551,-149.941406,0.644493,-0.166467,-8.717288,0.869095,0.990002,0.279684,0.644493,0.065009,1500.00,1,1500.00
0.094757,91.4063,-152.490234,3.019541,-0.160520,-9.374496,3.244143,0.824802,-0.377524,3.019541,-0.100191,1500.00,1,1500.00
0.097014,88.8574,-155.039062,-2.702601,-0.159869,-9.283517,-2.477999,0.663194,-0.286545,-2.702601,-0.261800,1500.00,1,1500.00
0.099269,86.4844,-157.412109,-0.516695,-0.165080,-7.845799,-0.292093,1.152808,1.151173,-0.516695,0.227815,1500.00,1,1500.00
0.101526,84.0234,-159.873047,4.225022,-0.159066,-8.989030,4.449624,1.513135,0.007942,4.225022,0.588142,1500.00,1,1500.00
0.103787,81.6504,-162.246094,0.956936,-0.154370,-10.594342,1.181539,1.047463,-1.597370,0.956936,0.122470,1500.00,1,1500.00
0.106044,79.1895,-164.707031,0.952148,-0.152852,-7.386112,1.176750,0.195127,1.610860,0.952148,-0.729866,1500.00,1,1500.00
0.108300,76.6406,-167.255859,-1.883784,-0.153994,-9.276335,-1.659182,0.521936,-0.279363,-1.883784,-0.403057,1500.00,1,1500.00
0.110558,74.2676,-169.628906,-1.401353,-0.157808,-9.556456,-1.176750,0.899023,-0.559484,-1.401353,-0.025971,1500.00,1,1500.00
0.112821,71.7188,-172.177734,-0.635208,-0.159209,-8.599973,-0.410606,1.157596,0.396999,-0.635208,0.232603,1500.00,1,1500.00
0.215814,304.9805,-298.916016,0.610974,-0.096283,-9.002198,0.835576,0.942118,-0.005226,0.610974,0.017125,1500.00,1,1500.00
0.217870,302.6953,-301.201172,1.885887,-0.093811,-8.998607,2.110489,1.203086,-0.001635,1.885887,0.278093,1500.00,1,1500.00
0.220128,300.1465,-303.750000,-0.422124,-0.091740,-9.351752,-0.197522,0.956484,-0.354780,-0.422124,0.031490,1500.00,1,1500.00
0.222398,297.6855,-306.210937,-1.286431,-0.094292,-9.010578,-1.061828,0.591368,-0.013606,-1.286431,-0.333626,1500.00,1,1500.00
0.224656,295.1367,-308.759766,0.819270,-0.093656,-8.457518,1.043872,0.835576,0.539454,0.819270,-0.089417,1500.00,1,1500.00
0.226913,292.7637,-311.132812,0.397890,-0.091206,-9.519346,0.622492,1.060631,-0.522374,0.397890,0.135638,1500.00,1,1500.00
0.229168,290.0391,-313.857422,-1.258897,-0.092509,-9.417592,-1.034295,0.963666,-0.420620,-1.258897,0.038673,1500.00,1,1500.00
0.231430,287.6660,-316.230469,-0.872234,-0.094976,-8.447941,-0.647632,0.770933,0.549031,-0.872234,-0.154060,1500.00,1,1500.00
0.233688,285.2930,-318.603516,1.280153,-0.093232,-8.956709,1.504756,1.013944,0.040263,1.280153,0.088951,1500.00,1,1500.00
0.235946,282.9199,-320.976562,1.811666,-0.089362,-9.202114,2.036268,0.808043,-0.205142,1.811666,-0.116950,1500.00,1,1500.00
0.238202,280.2832,-323.613281,-0.204252,-0.087320,-9.214086,0.020351,1.267730,-0.217113,-0.204252,0.342736,1500.00,1,1500.00
0.240462,277.9980,-325.898437,-2.305163,-0.091828,-9.162610,-2.080561,1.071405,-0.165638,-2.305163,0.146412,1500.00,1,1500.00
0.242720,275.4492,-328.447266,-0.226996,-0.093987,-8.513782,-0.002394,0.337582,0.483191,-0.226996,-0.587411,1500.00,1,1500.00
0.244976,272.9004,-330.996094,2.794486,-0.088574,-9.251195,3.019088,0.925359,-0.254223,2.794486,0.000365,1500.00,1,1500.00
0.247232,270.5273,-333.369141,0.042351,-0.085133,-9.318233,0.266953,1.112107,-0.321261,0.042351,0.187113,1500.00,1,1500.00
0.249493,267.6270,-336.269531,-1.422900,-0.087799,-8.904037,-1.198298,1.127669,0.092936,-1.422900,0.202676,1500.00,1,1500.00
0.251749,265.1660,-338.730469,-0.933286,-0.091893,-8.902839,-0.708684,0.968455,0.094133,-0.933286,0.043461,1500.00,1,1500.00
0.254006,262.7051,-341.191406,2.142066,-0.090074,-9.071630,2.366668,0.889446,-0.074658,2.142066,-0.035547,1500.00,1,1500.00
0.256261,259.8047,-344.091797,0.443380,-0.086454,-9.500193,0.667982,0.903811,-0.503221,0.443380,-0.021182,1500.00,1,1500.00
0.258522,256.9043,-346.992187,-0.781254,-0.088299,-8.933964,-0.556652,0.791284,0.063008,-0.781254,-0.133710,1500.00,1,1500.00
0.260780,254.1797,-349.716797,0.309305,-0.088015,-9.145850,0.533907,1.086968,-0.148878,0.309305,0.161974,1500.00,1,1500.00
0.263036,251.2793,-352.617187,-0.255727,-0.088291,-9.239224,-0.031125,0.603339,-0.242252,-0.255727,-0.321655,1500.00,1,1500.00
0.265294,248.2910,-355.605469,1.890675,-0.085850,-8.635885,2.115277,0.620098,0.361087,1.890675,-0.304895,1500.00,1,1500.00
0.267555,245.3027,-358.593750,0.367963,-0.083607,-9.175778,0.592565,1.392228,-0.178806,0.367963,0.467235,1500.00,1,1500.00
0.269813,241.8750,-362.021484,-1.128413,-0.086809,-8.899248,-0.903811,0.884658,0.097724,-1.128413,-0.040336,1500.00,1,1500.00
0.272068,238.7109,-365.185547,1.020383,-0.086624,-8.746018,1.244985,1.195904,0.250954,1.020383,0.270910,1500.00,1,1500.00
0.274324,235.4590,-368.437500,-0.088133,-0.085772,-9.385271,0.136469,0.915782,-0.388299,-0.088133,-0.009211,1500.00,1,1500.00
0.276587,231.7676,-372.128906,0.130937,-0.085742,-8.974665,0.355539,0.572214,0.022307,0.130937,-0.352779,1500.00,1,1500.00
0.278841,228.1641,-375.732422,-1.286431,-0.086940,-9.100361,-1.061828,0.990002,-0.103389,-1.286431,0.065009,1500.00,1,1500.00
0.281099,224.1211,-379.775391,0.473307,-0.088505,-9.083601,0.697910,0.797269,-0.086629,0.473307,-0.127724,1500.00,1,1500.00
0.283357,220.1660,-383.730469,0.970104,-0.085908,-9.075222,1.194707,0.847547,-0.078250,0.970104,-0.077446,1500.00,1,1500.00
0.285620,216.1230,-387.773437,0.074673,-0.085285,-9.126697,0.299275,0.730232,-0.129725,0.074673,-0.194762,1500.00,1,1500.00
0.287875,212.0801,-391.816406,-1.307979,-0.086759,-8.819042,-1.083376,1.019930,0.177930,-1.307979,0.094936,1500.00,1,1500.00
0.290129,207.3340,-396.562500,-2.356639,-0.091702,-9.069236,-2.132037,1.261744,-0.072264,-2.356639,0.336751,1500.00,1,1500.00
0.292386,202.8516,-401.044922,1.513588,-0.090672,-9.096769,1.738190,1.137246,-0.099797,1.513588,0.212252,1500.00,1,1500.00
0.294647,198.2812,-405.615234,1.818849,-0.085822,-9.289502,2.043451,1.130063,-0.292530,1.818849,0.205070,1500.00,1,1500.00
0.296902,193.7109,-410.185547,-1.094895,-0.086941,-9.024943,-0.870292,0.512359,-0.027971,-1.094895,-0.412634,1500.00,1,1500.00
0.299160,188.5254,-415.371094,-0.709428,-0.089062,-8.890868,-0.484826,0.772130,0.106104,-0.709428,-0.152863,1500.00,1,1500.00
0.301417,184.0430,-419.853516,1.442959,-0.087234,-9.135077,1.667562,1.270124,-0.138104,1.442959,0.345131,1500.00,1,1500.00
0.303679,179.1211,-424.775391,0.458942,-0.083464,-9.167398,0.683545,0.794875,-0.170426,0.458942,-0.130118,1500.00,1,1500.00
0.305934,174.1992,-429.697266,-3.220946,-0.086850,-9.165004,-2.996343,0.907402,-0.168032,-3.220946,-0.017591,1500.00,1,1500.00
0.308188,169.8047,-434.091797,-1.457616,-0.092860,-8.871715,-1.233014,1.119289,0.125257,-1.457616,0.194296,1500.00,1,1500.00
0.310447,164.5312,-439.365234,0.791736,-0.091983,-9.075222,1.016339,0.919373,-0.078250,0.791736,-0.005620,1500.00,1,1500.00
0.312701,160.3125,-443.583984,-0.404167,-0.091345,-9.066842,-0.179565,0.738611,-0.069870,-0.404167,-0.186382,1500.00,1,1500.00
0.314960,155.8301,-448.066406,-1.030251,-0.092947,-8.959103,-0.805649,1.088165,0.037869,-1.030251,0.163171,1500.00,1,1500.00
0.317215,151.6992,-452.197266,0.827649,-0.092870,-9.003395,1.052252,1.125275,-0.006423,0.827649,0.200281,1500.00,1,1500.00
0.319470,147.6562,-456.240234,2.189950,-0.088177,-9.252393,2.414552,1.161188,-0.255421,2.189950,0.236194,1500.00,1,1500.00
0.321723,143.3496,-460.546875,-1.817944,-0.088187,-9.143456,-1.593341,0.818817,-0.146484,-1.817944,-0.106176,1500.00,1,1500.00
0.323983,139.7461,-464.150391,-0.886599,-0.091466,-8.844181,-0.661997,0.749385,0.152791,-0.886599,-0.175608,1500.00,1,1500.00
0.326240,135.9668,-467.929687,-0.096513,-0.092307,-9.131485,0.128090,0.954089,-0.134513,-0.096513,0.029096,1500.00,1,1500.00
0.427903,13.4473,-590.449219,-0.412547,-0.134247,-9.342175,-0.187945,1.109712,-0.345203,-0.412547,0.184719,1500.00,1,1500.00
0.430445,9.9316,-593.964844,-2.458392,-0.139934,-9.065644,-2.233790,0.441730,-0.068672,-2.458392,-0.483263,1500.00,1,1500.00
0.432716,7.0312,-596.865234,-0.285654,-0.142535,-9.004593,-0.061052,1.168370,-0.007621,-0.285654,0.243377,1500.00,1,1500.00
0.434972,4.2187,-599.677734,1.280153,-0.141190,-8.947132,1.504756,1.212663,0.049840,1.280153,0.287670,1500.00,1,1500.00
0.437229,0.8789,-603.017578,0.863562,-0.138630,-9.159019,1.088165,1.217452,-0.162046,0.863562,0.292458,1500.00,1,1500.00
0.439486,357.9785,-605.917969,-1.694642,-0.141579,-9.046491,-1.470040,0.656011,-0.049519,-1.694642,-0.268982,1500.00,1,1500.00
0.441747,354.9902,-608.906250,1.486055,-0.141590,-8.876503,1.710657,0.663194,0.120469,1.486055,-0.261800,1500.00,1,1500.00
0.444002,352.0898,-611.806641,1.319658,-0.138025,-9.378088,1.544260,1.364695,-0.381116,1.319658,0.439701,1500.00,1,1500.00
0.446260,348.9258,-614.970703,-0.865051,-0.138830,-9.294291,-0.640449,1.021127,-0.297318,-0.865051,0.096134,1500.00,1,1500.00
0.448516,346.2012,-617.695313,-0.778860,-0.141030,-8.865729,-0.554258,1.017536,0.131243,-0.778860,0.092542,1500.00,1,1500.00
0.450781,343.3008,-620.595703,-0.653164,-0.142437,-9.202114,-0.428562,1.149217,-0.205142,-0.653164,0.224223,1500.00,1,1500.00
0.453039,340.4004,-623.496094,0.308108,-0.142703,-9.132683,0.532710,1.024718,-0.135711,0.308108,0.099725,1500.00,1,1500.00
0.455296,337.6758,-626.220703,0.887504,-0.140797,-8.931569,1.112107,1.146823,0.065403,0.887504,0.221829,1500.00,1,1500.00
0.457554,334.5996,-629.296875,-0.364663,-0.140358,-9.269152,-0.140061,0.961272,-0.272180,-0.364663,0.036279,1500.00,1,1500.00
0.459816,331.8750,-632.021484,0.561893,-0.140073,-8.856153,0.786495,0.417788,0.140820,0.561893,-0.507205,1500.00,1,1500.00
0.462071,329.0625,-634.833984,-1.805973,-0.141920,-8.712500,-1.581370,0.529119,0.284472,-1.805973,-0.395875,1500.00,1,1500.00
0.464327,326.2500,-637.646484,-1.907726,-0.146883,-9.105149,-1.683124,0.861913,-0.108177,-1.907726,-0.063081,1500.00,1,1500.00
0.466583,323.4375,-640.458984,2.680762,-0.144321,-9.397242,2.905364,1.338359,-0.400270,2.680762,0.413365,1500.00,1,1500.00
0.468845,320.8008,-643.095703,1.627313,-0.138437,-9.080010,1.851915,1.085770,-0.083038,1.627313,0.160777,1500.00,1,1500.00
0.471101,318.1641,-645.732422,-3.617186,-0.143976,-9.144653,-3.392584,0.521936,-0.147681,-3.617186,-0.403057,1500.00,1,1500.00
0.473358,315.5273,-648.369141,-1.476770,-0.149653,-9.040505,-1.252167,0.381875,-0.043533,-1.476770,-0.543118,1500.00,1,1500.00
0.475616,312.9785,-650.917969,3.881454,-0.143429,-8.791509,4.106056,1.643619,0.205463,3.881454,0.718626,1500.00,1,1500.00
0.477879,310.0781,-653.818359,1.093406,-0.136860,-8.908825,1.318008,1.341950,0.088147,1.093406,0.416957,1500.00,1,1500.00
0.480134,307.6172,-656.279297,-4.798725,-0.144715,-9.293094,-4.574122,0.657208,-0.296122,-4.798725,-0.267785,1500.00,1,1500.00
0.482390,305.1562,-658.740234,-1.952019,-0.152258,-8.801085,-1.727417,0.465672,0.195887,-1.952019,-0.459321,1500.00,1,1500.00
0.484647,302.6074,-661.289063,4.306425,-0.145627,-9.208099,4.531027,1.499967,-0.211127,4.306425,0.574974,1500.00,1,1500.00
0.486908,299.9707,-663.925781,1.465704,-0.138341,-9.555259,1.690306,1.040281,-0.558287,1.465704,0.115287,1500.00,1,1500.00
0.489163,297.4219,-666.474609,-4.112786,-0.144747,-9.148245,-3.888184,0.555455,-0.151273,-4.112786,-0.369539,1500.00,1,1500.00
0.491420,295.0488,-668.847656,1.591400,-0.149233,-8.588001,1.816002,0.630872,0.408971,1.591400,-0.294121,1500.00,1,1500.00
0.493677,292.6758,-671.220703,4.049048,-0.142068,-9.337387,4.273650,1.333570,-0.340415,4.049048,0.408577,1500.00,1,1500.00
0.495939,290.1270,-673.769531,-0.333538,-0.137003,-9.412804,-0.108936,1.210269,-0.415832,-0.333538,0.285276,1500.00,1,1500.00
