t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.00224,243.6328,-0.263672,-0.01511,-0.045357,-9.069236,0.209493,0.927753,-0.072264,-0.01511,0.00276,1500.0,1,1500.0,0.2533150363935057,-0.054110365883051674,0.2533150363935057,0.009532087843878293
0.004441,240.7324,-3.164063,-7.468259,-0.051391,-9.466674,-7.243657,1.264138,-0.469702,-7.468259,0.339145,1500.0,1,1500.0,-2.1311423326070025,-0.054512382025814356,-2.1311423326070025,-0.10097563066668415
0.006699,237.2168,-6.679687,-19.837902,-0.08906,-9.947908,-19.6133,1.501164,-0.950936,-19.837902,0.576171,1500.0,1,1500.0,-4.019693049701208,-0.044825802131023586,-4.019693049701208,-0.20258506497368148
0.008959,233.0859,-10.810547,-19.837902,-0.133874,-9.409213,-19.6133,-0.944513,-0.412241,-19.837902,-1.869506,1500.0,1,1500.0,-5.075417673629903,-0.02450789022128096,-5.075417673629903,-0.2781843904803899
0.011228,229.6582,-14.238281,-0.282063,-0.149226,-8.316259,-0.057461,1.713051,0.680713,-0.282063,0.788058,1500.0,1,1500.0,-5.248574471223498,-0.0064471039675272,-5.248574471223498,-0.3087130369577252
0.013484,226.3184,-17.578125,-3.271224,-0.150399,-7.431602,-3.046622,-2.759317,1.56537,-3.271224,-3.684311,1500.0,1,1500.0,-4.718127421254447,-0.006974211873875439,-4.718127421254447,-0.28353755661937746
0.015739,221.5723,-22.324219,-7.896821,-0.166662,-8.969876,-7.672219,1.097741,0.027096,-7.896821,0.172748,1500.0,1,1500.0,-3.7361642347185575,-0.028934958344401046,-3.7361642347185575,-0.21259989949069677
0.017993,217.5293,-26.367187,-4.559304,-0.181106,-10.742783,-4.334702,3.645172,-1.745811,-4.559304,2.720179,1500.0,1,1500.0,-2.5629431037343373,-0.057785364535246075,-2.5629431037343373,-0.12809319205191042
0.020255,213.3984,-30.498047,10.60078,-0.167006,-9.26197,10.825383,0.648829,-0.264997,10.60078,-0.276165,1500.0,1,1500.0,-1.4757545128745735,-0.07835195985173771,-1.4757545128745735,-0.060555520320482316
0.022515,209.3555,-34.541016,6.953215,-0.146129,-8.535329,7.177817,1.09415,0.461643,6.953215,0.169157,1500.0,1,1500.0,-0.7034301844052316,-0.08981398224053716,-0.7034301844052316,-0.01602870732200235
