t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad
0.01072,0.0,0.0,0.0,0.0,-0.00153588974175501
0.02077,0.0,0.0,0.0,0.0,-0.0
0.031,0.0,0.0,0.0,0.0,-0.0
0.04105,0.0,0.0,0.0,0.0,0.00153588974175501
0.06064,0.0,0.0,0.0,0.0,-0.0
0.07069,0.0,0.0,0.0,0.0,-0.0
0.08092,0.0,0.0,0.0,0.0,0.00153588974175501
0.09099,0.0,0.0,0.0,0.0,0.00153588974175501
0.11056,0.0,0.0,0.0,0.0,0.00153588974175501
0.12061,0.0,0.0,0.0,0.0,-0.0
0.13075,0.0,0.0,0.0,0.0,-0.0
0.14099,0.0,0.0,0.0,0.0,0.00153588974175501
0.15103,0.0,0.0,0.0,0.0,0.00153588974175501
0.17062,0.0,0.0,0.0,0.0,0.00307177948351002
0.18067,0.0,0.0,0.0,0.0,0.00153588974175501
0.1909,0.0,0.0,0.0,0.0,-0.0
0.20095,0.0,0.0,0.0,0.0,-0.0
0.22054,0.0,0.0,0.0,0.0,-0.0
0.24066,0.0,0.0,0.0,0.0,0.00153588974175501
0.25071,0.0,0.0,0.0,0.0,-0.0
0.26081,0.0,0.0,0.0,0.0,0.00153588974175501
0.28048,0.0,0.0,0.0,0.0,-0.0
0.29053,0.0,0.0,0.0,0.0,0.00153588974175501
0.30076,0.0,0.0,0.0,0.0,-0.0
0.32017,0.0,0.0,0.0,0.0,0.00153588974175501
0.3304,0.0,0.0,0.0,0.0,-0.0
0.34045,0.0,0.0,0.0,0.0,0.00153588974175501
0.35068,0.0,0.0,0.0,0.0,-0.0
0.37009,0.0,0.0,0.0,0.0,0.00153588974175501
0.38032,0.0,0.0,0.0,0.0,0.00153588974175501
0.39038,0.0,0.0,0.0,0.0,-0.0
0.4006,0.0,0.0,0.0,0.0,-0.0
0.42002,0.0,0.0,0.0,0.0,-0.0
0.43025,0.0,0.0,0.0,0.0,0.00153588974175501
0.4403,0.0,0.0,0.0,0.0,0.00153588974175501
0.45052,0.0,0.0,0.0,0.0,-0.0
0.46994,0.0,0.0,0.0,0.0,-0.0
0.48017,0.0,0.0,0.0,0.0,0.00153588974175501
0.49022,0.0,0.0,0.0,0.0,-0.0
0.50045,0.0,0.0,0.0,0.0,0.00153588974175501
0.51995,0.0,0.0,0.0,0.0,-0.0
0.53,0.0,0.0,0.0,0.0,-0.0
0.54024,0.0,0.0,0.0,0.0,-0.0
0.55028,0.0,0.0,0.0,0.0,-0.0
0.56986,0.0,0.0,0.0,0.0,0.00153588974175501
0.57992,0.0,0.0,0.0,0.0,-0.0
0.59016,0.0,0.0,0.0,0.0,0.00153588974175501
0.6002,0.0,0.0,0.0,0.0,-0.0
0.61979,0.0,0.0,0.0,0.0,0.00153588974175501
0.62984,0.0,0.0,0.0,0.0,-0.0
0.63998,0.0,0.0,0.0,0.0,0.00153588974175501
0.6502,0.0,0.0,0.0,0.0,-0.0
0.66963,0.0,0.0,0.0,0.0,-0.0
0.67985,0.0,0.0,0.0,0.0,-0.0
0.6899,0.0,0.0,0.0,0.0,-0.0
0.70012,0.0,0.0,0.0,0.0,0.00153588974175501
0.71954,0.0,0.0,0.0,0.0,-0.0
0.72977,0.0,0.0,0.0,0.0,0.00153588974175501
0.73982,0.0,0.0,0.0,0.0,-0.0
0.75005,0.0,0.0,0.0,0.0,0.00153588974175501
0.76955,0.0,0.0,0.0,0.0,0.00153588974175501
0.77977,0.0,0.0,0.0,0.0,0.00153588974175501
0.78982,0.0,0.0,0.0,0.0,-0.0
0.80941,0.0,0.0,0.0,0.0,0.00153588974175501
0.81947,0.0,0.0,0.0,0.0,-0.0
0.82969,0.0,0.0,0.0,0.0,0.00307177948351002
0.83974,0.0,0.0,0.0,0.0,-0.0
0.85933,0.0,0.0,0.0,0.0,0.00153588974175501
0.86939,0.0,0.0,0.0,0.0,0.00153588974175501
0.87961,0.0,0.0,0.0,0.0,-0.0
0.88975,0.0,0.0,0.0,0.0,-0.0
0.90917,0.0,0.0,0.0,0.0,-0.0
0.91939,0.0,0.0,0.0,0.0,0.00153588974175501
0.92945,0.0,0.0,0.0,0.0,0.00153588974175501
0.93967,0.0,0.0,0.0,0.0,0.00153588974175501
0.95908,0.0,0.0,0.0,0.0,0.00153588974175501
0.96933,0.0,0.0,0.0,0.0,0.00153588974175501
0.97937,0.0,0.0,0.0,0.0,-0.00153588974175501
0.98959,0.0,0.0,0.0,0.0,-0.0
1.009,0.10995574287564278,0.0,0.0,0.0,0.00153588974175501
1.01977,0.21048670779051618,0.00012251359679555426,7.916828624928839e-07,0.0007916828624928839,-0.0
1.03924,0.41783182292744253,0.0002616502491502972,3.5316079280694827e-06,0.003531607928069483,-0.0
1.04946,0.5246459731494955,0.00027815832351572715,3.824631596640148e-06,0.003824631596640148,0.00153588974175501
1.06887,0.730420291959627,0.00040126397619680667,6.96789922477208e-06,0.00696789922477208,-0.0
1.0791,0.851371609122834,0.00040385243235785943,6.659585764675779e-06,0.006659585764675779,-0.0
1.08915,0.9644689446520666,0.0004054304618978679,6.440497144049639e-06,0.006440497144049639,-0.0
1.09938,1.077566280181299,0.00040760226948881453,6.366161016552117e-06,0.006366161016552117,0.00153588974175501
1.1188,1.2990485622593797,0.0005527972820728602,1.0260890540644235e-05,0.010260890540644234,-0.0
1.12902,1.416858286768997,0.0005769826531460326,9.694591953477976e-06,0.009694591953477976,-0.0
1.13907,1.548805178219768,0.0006336076606072245,9.637409365548391e-06,0.009637409365548391,-0.0
1.18093,2.0954422999443922,0.0010464232326952319,3.2064411531702484e-05,0.03206441153170248,-0.00153588974175501
1.19907,2.3012166187545238,0.0010175235729235103,3.0313373486721e-05,0.030313373486721,0.00153588974175501
1.21868,2.5494024383881175,0.0011388437906692996,3.158766013304751e-05,0.03158766013304751,0.00153588974175501
