t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad
0.02077,0.0,0.0,0.0,0.0,-0.0
0.04036,0.0,0.0,0.0,0.0,-0.0
0.05041,0.0,0.0,0.0,0.0,-0.00153588974175501
0.06064,0.0,0.0,0.0,0.0,-0.0
0.07069,0.0,0.0,0.0,0.0,-0.0
0.09028,0.0,0.0,0.0,0.0,-0.0
0.10033,0.0,0.0,0.0,0.0,-0.0
0.13025,0.0,0.0,0.0,0.0,-0.0
0.15035,0.0,0.0,0.0,0.0,-0.0
0.31376,0.0,0.0,0.0,0.0,-0.0
0.3325,0.0,0.0,0.0,0.0,-0.00153588974175501
0.35036,0.0,0.0,0.0,0.0,-0.00153588974175501
0.36994,0.0,0.0,0.0,0.0,-0.0
0.38,0.0,0.0,0.0,0.0,-0.0
0.39022,0.0,0.0,0.0,0.0,-0.0
0.40027,0.0,0.0,0.0,0.0,-0.0
0.41986,0.0,0.0,0.0,0.0,-0.0
0.42992,0.0,0.0,0.0,0.0,-0.0
0.44014,0.0,0.0,0.0,0.0,-0.00153588974175501
0.45063,0.0,0.0,0.0,0.0,-0.0
0.4693,0.0,0.0,0.0,0.0,-0.0
0.47954,0.0,0.0,0.0,0.0,-0.00153588974175501
0.48958,0.0,0.0,0.0,0.0,-0.0
0.4998,0.0,0.0,0.0,0.0,-0.0
0.50986,0.0,0.0,0.0,0.0,-0.0
0.52008,0.0,0.0,0.0,0.0,-0.0
0.5395,0.0,0.0,0.0,0.0,-0.0
0.54972,0.0,0.0,0.0,0.0,-0.0
0.55978,0.0,0.0,0.0,0.0,-0.0
0.57946,0.0,0.0,0.0,0.0,-0.0
0.58951,0.0,0.0,0.0,0.0,-0.0
0.59974,0.0,0.0,0.0,0.0,-0.0
0.60979,0.0,0.0,0.0,0.0,-0.0
0.62938,0.0,0.0,0.0,0.0,-0.0
0.63943,0.0,0.0,0.0,0.0,-0.00153588974175501
0.64966,0.0,0.0,0.0,0.0,-0.00153588974175501
0.65971,0.0,0.0,0.0,0.0,0.00153588974175501
0.6793,0.0,0.0,0.0,0.0,-0.0
0.68935,0.0,0.0,0.0,0.0,-0.0
0.70098,0.0,0.0,0.0,0.0,-0.0
0.71973,0.0,0.0,0.0,0.0,0.00153588974175501
0.73912,0.0,0.0,0.0,0.0,-0.0
0.74935,0.0,0.0,0.0,0.0,-0.0
0.7594,0.0,0.0,0.0,0.0,-0.00153588974175501
0.76963,0.0,0.0,0.0,0.0,-0.0
0.78904,0.0,0.0,0.0,0.0,-0.0
0.79927,0.0,0.0,0.0,0.0,-0.0
0.80932,0.0,0.0,0.0,0.0,-0.00153588974175501
0.81955,0.0,0.0,0.0,0.0,-0.0
0.83905,0.0,0.0,0.0,0.0,0.00153588974175501
0.84911,0.0,0.0,0.0,0.0,-0.0
0.85933,0.0,0.0,0.0,0.0,-0.0
0.86939,0.0,0.0,0.0,0.0,-0.0
0.88897,0.0,0.0,0.0,0.0,0.00153588974175501
0.89902,0.0,0.0,0.0,0.0,-0.0
0.90925,0.0,0.0,0.0,0.0,-0.00153588974175501
0.9193,0.0,0.0,0.0,0.0,-0.0
0.93889,0.0,0.0009015337857319359,1.0596628117493171e-05,0.010596628117493172,-0.0
0.94894,0.0,-0.0005471639220548685,3.0585784205050446e-06,0.0030585784205050446,0.00153588974175501
0.9592,0.0,-0.004441917175811258,-2.55092950819912e-05,-0.0255092950819912,-0.0
0.97884,0.0,-0.00810427178250543,-0.00011080631573423866,-0.11080631573423866,-0.00153588974175501
0.98892,0.0,-0.007044399537079027,-0.00010908831784079705,-0.10908831784079705,-0.00153588974175501
0.99913,0.0,-0.0007439957307049123,-7.00107085507765e-05,-0.0700107085507765,-0.00153588974175501
1.00918,23.56194490192345,0.025967838574020092,0.0001145796414708753,0.11457964147087529,0.21322687471614726
1.02876,23.56194490192345,0.04996939516363722,0.0006557882392649331,0.6557882392649331,0.6181956210563916
1.03882,23.56194490192345,0.06334122307267373,0.0007758005660256252,0.7758005660256252,0.8268148265472737
1.04906,0.0,0.0692728154249758,0.0008910925175864275,0.8910925175864275,1.029307926363656
1.0591,0.0,0.05091819160551495,0.0008413866967834733,0.8413866967834733,1.044649370488686
1.07868,0.0,0.0274552350413202,0.0004365580725256945,0.4365580725256945,1.0461678069379212
1.09288,0.0,0.016203272570950566,0.0013351584806862741,1.3351584806862742,1.0461678069379212
1.10902,0.0,0.014030389765250943,0.003672691710567205,3.672691710567205,1.044649370488686
