t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad
0.03246,0.0,0.0,0.0,0.0,-0.0
0.05205,0.0,0.0,0.0,0.0,-0.0
0.06211,0.0,0.0,0.0,0.0,-0.0
0.07233,0.0,0.0,0.0,0.0,-0.00153588974175501
0.09176,0.0,0.0,0.0,0.0,-0.00153588974175501
0.10197,0.0,0.0,0.0,0.0,-0.0
0.11203,0.0,0.0,0.0,0.0,-0.00153588974175501
0.12225,0.0,0.0,0.0,0.0,-0.0
0.14166,0.0,0.0,0.0,0.0,-0.0
0.15191,0.0,0.0,0.0,0.0,-0.0
0.16195,0.0,0.0,0.0,0.0,-0.00153588974175501
0.17217,0.0,0.0,0.0,0.0,-0.0
0.19159,0.0,0.0,0.0,0.0,-0.0
0.20181,0.0,0.0,0.0,0.0,-0.0
0.21187,0.0,0.0,0.0,0.0,-0.0
0.22209,0.0,0.0,0.0,0.0,-0.0
0.2415,0.0,0.0,0.0,0.0,-0.00153588974175501
0.25173,0.0,0.0,0.0,0.0,-0.0
0.2622,0.0,0.0,0.0,0.0,-0.0
0.28169,0.0,0.0,0.0,0.0,-0.0
0.29192,0.0,0.0,0.0,0.0,-0.00153588974175501
0.30197,0.0,0.0,0.0,0.0,-0.0
0.32156,0.0,0.0,0.0,0.0,-0.0
0.33161,0.0,0.0,0.0,0.0,-0.0
0.34184,0.0,0.0,0.0,0.0,-0.00153588974175501
0.36125,0.0,0.0,0.0,0.0,-0.0
0.37148,0.0,0.0,0.0,0.0,-0.0
0.38153,0.0,0.0,0.0,0.0,-0.0
0.39167,0.0,0.0,0.0,0.0,-0.0
0.41126,0.0,0.0,0.0,0.0,-0.00153588974175501
0.42131,0.0,0.0,0.0,0.0,-0.0
0.43154,0.0,0.0,0.0,0.0,-0.00153588974175501
0.44159,0.0,0.0,0.0,0.0,-0.00153588974175501
0.46118,0.0,0.0,0.0,0.0,-0.0
0.47123,0.0,0.0,0.0,0.0,-0.0
0.48146,0.0,0.0,0.0,0.0,-0.0
0.49151,0.0,0.0,0.0,0.0,-0.0
0.5111,0.0,0.0,0.0,0.0,-0.0
0.52258,0.0,0.0,0.0,0.0,0.00153588974175501
0.54135,0.0,0.0,0.0,0.0,-0.0
0.55141,0.0,0.0,0.0,0.0,-0.0
0.57099,0.0,0.0,0.0,0.0,-0.0
0.58105,0.0,0.0,0.0,0.0,-0.0
0.59127,0.0,0.0,0.0,0.0,-0.0
0.60133,0.0,0.0,0.0,0.0,-0.0
0.62092,0.0,0.0,0.0,0.0,0.00153588974175501
0.63097,0.0,0.0,0.0,0.0,0.00153588974175501
0.64119,0.0,0.0,0.0,0.0,-0.0
0.65125,0.0,0.0,0.0,0.0,0.00153588974175501
0.67084,0.0,0.0,0.0,0.0,-0.0
0.68089,0.0,0.0,0.0,0.0,-0.0
0.69111,0.0,0.0,0.0,0.0,-0.0
