t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad
0.03246,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.05205,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.06211,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.07233,2.4739069293947247e-05,0.0,0.0,0.0,-0.001535889741755
0.09176,2.4739069293947247e-05,0.0,0.0,0.0,-0.001535889741755
0.10197,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.11203,2.4739069293947247e-05,0.0,0.0,0.0,-0.001535889741755
0.12225,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.14166,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.15191,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.16195,2.4739069293947247e-05,0.0,0.0,0.0,-0.001535889741755
0.17217,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.19159,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.20181,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.21187,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.22209,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.2415,2.4739069293947247e-05,0.0,0.0,0.0,-0.001535889741755
0.25173,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.2622,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.28169,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.29192,2.4739069293947247e-05,0.0,0.0,0.0,-0.001535889741755
0.30197,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.32156,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.33161,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.34184,2.4739069293947247e-05,0.0,0.0,0.0,-0.001535889741755
0.36125,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.37148,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.38153,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.39167,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.41126,2.4739069293947247e-05,0.0,0.0,0.0,-0.001535889741755
0.42131,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.43154,2.4739069293947247e-05,0.0,0.0,0.0,-0.001535889741755
0.44159,2.4739069293947247e-05,0.0,0.0,0.0,-0.001535889741755
0.46118,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.47123,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.48146,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.49151,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.5111,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.52258,2.4739069293947247e-05,0.0,0.0,0.0,0.001535889741755
0.54135,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.55141,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.57099,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.58105,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.59127,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.60133,2.4739069293947247e-05,0.0,0.0,0.0,-0.0
0.62092,2.4739069293947247e-05,0.0,0.0,0.0,0.001535889741755
0.63097,2.4739069293947247e-05,0.0,0.0,0.0,0.001535889741755
