t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad,v_cmd_orig,v_cmd_scaled,theta_pred_scaled,scale_seg_index,a_seg,input_rad_s_scaled,v_enc_m_s
0.03246,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.05205,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.06211,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.00047459078017560277
0.07233,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-0.0006269564429836046
0.09176,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.0006277822350815754
0.10197,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-1.4279325678317639e-05
0.11203,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-1.5216377317741026e-05
0.12225,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0006267338488014463
0.14166,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.15191,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0004919809290301641
0.16195,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-1.715252492963155e-05
0.17217,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0006268451834421533
0.19159,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.20181,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.21187,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.22209,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.00017375362406115132
0.2415,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.0004520450050688821
0.25173,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.00048343808979619635
0.2622,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.28169,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0006267979436910918
0.29192,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,1.7118707537582052e-05
0.30197,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0006430286713083213
0.32156,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.33161,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.00047365556050419543
0.34184,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-0.00045204500506888865
0.36125,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.00017386495870185564
0.37148,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.38153,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.39167,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.00017023496763824274
0.41126,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.0004737923450638554
0.42131,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,1.7118707537576855e-05
0.43154,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-0.00047365556050419543
0.44159,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.00016923632624446587
0.46118,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0001692363262444658
0.47123,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.48146,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.49151,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.5111,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0005370212330106133
0.52258,0.0,0.0,0.0,0.0,0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.000330796975676577
0.54135,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0001817729386851624
0.55141,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.57099,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.58105,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.59127,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.60133,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.00016934758578592045
0.62092,0.0,0.0,0.0,0.0,0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.00016923632624446587
0.63097,0.0,0.0,0.0,0.0,0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-0.00047435292179194354
0.64119,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,1.5216377317746283e-05
0.65125,0.0,0.0,0.0,0.0,0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.00047282523451543123
0.67084,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0001692363262444658
0.68089,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.69111,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.70117,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.72075,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.73081,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.74103,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.75109,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.77068,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0.78198,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.00019307669006517563
0.80091,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,0.00045735938677642866
0.81095,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,0.0006437749639150669
0.83053,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0.0,-0.000642061560759897
0.84059,0.0,0.0,0.0,0.0,-0.001535889741755,0.0,0.0,0.0,0,0.0,0.0,-1.615159698916303e-05
