t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad
0.03013,0.0,0.0,0.0,0.0,0.00153588974175501
0.04972,0.0,0.0,0.0,0.0,-0.0
0.05977,0.0,0.0,0.0,0.0,0.00153588974175501
0.07,0.0,0.0,0.0,0.0,0.00153588974175501
0.08005,0.0,0.0,0.0,0.0,0.00153588974175501
0.09966,0.0,0.0,0.0,0.0,0.00153588974175501
0.10969,0.0,0.0,0.0,0.0,-0.0
0.14071,0.0,0.0,0.0,0.0,0.00153588974175501
0.15979,0.0,0.0,0.0,0.0,-0.0
0.32533,0.0,0.0,0.0,0.0,0.00153588974175501
0.34407,0.0,0.0,0.0,0.0,-0.0
0.35959,0.0,0.0,0.0,0.0,0.00153588974175501
0.37917,0.0,0.0,0.0,0.0,-0.0
0.38925,0.0,0.0,0.0,0.0,0.00153588974175501
0.39946,0.0,0.0,0.0,0.0,0.00153588974175501
0.40951,0.0,0.0,0.0,0.0,-0.0
0.42894,0.0,0.0,0.0,0.0,0.00153588974175501
0.43918,0.0,0.0,0.0,0.0,-0.0
0.44922,0.0,0.0,0.0,0.0,0.00153588974175501
0.45947,0.0,0.0,0.0,0.0,0.00153588974175501
0.47891,0.0,0.0,0.0,0.0,0.00153588974175501
0.48914,0.0,0.0,0.0,0.0,-0.0
0.49919,0.0,0.0,0.0,0.0,0.00153588974175501
0.50942,0.0,0.0,0.0,0.0,0.00153588974175501
0.52883,0.0,0.0,0.0,0.0,0.00153588974175501
0.53906,0.0,0.0,0.0,0.0,0.00153588974175501
0.54911,0.0,0.0,0.0,0.0,-0.0
0.5687,0.0,0.0,0.0,0.0,0.00153588974175501
0.57875,0.0,0.0,0.0,0.0,0.00153588974175501
0.58891,0.0,0.0,0.0,0.0,0.00153588974175501
0.59913,0.0,0.0,0.0,0.0,-0.0
0.60919,0.0,0.0,0.0,0.0,-0.0
0.62877,0.0,0.0,0.0,0.0,0.00153588974175501
0.63883,0.0,0.0,0.0,0.0,-0.0
