t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad
0.03957,-0.0,0.0,0.0,0.0,0.00153588974175501
0.04963,-0.0,0.0,0.0,0.0,-0.0
0.05985,-0.0,0.0,0.0,0.0,-0.0
0.0699,-0.0,0.0,0.0,0.0,-0.0
0.08949,-0.0,0.0,0.0,0.0,0.00153588974175501
0.09955,-0.0,0.0,0.0,0.0,0.00153588974175501
0.10977,-0.0,0.0,0.0,0.0,-0.0
0.13977,-0.0,0.0,0.0,0.0,-0.0
0.15953,-0.0,0.0,0.0,0.0,-0.0
0.32254,-0.0,0.0,0.0,0.0,0.00153588974175501
0.34129,-0.0,0.0,0.0,0.0,-0.0
0.35924,-0.0,0.0,0.0,0.0,-0.0
0.3693,-0.0,0.0,0.0,0.0,-0.0
0.38888,-0.0,0.0,0.0,0.0,-0.0
0.39893,-0.0,0.0,0.0,0.0,0.00153588974175501
0.40916,-0.0,0.0,0.0,0.0,-0.0
0.41921,-0.0,0.0,0.0,0.0,-0.0
0.43882,-0.0,0.0,0.0,0.0,-0.0
0.44886,-0.0,0.0,0.0,0.0,-0.0
0.45945,-0.0,0.0,0.0,0.0,-0.0
0.47891,-0.0,0.0,0.0,0.0,0.00153588974175501
0.48914,-0.0,0.0,0.0,0.0,-0.0
0.49919,-0.0,0.0,0.0,0.0,-0.0
0.51878,-0.0,0.0,0.0,0.0,0.00153588974175501
0.52883,-0.0,0.0,0.0,0.0,0.00153588974175501
0.53906,-0.0,0.0,0.0,0.0,0.00153588974175501
0.54911,-0.0,0.0,0.0,0.0,0.00153588974175501
0.5687,-0.0,0.0,0.0,0.0,-0.0
0.57875,-0.0,0.0,0.0,0.0,-0.0
0.589,-0.0,0.0,0.0,0.0,-0.0
0.60858,-0.0,0.0,0.0,0.0,-0.0
0.61863,-0.0,0.0,0.0,0.0,-0.0
0.62886,-0.0,0.0,0.0,0.0,0.00153588974175501
0.63892,-0.0,0.0,0.0,0.0,0.00153588974175501
0.6585,-0.0,0.0,0.0,0.0,-0.0
0.66856,-0.0,0.0,0.0,0.0,-0.0
0.67878,-0.0,0.0,0.0,0.0,-0.0
0.68884,-0.0,0.0,0.0,0.0,-0.0
0.70842,-0.0,0.0,0.0,0.0,-0.0
0.71979,-0.0,0.0,0.0,0.0,0.00153588974175501
0.73855,-0.0,0.0,0.0,0.0,0.00153588974175501
0.7486,-0.0,0.0,0.0,0.0,-0.0
0.76819,-0.0,0.0,0.0,0.0,0.00153588974175501
0.77824,-0.0,0.0,0.0,0.0,-0.0
0.78847,-0.0,0.0,0.0,0.0,0.00153588974175501
0.79852,-0.0,0.0,0.0,0.0,-0.0
0.81811,-0.0,0.0,0.0,0.0,-0.0
0.82816,-0.0,0.0,0.0,0.0,-0.0
0.83839,-0.0,0.0,0.0,0.0,0.00153588974175501
0.84844,-0.0,0.0,0.0,0.0,0.00153588974175501
0.86803,-0.0,0.0,0.0,0.0,-0.0
0.87808,-0.0,0.0,0.0,0.0,0.00153588974175501
0.89823,-0.0,0.0,0.0,0.0,-0.0
0.90829,-0.0,0.0,0.0,0.0,-0.0
0.92787,-0.0,0.0,0.0,0.0,-0.0
0.93792,-0.0,0.0,0.0,0.0,-0.0
0.94817,-0.0,0.0,0.0,0.0,-0.0
0.9582,-0.0,0.0,0.0,0.0,-0.0
0.97779,-0.0,0.0,0.0,0.0,-0.0
0.98834,-0.0,0.0,0.0,0.0,0.00153588974175501
1.00808,0.12409290981679684,0.0,0.0,0.0,-0.0
1.01813,0.250542014123786,0.0,0.0,0.0,0.00153588974175501
1.03772,0.49637163926718736,0.0,0.0,0.0,-0.0
1.04777,0.6283185307179586,0.0,0.0,0.0,0.00153588974175501
1.058,0.7626216166589223,0.0,0.0,0.0,-0.0
1.06805,0.912632665867835,-2.1979667947998775e-05,-1.3253739772643118e-07,-0.00013253739772643117,0.00153588974175501
