t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad
0.01063,-0.0,0.0,0.0,0.0,-0.0
0.03021,-0.0,0.0,0.0,0.0,-0.0
0.04027,-0.0,0.0,0.0,0.0,-0.0
0.05049,-0.0,0.0,0.0,0.0,-0.0
0.06055,-0.0,0.0,0.0,0.0,-0.0
0.08013,-0.0,0.0,0.0,0.0,-0.0
0.09019,-0.0,0.0,0.0,0.0,-0.0
0.10041,-0.0,0.0,0.0,0.0,0.00153588974175501
0.11047,-0.0,0.0,0.0,0.0,-0.0
0.13005,-0.0,0.0,0.0,0.0,-0.0
0.14011,-0.0,0.0,0.0,0.0,-0.0
0.15033,-0.0,0.0,0.0,0.0,-0.0
0.16039,-0.0,0.0,0.0,0.0,-0.0
0.17997,-0.0,0.0,0.0,0.0,-0.0
0.19003,-0.0,0.0,0.0,0.0,-0.0
0.20025,-0.0,0.0,0.0,0.0,-0.0
0.21032,-0.0,0.0,0.0,0.0,-0.0
0.22989,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.23995,-0.0,0.0,0.0,0.0,-0.0
0.25017,-0.0,0.0,0.0,0.0,-0.0
0.318,-0.0,0.0,0.0,0.0,-0.0
0.3299,-0.0,0.0,0.0,0.0,-0.0
0.33995,-0.0,0.0,0.0,0.0,-0.0
0.35018,-0.0,0.0,0.0,0.0,-0.0
0.36023,-0.0,0.0,0.0,0.0,-0.0
0.37982,-0.0,0.0,0.0,0.0,-0.0
0.38987,-0.0,0.0,0.0,0.0,-0.0
0.4001,-0.0,0.0,0.0,0.0,-0.0
0.41951,-0.0,0.0,0.0,0.0,-0.0
0.42974,-0.0,0.0,0.0,0.0,-0.0
0.46342,-0.0,0.0,0.0,0.0,-0.0
0.47986,-0.0,0.0,0.0,0.0,-0.0
0.48992,-0.0,0.0,0.0,0.0,-0.0
0.50951,-0.0,0.0,0.0,0.0,-0.0
0.51956,-0.0,0.0,0.0,0.0,-0.0
0.52978,-0.0,0.0,0.0,0.0,-0.0
0.53984,-0.0,0.0,0.0,0.0,-0.0
0.55942,-0.0,0.0,0.0,0.0,-0.0
0.56948,-0.0,0.0,0.0,0.0,-0.0
0.5797,-0.0,0.0,0.0,0.0,-0.0
0.58979,-0.0,0.0,0.0,0.0,-0.0
0.60981,-0.0,0.0,0.0,0.0,-0.0
0.62922,-0.0,0.0,0.0,0.0,-0.0
0.63945,-0.0,0.0,0.0,0.0,-0.0
