t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad,v_cmd_orig,v_cmd_scaled,theta_pred_scaled,scale_seg_index,a_seg,input_rad_s_scaled,v_enc_m_s
0.03013,-0.0,0.0,0.0,0.0,0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0009557945041815948
0.04036,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0004736555605041928
0.05041,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.07,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.08005,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.09028,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.10033,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.13094,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0003163747369543612
0.14999,-0.0,0.0,0.0,0.0,-0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0004540744914453164
0.31517,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.00046228679824030086
0.33392,-0.0,0.0,0.0,0.0,-0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.00010934289127837359
0.34942,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0002508096903743991
0.35965,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.3697,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.37993,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.38998,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0001692363262444658
0.40957,-0.0,0.0,0.0,0.0,-0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0004737923450638554
0.41962,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0004907742680417737
0.42985,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.44029,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.45983,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.47924,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.48947,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0004907742680417737
0.49952,-0.0,0.0,0.0,0.0,-0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-1.7118707537582052e-05
0.50975,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0006259099637707386
0.52916,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.53939,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0004907742680417749
0.54944,-0.0,0.0,0.0,0.0,-0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-1.7118707537576865e-05
0.55967,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0006260212233121977
0.57909,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.58932,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.59937,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.6096,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.62901,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.63924,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0004907742680417749
0.64929,-0.0,0.0,0.0,0.0,-0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-1.7118707537576865e-05
0.65952,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0006259099637707443
0.67893,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.68916,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.70047,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.71923,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.72928,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.74887,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.75892,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.76915,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.7792,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0001692363262444658
0.79879,-0.0,0.0,0.0,0.0,0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0004737923450638554
0.80884,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0004907742680417723
0.81907,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0004907742680417723
0.82912,-0.0,0.0,0.0,0.0,-0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0004737923450638554
0.84871,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0001692363262444658
0.85876,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.86899,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.87904,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.89863,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0006430286713083213
0.90868,-0.0,0.0,0.0,0.0,-0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-1.7118707537576865e-05
0.91891,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.00047365556050419543
0.92896,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.94855,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.959,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.97888,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
0.98893,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.00852,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.01858,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.0288,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.03886,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.00016949123986379673
1.05844,-0.0,0.0,0.0,0.0,-0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.00047257032089610153
1.0685,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0004898071574933455
1.07872,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.09822,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.10828,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.1185,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.1386,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0006486088078127931
1.14865,-0.0,0.0,0.0,0.0,-0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0004737923450638661
1.16824,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0004718600447426635
1.17831,-0.0,0.0,0.0,0.0,-0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-1.3314135905557799e-05
1.18852,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0004750518802417966
1.19857,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.21818,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.22844,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.24836,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.26795,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.278,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0004736555605041982
1.28823,-0.0,0.0,0.0,0.0,0.001535889741755,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-1.7118707537566118e-05
1.29828,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,-0.0006430286713083118
1.31787,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0
1.32792,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.001535889741755,0,0.0,-0.0,0.0004736555605041928
