t_s,input_rad_s,v_fused_m_s,x_fused_m,x_fused_mm,accumulated_rad
0.03169,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.05127,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.06133,-0.0,0.0,0.0,0.0,-0.0
0.07156,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.08161,-0.0,0.0,0.0,0.0,-0.0
0.1012,-0.0,0.0,0.0,0.0,-0.0
0.12137,-0.0,0.0,0.0,0.0,-0.0
0.14118,-0.0,0.0,0.0,0.0,-0.0
0.30379,-0.0,0.0,0.0,0.0,-0.0
0.32254,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.34117,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.36076,-0.0,0.0,0.0,0.0,-0.0
0.37082,-0.0,0.0,0.0,0.0,-0.0
0.38104,-0.0,0.0,0.0,0.0,-0.0
0.3911,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.41068,-0.0,0.0,0.0,0.0,-0.0
0.42074,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.43096,-0.0,0.0,0.0,0.0,-0.0
0.4414,-0.0,0.0,0.0,0.0,-0.0
0.46086,-0.0,0.0,0.0,0.0,-0.0
0.48045,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.4905,-0.0,0.0,0.0,0.0,-0.0
0.50073,-0.0,0.0,0.0,0.0,-0.0
0.51078,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.53037,-0.0,0.0,0.0,0.0,-0.0
0.54042,-0.0,0.0,0.0,0.0,-0.0
0.55065,-0.0,0.0,0.0,0.0,-0.0
0.5607,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.57084,-0.0,0.0,0.0,0.0,-0.0
0.59043,-0.0,0.0,0.0,0.0,-0.0
0.60048,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.61071,-0.0,0.0,0.0,0.0,-0.0
0.62076,-0.0,0.0,0.0,0.0,-0.0
0.64035,-0.0,0.0,0.0,0.0,-0.0
0.6504,-0.0,0.0,0.0,0.0,-0.0
0.66063,-0.0,0.0,0.0,0.0,-0.0
0.67068,-0.0,0.0,0.0,0.0,-0.0
0.69027,-0.0,0.0,0.0,0.0,-0.0
0.70056,-0.0,0.0,0.0,0.0,-0.0
0.72049,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.74008,-0.0,0.0,0.0,0.0,-0.0
0.75013,-0.0,0.0,0.0,0.0,-0.0
0.76036,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.77041,-0.0,0.0,0.0,0.0,-0.0
0.79,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.80005,-0.0,0.0,0.0,0.0,-0.0
0.81028,-0.0,0.0,0.0,0.0,-0.0
0.82033,-0.0,0.0,0.0,0.0,-0.0
0.83983,-0.0,0.0,0.0,0.0,-0.0
0.85006,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.86011,-0.0,0.0,0.0,0.0,-0.0
0.87034,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.88975,-0.0,0.0,0.0,0.0,-0.0
0.89998,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.91005,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.92026,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.93967,-0.0,0.0,0.0,0.0,-0.00153588974175501
0.9499,-0.0,0.0,0.0,0.0,-0.0
0.96019,-0.0,-8.530005328325459e-05,-5.266425289708149e-07,-0.000526642528970815,-0.0
0.97022,-0.0,0.0,-3.1598551738248895e-07,-0.000315985517382489,-0.00153588974175501
0.98963,-0.0,0.0,-1.8959131042949336e-07,-0.00018959131042949336,-0.0
0.99986,-0.0,0.0,-1.13754786257696e-07,-0.000113754786257696,-0.0
1.00991,7.853981633974484,0.003445327365558986,2.0707071142566302e-05,0.020707071142566303,0.07517133088339578
1.02014,7.853981633974484,0.006456594111827705,5.205481734393808e-05,0.05205481734393808,0.15800465718304668
1.03955,7.853981633974484,0.007353816630600388,0.00011687543888633463,0.11687543888633463,0.31599186107357335
1.04978,7.853981633974484,0.008645398089065753,0.00012319071680248617,0.12319071680248617,0.3942349714404792
1.05983,7.853981633974484,0.009401944852781173,0.00013060815754376283,0.13060815754376284,0.4801400772236401
1.07006,7.853981633974484,0.00970012351420502,0.00017258935431081957,0.17258935431081956,0.5599016240397809
1.08736,7.853981633974484,0.009109396700058395,0.0003021644552962134,0.3021644552962134,0.6964212781307774
1.09989,7.853981633974484,0.00921765375566441,0.0004091574588185118,0.4091574588185118,0.8038113870059884
1.10994,7.853981633974484,0.008925257873117407,0.0005421094918466062,0.5421094918466063,0.8851088235638843
1.12953,7.853981633974484,0.008966579245711257,0.0006734545791426555,0.6734545791426555,1.0431134807469309
1.13958,7.853981633974484,0.008616995981144545,0.0007582891190971344,0.7582891190971344,1.130537022979327
1.14981,7.853981633974484,0.009556950019513115,0.0008505750181776624,0.8505750181776623,1.210316023087988
1.15988,7.853981633974484,0.009610880509095683,0.0009053549384421642,0.9053549384421642,1.2946852391293937
1.17945,7.853981633974484,0.009808012197519726,0.0010498247895307702,1.0498247895307702,1.4542083327616753
1.1895,7.853981633974484,0.011179224322780018,0.0011383018888475507,1.1383018888475507,1.5339873328703362
1.19973,7.853981633974484,0.01126297856751563,0.0012426597334391975,1.2426597334391976,1.616820659169987
1.2772,7.853981633974484,0.01248099820243229,0.001865834181412763,1.865834181412763,2.2810231593089494
1.28935,7.853981633974484,0.013348247143619894,0.0017569058134284353,1.7569058134284352,2.3255116019422846
1.29958,7.853981633974484,0.013104789782560482,0.0020116182581458152,2.0116182581458153,2.4068090385001804
1.31899,7.853981633974484,0.013067364072095577,0.0023452013667596815,2.3452013667596816,2.558687590008727
1.32924,7.853981633974484,0.01445342110431418,0.0025464724385225964,2.5464724385225965,2.635377357341358
1.33947,7.853981633974484,0.014748382794164933,0.0026688721153793984,2.6688721153793984,2.7151389041574987
1.34952,7.853981633974484,0.015181346907576327,0.002807745058542272,2.807745058542272,2.7918461247826496
1.36911,7.853981633974484,0.015908239070982898,0.003085611035068705,3.085611035068705,2.939099553773411
1.37917,7.853981633974484,0.0156360758236593,0.0031597245326158386,3.1597245326158387,3.021950333365582
1.38939,7.853981633974484,0.015893568242164726,0.003266732812198102,3.266732812198102,3.094032431472948
1.42625,7.853981633974484,0.015269887543492183,0.0036108273685748057,3.610827368574806,3.3931644119722555
1.43941,7.853981633974484,0.014268071675234655,0.0035922359634366074,3.5922359634366074,3.4806054074971717
1.45884,7.853981633974484,0.014032113245267727,0.003959037761074869,3.9590377610748693,3.6293947262296884
1.46905,7.853981633974484,0.01464384579373348,0.004105240662776908,4.105240662776907,3.706101946854839
1.4791,7.853981633974484,0.014405084530748439,0.00424957703845077,4.24957703845077,3.787399383412735
1.48933,7.853981633974484,0.014534012184814519,0.004388076116145596,4.388076116145596,3.861034824554376
1.50874,7.853981633974484,0.014626139924459488,0.004596896952230833,4.596896952230833,4.012895922770403
1.51897,7.853981633974484,0.01430048380208822,0.004689179943119468,4.689179943119468,4.091121579844788
1.52902,7.853981633974484,0.014288922906160883,0.004787530703898061,4.787530703898061,4.166292910728184
1.54861,7.853981633974484,0.01536276500092566,0.005005368083848637,5.005368083848637,4.3181540089442105
1.55866,7.853981633974484,0.01500949480615273,0.0051153740289879455,5.1153740289879455,4.397915555760352
1.56889,7.853981633974484,0.015170924675429591,0.005243449652312854,5.2434496523128535,4.473086886643747
1.57895,7.853981633974484,0.014922846893609202,0.005386620397808583,5.386620397808583,4.555920212943398
1.58917,7.853981633974484,0.014645364944582313,0.005472253919096372,5.472253919096372,4.632627433568549
1.60858,7.853981633974484,0.014343031701346754,0.005704922906185865,5.704922906185866,4.781416752301065
1.61881,7.853981633974484,0.014363450191735305,0.005820153368265135,5.820153368265135,4.861178299117206
1.62886,7.853981633974484,0.014566125667991786,0.005948422700278451,5.948422700278451,4.939421409484112
1.64845,7.853981633974484,0.014100534812157525,0.006147883378589028,6.147883378589028,5.089746617958383
1.6585,7.853981633974484,0.014210547034792832,0.006246971872277713,6.2469718722777134,5.169508164774524
1.66873,7.853981633974484,0.014926515770078896,0.0063965895705427695,6.396589570542769,5.246215385399676
1.67893,7.853981633974484,0.014521247138058597,0.006543071442454615,6.543071442454615,5.321386716283071
1.69872,7.853981633974484,0.015099703796033639,0.006780844590255544,6.780844590255544,5.483981589398863
1.70895,7.853981633974484,0.015550166001957608,0.0068941666747245976,6.894166674724597,5.562207246473248
1.72836,7.853981633974484,0.015044138891845091,0.007141017338461503,7.141017338461503,5.714085797981795
1.73859,7.853981633974484,0.014811307174175014,0.007259340658346892,7.2593406583468925,5.793847344797936
1.74864,7.853981633974484,0.014851800627058516,0.007328979204624199,7.328979204624199,5.873608891614078
1.75887,7.853981633974484,0.013967148230739423,0.0074214414901922834,7.421441490192284,5.953387891722738
1.77828,7.853981633974484,0.013628736376678746,0.007668829118064933,7.6688291180649335,6.106784879680519
1.78852,7.853981633974484,0.01395901536859093,0.007788900752068822,7.788900752068821,6.1880823162384155
1.79856,7.853981633974484,0.01366389834866443,0.007857490865698884,7.857490865698884,6.267843863054556
1.80869,7.853981633974484,0.013441468574156002,0.007952536015960871,7.952536015960871,6.344551083679708
1.82821,7.853981633974484,0.014605400868397749,0.008207934634580187,8.207934634580187,6.507145956795498
1.83826,7.853981633974484,0.014441378157898904,0.008277196861073232,8.277196861073232,6.588443393353395
1.84849,7.853981633974484,0.013639525602363416,0.008340167167434501,8.340167167434501,6.668222393462055
1.85854,7.853981633974484,0.01310148769487421,0.00842278205912458,8.42278205912458,6.752591609503461
1.87813,7.853981633974484,0.011728213552806049,0.00860057264874696,8.60057264874696,6.907507033910478
1.88818,7.853981633974484,0.010983104159590518,0.00870499190181178,8.70499190181178,6.993412139693638
1.89841,7.853981633974484,0.01105135130114177,0.008794023602465015,8.794023602465016,7.0747270295440545
1.90846,7.853981633974484,0.010897428092451665,0.008845320919968033,8.845320919968033,7.157560355843706
1.92806,7.853981633974484,0.010743167233248932,0.009055647814264642,9.055647814264642,7.317083449475987
1.9381,7.853981633974484,0.011179240194243831,0.009122848047109722,9.122848047109722,7.399916775775638
1.94833,7.853981633974484,0.011402021682274733,0.009225270227237086,9.225270227237086,7.48275010207529
1.95838,7.853981633974484,0.0111714926315521,0.009323742142972387,9.323742142972387,7.56560088166746
1.97797,7.853981633974484,0.010716984215910837,0.009505843813105812,9.505843813105813,7.7205337593669965
1.98802,7.853981633974484,0.010215753525508775,0.00959533350716935,9.595333507169348,7.806421411857637
1.99825,-0.0,0.009733839766006159,0.0096471726383324,9.6471726383324,7.8877363017080535
2.0083,-0.0,0.0057212212288085635,0.009682758859688518,9.682758859688517,7.904596182282318
2.02789,-0.0,0.0020582292473650746,0.009733444171242427,9.733444171242427,7.906132072024073
2.03795,-0.0,0.0017973322353465227,0.00979015174515022,9.79015174515022,7.906132072024073
2.04817,-0.0,0.0009483779328911756,0.009853828147261203,9.853828147261204,7.906132072024073
2.05827,-0.0,2.2544521799001678e-06,0.009940737356766101,9.940737356766101,7.906132072024073
2.07757,-0.0,-0.000858017507260716,0.009982933377754749,9.98293337775475,7.906132072024073
2.08778,-0.0,-0.000945206344210414,0.010012396499017383,10.012396499017383,7.906132072024073
2.09783,-0.0,-0.0007702353670929479,0.010031220186576026,10.031220186576025,7.906132072024073
2.10806,-0.0,-0.0009074569159890286,0.010041588947824441,10.04158894782444,7.906132072024073
2.11811,-0.0,0.0,0.010053380175123833,10.053380175123833,7.906132072024073
2.1377,-0.0,0.0,0.010060454911503466,10.060454911503466,7.906132072024073
2.14775,-0.0,0.0,0.010064699753331248,10.064699753331247,7.906132072024073
2.15798,-0.0,0.0,0.010067246658427915,10.067246658427916,7.906132072024073
2.16803,-0.0,0.0,0.010068774801485915,10.068774801485915,7.906132072024073
2.18753,-0.0,0.0,0.010069691687320716,10.069691687320717,7.906132072024073
2.19776,-0.0,0.0,0.010070241818821598,10.070241818821598,7.904596182282318
2.20781,-0.0,0.0,0.010070571897722126,10.070571897722127,7.906132072024073
2.21804,-0.0,0.0,0.010070769945062442,10.070769945062441,7.906132072024073
2.23745,-0.0,0.0,0.010070888773466631,10.070888773466631,7.904596182282318
2.24768,-0.0,0.0,0.010070960070509146,10.070960070509146,7.906132072024073
2.25773,-0.0,0.0,0.010071002848734655,10.071002848734654,7.906132072024073
2.26796,-0.0,0.0,0.01007102851566996,10.07102851566996,7.906132072024073
2.28737,-0.0,0.0,0.010071043915831144,10.071043915831144,7.904596182282318
2.2976,-0.0,0.0,0.010071053155927854,10.071053155927855,7.906132072024073
2.3088,-0.0,0.0,0.010071058699985879,10.07105869998588,7.904596182282318
2.32771,-0.0,0.0,0.010071062026420694,10.071062026420694,7.906132072024073
2.33777,-0.0,0.0,0.010071064022281584,10.071064022281584,7.906132072024073
2.35735,-0.0,0.0,0.010071065219798118,10.071065219798118,7.906132072024073
2.36742,-0.0,0.0,0.010071065938308038,10.071065938308038,7.906132072024073
2.37764,-0.0,0.0,0.010071066369413989,10.07106636941399,7.906132072024073
2.38769,-0.0,0.0,0.01007106662807756,10.07106662807756,7.906132072024073
2.40727,-0.0,0.0,0.010071066783275703,10.071066783275702,7.906132072024073
2.41734,-0.0,0.0,0.010071066876394589,10.071066876394589,7.906132072024073
2.42756,-0.0,0.0,0.01007106693226592,10.071066932265921,7.906132072024073
2.43778,-0.0,0.0,0.01007106696578872,10.07106696578872,7.906132072024073
2.45737,-0.0,0.0,0.010071066985902398,10.071066985902398,7.906132072024073
2.4676,-0.0,0.0,0.010071066997970606,10.071066997970606,7.906132072024073
2.48701,-0.0,0.0,0.01007106700521153,10.07106700521153,7.906132072024073
2.49725,-0.0,0.0,0.010071067009556085,10.071067009556085,7.904596182282318
2.50729,-0.0,0.0,0.010071067012162819,10.07106701216282,7.906132072024073
2.51753,-0.0,0.0,0.01007106701372686,10.071067013726859,7.906132072024073
2.53693,-0.0,0.0,0.010071067014665282,10.071067014665282,7.906132072024073
2.54715,-0.0,0.0,0.010071067015228335,10.071067015228335,7.906132072024073
