t_s,accumulated_rad,input_rad_s
0.001,-0.0,0.0
0.002,-0.0,0.0
0.003001,-0.0,0.0
0.004002,0.0015339873328703362,0.0
0.005003,-0.0,0.0
0.006004,-0.0,0.0
0.007005,-0.0,0.0
0.008006,-0.0,0.0
0.009006,-0.0,0.0
0.010006,-0.0,0.0
0.011007,-0.0,0.0
0.012007,0.0015339873328703362,0.0
0.013007,-0.0,0.0
0.014007,-0.0,0.0
0.015007,-0.0,0.0
0.016007,-0.0,0.0
0.017007,0.0015339873328703362,0.0
0.018008,0.0015339873328703362,0.0
0.019008,-0.0,0.0
0.020008,-0.0,0.0
0.021008,-0.0,0.0
0.022008,-0.0,0.0
0.023008,-0.0,0.0
0.024008,-0.0,0.0
0.025008,-0.0,0.0
0.026008,-0.0,0.0
0.027008,-0.0,0.0
0.028009,-0.0,0.0
0.029009,-0.0,0.0
0.030009,-0.0015339873328703362,0.0
0.031009,-0.0,0.0
0.03201,0.0015339873328703362,0.0
0.033011,0.0015339873328703362,0.0
0.034012,-0.0,0.0
0.035013,-0.0,0.0
0.036014,-0.0,0.0
0.037014,-0.0,0.0
0.038015,-0.0,0.0
0.039016,-0.0,0.0
0.040017,0.0015339873328703362,0.0
0.041018,-0.0,0.0
0.046888,-0.0,0.0
0.047889,0.0015339873328703362,0.0
0.04889,-0.0,0.0
0.04989,-0.0,0.0
0.050891,-0.0,0.0
0.051892,-0.0,0.0
0.052893,-0.0,0.0
0.053894,-0.0,0.0
0.054894,-0.0,0.0
0.061853,-0.0,0.0
0.062853,-0.0,0.0
0.063853,-0.0,0.0
0.064854,-0.0,0.0
0.065855,0.0015339873328703362,0.0
0.066855,0.0015339873328703362,0.0
0.067855,-0.0,0.0
0.068855,-0.0,0.0
0.069856,-0.0,0.0
0.070857,-0.0015339873328703362,0.0
0.071858,-0.0,0.0
0.072858,-0.0,0.0
0.073858,-0.0,0.0
0.074858,0.0015339873328703362,0.0
0.075859,-0.0,0.0
0.07686,-0.0,0.0
0.077861,-0.0015339873328703362,0.0
0.078861,-0.0,0.0
0.079861,0.0015339873328703362,0.0
0.080861,-0.0,0.0
0.081862,-0.0,0.0
0.082863,-0.0,0.0
0.083864,-0.0,0.0
0.084865,0.0015339873328703362,0.0
0.085865,-0.0,0.0
0.086865,-0.0,0.0
0.087865,-0.0,0.0
0.088866,-0.0,0.0
0.089867,-0.0,0.0
0.090868,-0.0,0.0
0.091868,-0.0,0.0
0.092868,0.0015339873328703362,0.0
0.094909,-0.0,0.0
0.095909,-0.0,0.0
0.096909,-0.0,0.0
0.09791,-0.0,0.0
0.098911,-0.0,0.0
0.099912,-0.0,0.0
0.100913,-0.0,0.0
0.101914,-0.0,0.0
0.102914,-0.0,0.0
0.103914,-0.0,0.0
0.104914,-0.0,0.0
0.105915,-0.0,0.0
0.106916,-0.0,0.0
0.107917,-0.0015339873328703362,0.0
0.108918,-0.0015339873328703362,0.0
0.109918,-0.0,0.0
0.110918,-0.0,0.0
0.111918,-0.0015339873328703362,0.0
0.118811,-0.0,0.0
0.119811,-0.0,0.0
0.120811,-0.0,0.0
0.121811,-0.0,0.0
0.122812,-0.0,0.0
0.123813,-0.0015339873328703362,0.0
0.124814,-0.0,0.0
0.125814,-0.0,0.0
0.126815,-0.0,0.0
0.127816,-0.0,0.0
0.128817,-0.0,0.0
0.129818,-0.0,0.0
0.130818,-0.0,0.0
0.131818,-0.0,0.0
0.132818,0.0015339873328703362,0.0
0.133818,-0.0,0.0
0.134818,-0.0,0.0
0.135818,0.0015339873328703362,0.0
0.136818,-0.0,0.0
0.137819,-0.0,0.0
0.13882,-0.0,0.0
0.13982,-0.0,0.0
0.14082,-0.0,0.0
0.14182,-0.0,0.0
0.14282,-0.0015339873328703362,0.0
0.14382,-0.0,0.0
0.14482,-0.0015339873328703362,0.0
0.14582,-0.0,0.0
0.146821,-0.0,0.0
0.147821,-0.0,0.0
0.148821,-0.0,0.0
0.149821,-0.0,0.0
0.150821,-0.0,0.0
0.151821,-0.0,0.0
0.153506,-0.0,0.0
0.154506,-0.0,0.0
0.155506,-0.0,0.0
0.156506,-0.0,0.0
0.157506,-0.0,0.0
0.158506,-0.0,0.0
0.159507,0.0015339873328703362,0.0
0.160508,0.0015339873328703362,0.0
0.161509,-0.0,0.0
0.162509,0.0015339873328703362,0.0
0.163509,0.0015339873328703362,0.0
0.164509,-0.0,0.0
0.165509,0.0015339873328703362,0.0
0.166509,0.0015339873328703362,0.0
0.167509,0.0015339873328703362,0.0
0.168509,-0.0,0.0
0.175449,-0.0,0.0
0.176449,-0.0,0.0
0.177449,-0.0,0.0
0.178449,-0.0,0.0
0.179449,-0.0,0.0
0.18045,-0.0,0.0
0.18145,0.0015339873328703362,0.0
0.18245,-0.0,0.0
0.18345,-0.0,0.0
0.18445,-0.0,0.0
0.18545,-0.0,0.0
0.18645,-0.0,0.0
0.18745,-0.0,0.0
0.188451,-0.0,0.0
0.189451,-0.0,0.0
0.190451,-0.0015339873328703362,0.0
0.191451,-0.0,0.0
0.192451,-0.0,0.0
0.193451,-0.0,0.0
0.194451,-0.0,0.0
0.195451,-0.0,0.0
0.196452,-0.0,0.0
0.197453,-0.0,0.0
0.198453,-0.0,0.0
0.199453,-0.0,0.0
0.200453,-0.0,0.0
0.201453,0.0015339873328703362,0.0
0.202453,-0.0,0.0
0.203453,-0.0,0.0
0.204453,-0.0,0.0
0.205454,-0.0,0.0
0.206455,-0.0,0.0
0.207455,-0.0,0.0
0.208455,-0.0,0.0
0.209455,-0.0,0.0
0.210455,-0.0,0.0
0.211455,-0.0,0.0
0.212455,-0.0,0.0
0.213455,-0.0,0.0
0.214456,-0.0,0.0
0.215457,-0.0,0.0
0.216457,0.0015339873328703362,0.0
0.217457,0.0015339873328703362,0.0
0.218457,-0.0,0.0
0.219457,-0.0,0.0
0.220457,-0.0,0.0
0.221457,-0.0,0.0
0.222457,-0.0,0.0
0.223458,-0.0,0.0
0.224458,-0.0,0.0
0.231399,-0.0,0.0
0.232399,-0.0,0.0
0.233399,0.0015339873328703362,0.0
0.234399,-0.0,0.0
0.2354,-0.0,0.0
0.236401,-0.0,0.0
0.237402,-0.0,0.0
0.243137,-0.0,0.0
0.244137,-0.0,0.0
0.245137,-0.0,0.0
0.246138,-0.0,0.0
0.247139,-0.0,0.0
0.248139,0.0015339873328703362,0.0
0.249139,0.0015339873328703362,0.0
0.250139,0.0015339873328703362,0.0
