t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.04974,288.545,-0.088,0,0.000,0.005,0.004,0.006,0.005,0.013,800.0,1,800.0,0.032,0.00,0.00,0.00,0.00,0.00,0.00
0.05977,288.545,-0.088,0,0.000,0.004,0.004,0.005,0.004,0.014,800.0,1,800.0,0.032,0.00,0.00,0.00,0.00,0.00,0.00
0.07000,288.633,0.000,0,0.000,0.007,0.004,0.007,0.007,0.014,800.0,1,800.0,0.044,0.00,0.00,0.00,0.00,0.00,0.00
0.08005,288.457,-0.176,0,0.000,0.006,0.004,0.008,0.006,0.015,800.0,1,800.0,0.054,0.00,0.00,0.00,0.00,0.00,0.00
0.09966,288.545,-0.088,0,0.000,0.005,0.004,0.003,0.005,0.011,800.0,1,800.0,0.082,0.00,0.00,0.00,0.00,0.00,0.00
0.10969,288.545,-0.088,0,0.000,0.003,0.004,0.005,0.003,0.008,800.0,1,800.0,0.082,0.00,0.00,0.00,0.00,0.00,0.00
0.13918,288.545,-0.088,0,0.000,0.005,0.004,0.007,0.005,0.005,800.0,1,800.0,0.105,0.00,0.00,0.00,0.00,0.00,0.00
0.14988,288.457,-0.176,0,0.000,0.007,0.004,0.008,0.007,0.007,800.0,1,800.0,0.124,0.00,0.00,0.00,0.00,0.00,0.00
0.41953,288.545,-0.088,0,0.000,0.005,0.006,0.008,0.005,0.012,800.0,1,800.0,0.147,0.00,0.00,0.00,0.00,0.00,0.00
0.43911,288.545,-0.088,0,0.000,0.005,0.006,0.006,0.005,0.010,800.0,1,800.0,0.147,0.00,0.00,0.00,0.00,0.00,0.00
0.44917,288.545,-0.088,0,0.000,0.005,0.006,0.010,0.005,0.011,800.0,1,800.0,0.425,0.00,0.00,0.00,0.00,0.00,0.00
0.45939,288.457,-0.176,0,0.000,0.005,0.006,0.008,0.005,0.011,800.0,1,800.0,0.435,0.00,0.00,0.00,0.00,0.00,0.00
0.46946,288.545,-0.088,0,0.000,0.004,0.006,0.008,0.004,0.013,800.0,1,800.0,0.450,0.00,0.00,0.00,0.00,0.00,0.00
0.48904,288.545,-0.088,0,0.000,0.003,0.006,0.008,0.003,0.007,800.0,1,800.0,0.461,0.00,0.00,0.00,0.00,0.00,0.00
0.49909,288.633,0.000,0,0.000,0.004,0.006,0.010,0.004,0.008,800.0,1,800.0,0.474,0.00,0.00,0.00,0.00,0.00,0.00
0.54260,288.545,-0.088,0,0.000,0.007,0.006,0.008,0.007,0.011,800.0,1,800.0,0.488,0.00,0.00,0.00,0.00,0.00,0.00
0.55879,288.545,-0.088,0,0.000,0.009,0.006,0.007,0.009,0.010,800.0,1,800.0,0.488,0.00,0.00,0.00,0.00,0.00,0.00
0.56902,288.457,-0.176,0,0.000,0.010,0.006,0.006,0.010,0.012,800.0,1,800.0,0.551,0.00,0.00,0.00,0.00,0.00,0.00
0.58035,288.545,-0.088,0,0.000,0.011,0.007,0.005,0.011,0.011,800.0,1,800.0,0.560,0.00,0.00,0.00,0.00,0.00,0.00
0.59911,288.545,-0.088,0,0.000,0.011,0.007,0.006,0.011,0.011,800.0,1,800.0,0.571,0.00,0.00,0.00,0.00,0.00,0.00
0.60916,288.545,-0.088,0,0.000,0.009,0.007,0.006,0.009,0.015,800.0,1,800.0,0.580,0.00,0.00,0.00,0.00,0.00,0.00
0.62875,288.545,-0.088,0,0.000,0.007,0.007,0.007,0.007,0.009,800.0,1,800.0,0.609,0.00,0.00,0.00,0.00,0.00,0.00
0.63880,288.633,0.000,0,0.000,0.006,0.007,0.004,0.006,0.008,800.0,1,800.0,0.620,0.00,0.00,0.00,0.00,0.00,0.00
0.64903,288.545,-0.088,0,0.000,0.008,0.007,0.006,0.008,0.011,800.0,1,800.0,0.620,0.00,0.00,0.00,0.00,0.00,0.00
