t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.02320,255.762,0.000,0,0.000,-0.002,-0.004,0.005,-0.002,0.005,800.0,1,800.0,0.005,0.00,0.00,0.00,0.00,0.00,0.00
0.03325,255.762,0.000,0,0.000,-0.003,-0.004,0.007,-0.003,0.002,800.0,1,800.0,0.015,0.00,0.00,0.00,0.00,0.00,0.00
0.05284,255.762,0.000,0,0.000,-0.001,-0.004,0.007,-0.001,-0.001,800.0,1,800.0,0.032,0.00,0.00,0.00,0.00,0.00,0.00
0.06289,255.937,0.176,0,0.000,-0.001,-0.004,0.005,-0.001,-0.001,800.0,1,800.0,0.041,0.00,0.00,0.00,0.00,0.00,0.00
0.07312,255.762,0.000,0,0.000,-0.001,-0.004,0.007,-0.001,0.004,800.0,1,800.0,0.054,0.00,0.00,0.00,0.00,0.00,0.00
0.08317,255.762,0.000,0,0.000,0.000,-0.004,0.006,0.000,0.006,800.0,1,800.0,0.065,0.00,0.00,0.00,0.00,0.00,0.00
0.10276,255.850,0.088,0,0.000,-0.001,-0.004,0.007,-0.001,0.005,800.0,1,800.0,0.077,0.00,0.00,0.00,0.00,0.00,0.00
0.11281,255.762,0.000,0,0.000,-0.002,-0.004,0.006,-0.002,0.004,800.0,1,800.0,0.094,0.00,0.00,0.00,0.00,0.00,0.00
0.12304,255.850,0.088,0,0.000,-0.002,-0.004,0.008,-0.002,0.005,800.0,1,800.0,0.103,0.00,0.00,0.00,0.00,0.00,0.00
0.13309,255.850,0.088,0,0.000,-0.001,-0.004,0.006,-0.001,0.004,800.0,1,800.0,0.115,0.00,0.00,0.00,0.00,0.00,0.00
0.15268,255.762,0.000,0,0.000,0.001,-0.004,0.005,0.001,0.008,800.0,1,800.0,0.126,0.00,0.00,0.00,0.00,0.00,0.00
0.16273,255.850,0.088,0,0.000,0.001,-0.004,0.006,0.001,0.009,800.0,1,800.0,0.141,0.00,0.00,0.00,0.00,0.00,0.00
0.17296,255.762,0.000,0,0.000,-0.001,-0.004,0.006,-0.001,0.010,800.0,1,800.0,0.141,0.00,0.00,0.00,0.00,0.00,0.00
0.18301,255.850,0.088,0,0.000,-0.001,-0.004,0.002,-0.001,0.008,800.0,1,800.0,0.158,0.00,0.00,0.00,0.00,0.00,0.00
0.20260,255.762,0.000,0,0.000,0.001,-0.004,0.003,0.001,0.005,800.0,1,800.0,0.180,0.00,0.00,0.00,0.00,0.00,0.00
0.21265,255.762,0.000,0,0.000,0.002,-0.004,0.004,0.002,0.005,800.0,1,800.0,0.191,0.00,0.00,0.00,0.00,0.00,0.00
0.23286,255.762,0.000,0,0.000,0.000,-0.004,0.006,0.000,0.003,800.0,1,800.0,0.202,0.00,0.00,0.00,0.00,0.00,0.00
0.24291,255.762,0.000,0,0.000,-0.001,-0.004,0.007,-0.001,0.006,800.0,1,800.0,0.216,0.00,0.00,0.00,0.00,0.00,0.00
0.26250,255.762,0.000,0,0.000,0.000,-0.004,0.011,0.000,0.002,800.0,1,800.0,0.240,0.00,0.00,0.00,0.00,0.00,0.00
0.27287,255.762,0.000,0,0.000,0.000,-0.004,0.009,0.000,0.001,800.0,1,800.0,0.253,0.00,0.00,0.00,0.00,0.00,0.00
0.29257,255.762,0.000,0,0.000,0.003,-0.004,0.007,0.003,0.002,800.0,1,800.0,0.265,0.00,0.00,0.00,0.00,0.00,0.00
0.30279,255.762,0.000,0,0.000,0.002,-0.004,0.006,0.002,0.004,800.0,1,800.0,0.278,0.00,0.00,0.00,0.00,0.00,0.00
0.32221,255.762,0.000,0,0.000,0.000,-0.004,0.009,0.000,0.002,800.0,1,800.0,0.299,0.00,0.00,0.00,0.00,0.00,0.00
0.33243,255.762,0.000,0,0.000,0.001,-0.004,0.009,0.001,0.003,800.0,1,800.0,0.299,0.00,0.00,0.00,0.00,0.00,0.00
0.34249,255.850,0.088,0,0.000,0.001,-0.004,0.008,0.001,0.004,800.0,1,800.0,0.318,0.00,0.00,0.00,0.00,0.00,0.00
0.35271,255.850,0.088,0,0.000,0.001,-0.004,0.006,0.001,0.002,800.0,1,800.0,0.318,0.00,0.00,0.00,0.00,0.00,0.00
0.37213,255.850,0.088,0,0.000,0.004,-0.004,0.010,0.004,0.002,800.0,1,800.0,0.349,0.00,0.00,0.00,0.00,0.00,0.00
0.38235,255.762,0.000,0,0.000,0.007,-0.004,0.010,0.007,0.001,800.0,1,800.0,0.359,0.00,0.00,0.00,0.00,0.00,0.00
0.39241,255.762,0.000,0,0.000,0.010,-0.003,0.008,0.010,-0.001,800.0,1,800.0,0.372,0.00,0.00,0.00,0.00,0.00,0.00
0.40263,255.850,0.088,0,0.000,0.010,-0.003,0.007,0.010,-0.001,800.0,1,800.0,0.381,0.00,0.00,0.00,0.00,0.00,0.00
0.42204,255.850,0.088,0,0.000,0.010,-0.003,0.005,0.010,0.001,800.0,1,800.0,0.393,0.00,0.00,0.00,0.00,0.00,0.00
0.43227,255.850,0.088,0,0.000,0.010,-0.003,0.005,0.010,0.000,800.0,1,800.0,0.408,0.00,0.00,0.00,0.00,0.00,0.00
0.44233,255.674,-0.088,0,0.000,0.008,-0.003,0.002,0.008,0.001,800.0,1,800.0,0.418,0.00,0.00,0.00,0.00,0.00,0.00
