t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.01227,335.215,0.000,0,0.000,0.003,0.007,0.007,0.003,0.011,800.0,1,800.0,nan,nan,nan,nan,nan,nan,nan
0.02233,335.303,0.088,0,0.000,0.003,0.007,0.004,0.003,0.012,800.0,1,800.0,0.004,0.00,0.00,0.00,0.00,0.00,0.00
0.04192,335.303,0.088,0,0.000,0.004,0.007,0.004,0.004,0.010,800.0,1,800.0,0.014,0.00,0.00,0.00,0.00,0.00,0.00
0.05197,335.303,0.088,0,0.000,0.004,0.007,0.004,0.004,0.011,800.0,1,800.0,0.027,0.00,0.00,0.00,0.00,0.00,0.00
0.06219,335.215,0.000,0,0.000,0.004,0.007,0.004,0.004,0.011,800.0,1,800.0,0.037,0.00,0.00,0.00,0.00,0.00,0.00
0.07225,335.127,-0.088,0,0.000,0.003,0.007,0.006,0.003,0.012,800.0,1,800.0,0.049,0.00,0.00,0.00,0.00,0.00,0.00
0.09184,335.303,0.088,0,0.000,0.004,0.008,0.005,0.004,0.011,800.0,1,800.0,0.074,0.00,0.00,0.00,0.00,0.00,0.00
0.10189,335.215,0.000,0,0.000,0.004,0.008,0.004,0.004,0.012,800.0,1,800.0,0.074,0.00,0.00,0.00,0.00,0.00,0.00
0.11211,335.215,0.000,0,0.000,0.007,0.008,0.007,0.007,0.008,800.0,1,800.0,0.085,0.00,0.00,0.00,0.00,0.00,0.00
0.12217,335.215,0.000,0,0.000,0.004,0.008,0.007,0.004,0.008,800.0,1,800.0,0.101,0.00,0.00,0.00,0.00,0.00,0.00
0.14175,335.303,0.088,0,0.000,0.001,0.008,0.006,0.001,0.012,800.0,1,800.0,0.122,0.00,0.00,0.00,0.00,0.00,0.00
0.15197,335.215,0.000,0,0.000,0.000,0.008,0.005,0.000,0.016,800.0,1,800.0,0.133,0.00,0.00,0.00,0.00,0.00,0.00
0.16203,335.215,0.000,0,0.000,0.000,0.008,0.004,0.000,0.017,800.0,1,800.0,0.142,0.00,0.00,0.00,0.00,0.00,0.00
0.18161,335.215,0.000,0,0.000,0.001,0.008,0.001,0.001,0.023,800.0,1,800.0,0.157,0.00,0.00,0.00,0.00,0.00,0.00
0.19168,335.215,0.000,0,0.000,0.000,0.008,0.002,0.000,0.022,800.0,1,800.0,0.172,0.00,0.00,0.00,0.00,0.00,0.00
0.20189,335.215,0.000,0,0.000,0.000,0.008,0.001,0.000,0.020,800.0,1,800.0,0.172,0.00,0.00,0.00,0.00,0.00,0.00
0.21195,335.127,-0.088,0,0.000,0.000,0.008,0.000,0.000,0.020,800.0,1,800.0,0.185,0.00,0.00,0.00,0.00,0.00,0.00
0.23153,335.215,0.000,0,0.000,0.002,0.008,0.000,0.002,0.018,800.0,1,800.0,0.212,0.00,0.00,0.00,0.00,0.00,0.00
0.24159,335.303,0.088,0,0.000,0.003,0.008,0.000,0.003,0.016,800.0,1,800.0,0.221,0.00,0.00,0.00,0.00,0.00,0.00
0.25181,335.215,0.000,0,0.000,0.003,0.008,0.002,0.003,0.016,800.0,1,800.0,0.234,0.00,0.00,0.00,0.00,0.00,0.00
0.26314,335.215,0.000,0,0.000,0.005,0.008,0.002,0.005,0.019,800.0,1,800.0,0.234,0.00,0.00,0.00,0.00,0.00,0.00
0.28180,335.215,0.000,0,0.000,0.005,0.008,0.004,0.005,0.015,800.0,1,800.0,0.260,0.00,0.00,0.00,0.00,0.00,0.00
0.29185,335.215,0.000,0,0.000,0.005,0.008,0.003,0.005,0.014,800.0,1,800.0,0.273,0.00,0.00,0.00,0.00,0.00,0.00
0.31144,335.215,0.000,0,0.000,0.007,0.008,0.004,0.007,0.013,800.0,1,800.0,0.285,0.00,0.00,0.00,0.00,0.00,0.00
0.32149,335.303,0.088,0,0.000,0.006,0.008,0.002,0.006,0.008,800.0,1,800.0,0.297,0.00,0.00,0.00,0.00,0.00,0.00
0.33172,335.127,-0.088,0,0.000,0.007,0.008,0.001,0.007,0.007,800.0,1,800.0,0.310,0.00,0.00,0.00,0.00,0.00,0.00
0.34177,335.215,0.000,0,0.000,0.004,0.008,0.000,0.004,0.010,800.0,1,800.0,0.322,0.00,0.00,0.00,0.00,0.00,0.00
0.36136,335.303,0.088,0,0.000,0.002,0.008,0.000,0.002,0.012,800.0,1,800.0,0.333,0.00,0.00,0.00,0.00,0.00,0.00
0.37141,335.303,0.088,0,0.000,0.002,0.008,0.001,0.002,0.019,800.0,1,800.0,0.344,0.00,0.00,0.00,0.00,0.00,0.00
0.38164,335.215,0.000,0,0.000,0.004,0.008,0.002,0.004,0.019,800.0,1,800.0,0.358,0.00,0.00,0.00,0.00,0.00,0.00
0.39171,335.303,0.088,0,0.000,0.002,0.008,0.004,0.002,0.018,800.0,1,800.0,0.368,0.00,0.00,0.00,0.00,0.00,0.00
0.41130,335.303,0.088,0,0.000,0.004,0.009,0.009,0.004,0.017,800.0,1,800.0,0.391,0.00,0.00,0.00,0.00,0.00,0.00
0.42135,335.215,0.000,0,0.000,0.005,0.009,0.010,0.005,0.014,800.0,1,800.0,0.398,0.00,0.00,0.00,0.00,0.00,0.00
0.43158,335.303,0.088,0,0.000,0.004,0.009,0.008,0.004,0.017,800.0,1,800.0,0.410,0.00,0.00,0.00,0.00,0.00,0.00
0.44163,335.127,-0.088,0,0.000,0.001,0.009,0.005,0.001,0.014,800.0,1,800.0,0.424,0.00,0.00,0.00,0.00,0.00,0.00
0.46122,335.303,0.088,0,0.000,-0.001,0.009,0.001,-0.001,0.019,800.0,1,800.0,0.434,0.00,0.00,0.00,0.00,0.00,0.00
0.47127,335.215,0.000,0,0.000,0.000,0.009,0.002,0.000,0.017,800.0,1,800.0,0.446,0.00,0.00,0.00,0.00,0.00,0.00
0.48150,335.215,0.000,0,0.000,0.001,0.009,0.004,0.001,0.019,800.0,1,800.0,0.457,0.00,0.00,0.00,0.00,0.00,0.00
0.49155,335.303,0.088,0,0.000,0.002,0.009,0.004,0.002,0.017,800.0,1,800.0,0.468,0.00,0.00,0.00,0.00,0.00,0.00
0.51114,335.215,0.000,0,0.000,0.005,0.009,0.005,0.005,0.012,800.0,1,800.0,0.480,0.00,0.00,0.00,0.00,0.00,0.00
0.52255,335.303,0.088,0,0.000,0.006,0.009,0.005,0.006,0.012,800.0,1,800.0,0.505,0.00,0.00,0.00,0.00,0.00,0.00
0.54152,335.303,0.088,0,0.000,0.007,0.009,0.004,0.007,0.017,800.0,1,800.0,0.517,0.00,0.00,0.00,0.00,0.00,0.00
0.56094,335.215,0.000,0,0.000,0.008,0.009,0.008,0.008,0.020,800.0,1,800.0,0.544,0.00,0.00,0.00,0.00,0.00,0.00
0.57116,335.215,0.000,0,0.000,0.008,0.009,0.005,0.008,0.017,800.0,1,800.0,0.554,0.00,0.00,0.00,0.00,0.00,0.00
0.58122,335.215,0.000,0,0.000,0.007,0.009,0.004,0.007,0.013,800.0,1,800.0,0.554,0.00,0.00,0.00,0.00,0.00,0.00
0.59144,335.215,0.000,0,0.000,0.005,0.009,0.003,0.005,0.017,800.0,1,800.0,0.566,0.00,0.00,0.00,0.00,0.00,0.00
0.61085,335.215,0.000,0,0.000,0.004,0.009,0.004,0.004,0.013,800.0,1,800.0,0.589,0.00,0.00,0.00,0.00,0.00,0.00
0.62110,335.127,-0.088,0,0.000,0.001,0.009,0.004,0.001,0.011,800.0,1,800.0,0.600,0.00,0.00,0.00,0.00,0.00,0.00
0.63114,335.215,0.000,0,0.000,0.000,0.009,0.002,0.000,0.013,800.0,1,800.0,0.600,0.00,0.00,0.00,0.00,0.00,0.00
0.64136,335.303,0.088,0,0.000,0.000,0.009,0.004,0.000,0.014,800.0,1,800.0,0.613,0.00,0.00,0.00,0.00,0.00,0.00
0.66091,335.303,0.088,0,0.000,0.005,0.009,0.002,0.005,0.014,800.0,1,800.0,0.639,0.00,0.00,0.00,0.00,0.00,0.00
0.67096,335.303,0.088,0,0.000,0.007,0.010,0.002,0.007,0.016,800.0,1,800.0,0.652,0.00,0.00,0.00,0.00,0.00,0.00
0.68120,335.303,0.088,0,0.000,0.008,0.010,0.001,0.008,0.017,800.0,1,800.0,0.660,0.00,0.00,0.00,0.00,0.00,0.00
0.69124,335.303,0.088,0,0.000,0.007,0.010,-0.001,0.007,0.016,800.0,1,800.0,0.660,0.00,0.00,0.00,0.00,0.00,0.00
0.71077,335.215,0.000,0,0.000,0.007,0.010,0.000,0.007,0.013,800.0,1,800.0,0.687,0.00,0.00,0.00,0.00,0.00,0.00
0.72083,335.215,0.000,0,0.000,0.006,0.010,0.000,0.006,0.013,800.0,1,800.0,0.702,0.00,0.00,0.00,0.00,0.00,0.00
0.73105,335.303,0.088,0,0.000,0.007,0.010,0.004,0.007,0.014,800.0,1,800.0,0.711,0.00,0.00,0.00,0.00,0.00,0.00
0.74111,335.215,0.000,0,0.000,0.009,0.010,0.002,0.009,0.014,800.0,1,800.0,0.711,0.00,0.00,0.00,0.00,0.00,0.00
0.76069,335.303,0.088,0,0.000,0.009,0.010,0.000,0.009,0.016,800.0,1,800.0,0.735,0.00,0.00,0.00,0.00,0.00,0.00
0.77075,335.127,-0.088,0,0.000,0.007,0.010,0.002,0.007,0.013,800.0,1,800.0,0.745,0.00,0.00,0.00,0.00,0.00,0.00
0.78108,335.127,-0.088,0,0.000,0.008,0.010,0.003,0.008,0.016,800.0,1,800.0,0.758,0.00,0.00,0.00,0.00,0.00,0.00
0.79110,335.215,0.000,0,0.000,0.007,0.010,0.002,0.007,0.014,800.0,1,800.0,0.768,0.00,0.00,0.00,0.00,0.00,0.00
0.81051,335.215,0.000,0,0.000,0.007,0.011,0.002,0.007,0.017,800.0,1,800.0,0.786,0.00,0.00,0.00,0.00,0.00,0.00
0.82073,335.391,0.176,0,0.000,0.010,0.011,0.001,0.010,0.010,800.0,1,800.0,0.797,0.00,0.00,0.00,0.00,0.00,0.00
0.83079,335.303,0.088,0,0.000,0.010,0.011,0.001,0.010,0.011,800.0,1,800.0,0.808,0.00,0.00,0.00,0.00,0.00,0.00
0.84101,335.215,0.000,0,0.000,0.008,0.011,0.001,0.008,0.007,800.0,1,800.0,0.821,0.00,0.00,0.00,0.00,0.00,0.00
0.86043,335.303,0.088,0,0.000,0.005,0.011,0.003,0.005,0.008,800.0,1,800.0,0.833,0.00,0.00,0.00,0.00,0.00,0.00
0.87066,335.215,0.000,0,0.000,0.004,0.011,0.001,0.004,0.008,800.0,1,800.0,0.844,0.00,0.00,0.00,0.00,0.00,0.00
0.88073,335.215,0.000,0,0.000,0.004,0.011,-0.001,0.004,0.011,800.0,1,800.0,0.862,0.00,0.00,0.00,0.00,0.00,0.00
0.90030,335.215,0.000,0,0.000,0.003,0.011,0.002,0.003,0.014,800.0,1,800.0,0.873,0.00,0.00,0.00,0.00,0.00,0.00
0.91044,335.215,0.000,0,0.000,0.005,0.011,0.003,0.005,0.013,800.0,1,800.0,0.884,0.00,0.00,0.00,0.00,0.00,0.00
0.92049,335.215,0.000,0,0.000,0.008,0.011,0.007,0.008,0.013,800.0,1,800.0,0.900,0.00,0.00,0.00,0.00,0.00,0.00
0.93072,335.215,0.000,0,0.000,0.008,0.011,0.007,0.008,0.013,800.0,1,800.0,0.912,0.00,0.00,0.00,0.00,0.00,0.00
0.95002,335.303,0.088,0,0.000,0.008,0.012,0.004,0.008,0.015,800.0,1,800.0,0.927,0.00,0.00,0.00,0.00,0.00,0.00
0.96024,335.303,0.088,0,0.000,0.008,0.012,0.005,0.008,0.012,800.0,1,800.0,0.935,0.00,0.00,0.00,0.00,0.00,0.00
0.97030,335.215,0.000,0,0.000,0.009,0.012,0.005,0.009,0.013,800.0,1,800.0,0.948,0.00,0.00,0.00,0.00,0.00,0.00
0.98052,335.215,0.000,0,0.000,0.009,0.012,0.004,0.009,0.013,800.0,1,800.0,0.959,0.00,0.00,0.00,0.00,0.00,0.00
0.99058,335.215,0.000,0,0.000,0.007,0.012,0.006,0.007,0.011,800.0,1,800.0,0.959,0.00,0.00,0.00,0.00,0.00,0.00
1.01016,330.029,-5.186,0,0.000,0.592,0.018,-0.057,0.592,0.011,800.0,1,800.0,0.988,0.00,0.00,0.00,0.00,0.00,0.00
1.02022,324.756,-10.459,0,0.000,0.486,0.023,-0.002,0.486,0.014,800.0,1,800.0,0.988,0.00,0.00,0.00,0.00,0.00,0.00
1.03067,319.922,-15.293,0,0.000,0.368,0.026,0.038,0.368,-0.005,800.0,1,800.0,1.006,0.00,0.00,0.00,0.00,0.00,0.00
1.05060,309.639,-25.576,0,0.000,0.115,0.030,0.065,0.115,0.000,800.0,1,800.0,1.033,0.00,0.00,0.00,0.00,0.00,0.00
