t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,a_rod,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.02857,162.773,0.088,0,0.000,-0.002,0.014,-0.005,0.005,-0.002,0.014,1500.0,-1,-1500.0,0.005,0.00,0.00,0.00,0.00,0.00,0.00
0.03879,162.686,0.000,0,0.000,0.000,0.014,-0.005,0.005,0.000,0.014,1500.0,-1,-1500.0,0.016,0.00,0.00,0.00,0.00,0.00,0.00
0.04887,162.686,0.000,0,0.000,-0.002,0.014,-0.005,0.004,-0.002,0.014,1500.0,-1,-1500.0,0.029,0.00,0.00,0.00,0.00,0.00,0.00
0.05908,162.773,0.088,0,0.000,-0.001,0.013,-0.005,0.004,-0.001,0.013,1500.0,-1,-1500.0,0.029,0.00,0.00,0.00,0.00,0.00,0.00
0.07849,162.686,0.000,0,0.000,0.000,0.010,-0.005,0.003,0.000,0.010,1500.0,-1,-1500.0,0.053,0.00,0.00,0.00,0.00,0.00,0.00
0.08872,162.773,0.088,0,0.000,0.000,0.010,-0.005,0.004,0.000,0.010,1500.0,-1,-1500.0,0.053,0.00,0.00,0.00,0.00,0.00,0.00
0.12900,162.773,0.088,0,0.000,0.001,0.012,-0.005,0.004,0.001,0.012,1500.0,-1,-1500.0,0.085,0.00,0.00,0.00,0.00,0.00,0.00
0.14835,162.686,0.000,0,0.000,0.001,0.013,-0.005,0.006,0.001,0.013,1500.0,-1,-1500.0,0.123,0.00,0.00,0.00,0.00,0.00,0.00
0.15856,162.686,0.000,0,0.000,0.000,0.016,-0.005,0.007,0.000,0.016,1500.0,-1,-1500.0,0.123,0.00,0.00,0.00,0.00,0.00,0.00
0.31254,162.686,0.000,0,0.000,0.002,0.010,-0.004,0.004,0.002,0.010,1500.0,-1,-1500.0,0.153,0.00,0.00,0.00,0.00,0.00,0.00
0.33019,162.686,0.000,0,0.000,0.004,0.017,-0.004,0.005,0.004,0.017,1500.0,-1,-1500.0,0.297,0.00,0.00,0.00,0.00,0.00,0.00
0.34814,162.773,0.088,0,0.000,0.002,0.021,-0.004,0.004,0.002,0.021,1500.0,-1,-1500.0,0.297,0.00,0.00,0.00,0.00,0.00,0.00
0.35820,162.773,0.088,0,0.000,0.003,0.017,-0.004,0.001,0.003,0.017,1500.0,-1,-1500.0,0.340,0.00,0.00,0.00,0.00,0.00,0.00
0.36843,162.686,0.000,0,0.000,0.002,0.016,-0.004,-0.001,0.002,0.016,1500.0,-1,-1500.0,0.340,0.00,0.00,0.00,0.00,0.00,0.00
0.37848,162.686,0.000,0,0.000,0.003,0.014,-0.004,0.001,0.003,0.014,1500.0,-1,-1500.0,0.352,0.00,0.00,0.00,0.00,0.00,0.00
0.39806,162.686,0.000,0,0.000,0.005,0.009,-0.004,0.002,0.005,0.009,1500.0,-1,-1500.0,0.375,0.00,0.00,0.00,0.00,0.00,0.00
0.40812,162.686,0.000,0,0.000,0.005,0.011,-0.004,0.001,0.005,0.011,1500.0,-1,-1500.0,0.387,0.00,0.00,0.00,0.00,0.00,0.00
0.41836,162.773,0.088,0,0.000,0.004,0.010,-0.004,0.004,0.004,0.010,1500.0,-1,-1500.0,0.400,0.00,0.00,0.00,0.00,0.00,0.00
0.42840,162.773,0.088,0,0.000,0.006,0.013,-0.004,0.003,0.006,0.013,1500.0,-1,-1500.0,0.400,0.00,0.00,0.00,0.00,0.00,0.00
0.43992,162.686,0.000,0,0.000,0.007,0.011,-0.004,0.004,0.007,0.011,1500.0,-1,-1500.0,0.413,0.00,0.00,0.00,0.00,0.00,0.00
0.45781,162.686,0.000,0,0.000,0.004,0.016,-0.004,0.004,0.004,0.016,1500.0,-1,-1500.0,0.434,0.00,0.00,0.00,0.00,0.00,0.00
0.46804,162.773,0.088,0,0.000,0.004,0.013,-0.004,0.002,0.004,0.013,1500.0,-1,-1500.0,0.448,0.00,0.00,0.00,0.00,0.00,0.00
0.47809,162.686,0.000,0,0.000,0.005,0.013,-0.004,0.004,0.005,0.013,1500.0,-1,-1500.0,0.459,0.00,0.00,0.00,0.00,0.00,0.00
0.48832,162.686,0.000,0,0.000,0.005,0.011,-0.004,0.004,0.005,0.011,1500.0,-1,-1500.0,0.459,0.00,0.00,0.00,0.00,0.00,0.00
0.50773,162.686,0.000,0,0.000,0.008,0.011,-0.004,0.007,0.008,0.011,1500.0,-1,-1500.0,0.473,0.00,0.00,0.00,0.00,0.00,0.00
0.51796,162.686,0.000,0,0.000,0.006,0.010,-0.004,0.005,0.006,0.010,1500.0,-1,-1500.0,0.493,0.00,0.00,0.00,0.00,0.00,0.00
0.52801,162.686,0.000,0,0.000,0.007,0.011,-0.004,0.001,0.007,0.011,1500.0,-1,-1500.0,0.503,0.00,0.00,0.00,0.00,0.00,0.00
0.53824,162.686,0.000,0,0.000,0.004,0.012,-0.004,0.000,0.004,0.012,1500.0,-1,-1500.0,0.516,0.00,0.00,0.00,0.00,0.00,0.00
0.55765,162.686,0.000,0,0.000,0.004,0.010,-0.003,0.001,0.004,0.010,1500.0,-1,-1500.0,0.529,0.00,0.00,0.00,0.00,0.00,0.00
0.56790,162.686,0.000,0,0.000,0.005,0.013,-0.003,0.002,0.005,0.013,1500.0,-1,-1500.0,0.541,0.00,0.00,0.00,0.00,0.00,0.00
0.57812,162.686,0.000,0,0.000,0.005,0.016,-0.003,0.005,0.005,0.016,1500.0,-1,-1500.0,0.554,0.00,0.00,0.00,0.00,0.00,0.00
0.58818,162.686,0.000,0,0.000,0.006,0.015,-0.003,0.004,0.006,0.015,1500.0,-1,-1500.0,0.568,0.00,0.00,0.00,0.00,0.00,0.00
0.60776,162.686,0.000,0,0.000,0.004,0.019,-0.003,0.004,0.004,0.019,1500.0,-1,-1500.0,0.583,0.00,0.00,0.00,0.00,0.00,0.00
0.61782,162.686,0.000,0,0.000,0.005,0.020,-0.003,0.003,0.005,0.020,1500.0,-1,-1500.0,0.595,0.00,0.00,0.00,0.00,0.00,0.00
0.62804,162.686,0.000,0,0.000,0.005,0.017,-0.003,0.004,0.005,0.017,1500.0,-1,-1500.0,0.608,0.00,0.00,0.00,0.00,0.00,0.00
0.63810,162.773,0.088,0,0.000,0.004,0.015,-0.003,0.005,0.004,0.015,1500.0,-1,-1500.0,0.608,0.00,0.00,0.00,0.00,0.00,0.00
0.65768,162.773,0.088,0,0.000,0.006,0.013,-0.003,0.004,0.006,0.013,1500.0,-1,-1500.0,0.635,0.00,0.00,0.00,0.00,0.00,0.00
0.66773,162.686,0.000,0,0.000,0.005,0.013,-0.003,0.004,0.005,0.013,1500.0,-1,-1500.0,0.635,0.00,0.00,0.00,0.00,0.00,0.00
0.67796,162.686,0.000,0,0.000,0.006,0.018,-0.003,0.005,0.006,0.018,1500.0,-1,-1500.0,0.656,0.00,0.00,0.00,0.00,0.00,0.00
0.68839,162.686,0.000,0,0.000,0.007,0.019,-0.003,0.003,0.007,0.019,1500.0,-1,-1500.0,0.667,0.00,0.00,0.00,0.00,0.00,0.00
0.70785,162.686,0.000,0,0.000,0.005,0.014,-0.003,0.005,0.005,0.014,1500.0,-1,-1500.0,0.678,0.00,0.00,0.00,0.00,0.00,0.00
0.72744,162.686,0.000,0,0.000,0.005,0.011,-0.002,0.005,0.005,0.011,1500.0,-1,-1500.0,0.702,0.00,0.00,0.00,0.00,0.00,0.00
0.73749,162.686,0.000,0,0.000,0.007,0.007,-0.002,0.002,0.007,0.007,1500.0,-1,-1500.0,0.712,0.00,0.00,0.00,0.00,0.00,0.00
0.74772,162.773,0.088,0,0.000,0.005,0.005,-0.002,0.004,0.005,0.005,1500.0,-1,-1500.0,0.725,0.00,0.00,0.00,0.00,0.00,0.00
0.75778,162.773,0.088,0,0.000,0.006,0.007,-0.002,0.005,0.006,0.007,1500.0,-1,-1500.0,0.725,0.00,0.00,0.00,0.00,0.00,0.00
0.77736,162.773,0.088,0,0.000,0.004,0.006,-0.002,0.007,0.004,0.006,1500.0,-1,-1500.0,0.752,0.00,0.00,0.00,0.00,0.00,0.00
0.78741,162.686,0.000,0,0.000,0.005,0.005,-0.002,0.005,0.005,0.005,1500.0,-1,-1500.0,0.765,0.00,0.00,0.00,0.00,0.00,0.00
0.79764,162.773,0.088,0,0.000,0.003,0.006,-0.002,0.001,0.003,0.006,1500.0,-1,-1500.0,0.765,0.00,0.00,0.00,0.00,0.00,0.00
0.80769,162.773,0.088,0,0.000,0.004,0.006,-0.002,0.001,0.004,0.006,1500.0,-1,-1500.0,0.780,0.00,0.00,0.00,0.00,0.00,0.00
0.81836,162.773,0.088,0,0.000,0.003,0.005,-0.002,0.001,0.003,0.005,1500.0,-1,-1500.0,0.791,0.00,0.00,0.00,0.00,0.00,0.00
0.83698,162.686,0.000,0,0.000,0.001,0.011,-0.002,0.001,0.001,0.011,1500.0,-1,-1500.0,0.813,0.00,0.00,0.00,0.00,0.00,0.00
0.84720,162.686,0.000,0,0.000,0.001,0.014,-0.002,0.002,0.001,0.014,1500.0,-1,-1500.0,0.826,0.00,0.00,0.00,0.00,0.00,0.00
0.85726,162.686,0.000,0,0.000,0.002,0.017,-0.002,0.000,0.002,0.017,1500.0,-1,-1500.0,0.826,0.00,0.00,0.00,0.00,0.00,0.00
0.86748,162.686,0.000,0,0.000,0.001,0.019,-0.002,0.001,0.001,0.019,1500.0,-1,-1500.0,0.839,0.00,0.00,0.00,0.00,0.00,0.00
0.87754,162.686,0.000,0,0.000,0.003,0.017,-0.002,0.000,0.003,0.017,1500.0,-1,-1500.0,0.851,0.00,0.00,0.00,0.00,0.00,0.00
0.89713,162.686,0.000,0,0.000,0.005,0.012,-0.002,0.001,0.005,0.012,1500.0,-1,-1500.0,0.870,0.00,0.00,0.00,0.00,0.00,0.00
0.90718,162.773,0.088,0,0.000,0.005,0.011,-0.002,0.001,0.005,0.011,1500.0,-1,-1500.0,0.881,0.00,0.00,0.00,0.00,0.00,0.00
0.91740,162.773,0.088,0,0.000,0.007,0.010,-0.002,0.001,0.007,0.010,1500.0,-1,-1500.0,0.892,0.00,0.00,0.00,0.00,0.00,0.00
0.92746,162.686,0.000,0,0.000,0.006,0.009,-0.002,0.003,0.006,0.009,1500.0,-1,-1500.0,0.904,0.00,0.00,0.00,0.00,0.00,0.00
0.94697,162.773,0.088,0,0.000,0.007,0.009,-0.002,0.001,0.007,0.009,1500.0,-1,-1500.0,0.929,0.00,0.00,0.00,0.00,0.00,0.00
0.95718,162.686,0.000,0,0.000,0.006,0.008,-0.002,0.001,0.006,0.008,1500.0,-1,-1500.0,0.929,0.00,0.00,0.00,0.00,0.00,0.00
0.96724,162.686,0.000,0,0.000,0.004,0.008,-0.001,0.004,0.004,0.008,1500.0,-1,-1500.0,0.949,0.00,0.00,0.00,0.00,0.00,0.00
0.97747,162.686,0.000,0,0.000,0.004,0.007,-0.001,0.002,0.004,0.007,1500.0,-1,-1500.0,0.949,0.00,0.00,0.00,0.00,0.00,0.00
0.99688,162.686,0.000,0,0.000,0.002,0.006,-0.001,0.005,0.002,0.006,1500.0,-1,-1500.0,0.980,0.00,0.00,0.00,0.00,0.00,0.00
1.00710,152.930,-9.756,0,0.000,-0.042,0.311,-0.002,0.095,-0.042,0.311,1500.0,-1,-1500.0,0.980,0.00,0.00,0.00,0.00,0.00,0.00
1.01716,139.043,-23.643,0,0.000,-0.033,0.423,-0.002,0.019,-0.033,0.423,1500.0,-1,-1500.0,0.989,0.00,0.00,0.00,0.00,0.00,0.00
1.02738,125.332,-37.354,0,0.000,0.012,0.293,-0.002,0.038,0.012,0.293,1500.0,-1,-1500.0,1.004,0.00,0.00,0.00,0.00,0.00,0.00
1.03744,111.797,-50.889,0,0.000,0.013,0.094,-0.002,-0.048,0.013,0.094,1500.0,-1,-1500.0,1.016,0.00,0.00,0.00,0.00,0.00,0.00
1.05703,85.957,-76.729,0,0.000,0.001,0.078,-0.002,-0.041,0.001,0.078,1500.0,-1,-1500.0,1.027,0.00,0.00,0.00,0.00,0.00,0.00
1.06753,72.949,-89.736,0,0.000,-0.004,0.029,-0.002,-0.007,-0.004,0.029,1500.0,-1,-1500.0,1.039,0.00,0.00,0.00,0.00,0.00,0.00
1.08700,46.230,-116.455,0,0.000,0.010,0.108,-0.001,-0.054,0.010,0.108,1500.0,-1,-1500.0,1.066,0.00,0.51,0.00,0.64,0.00,67.13
1.09723,33.047,-129.639,0,0.000,0.042,0.032,-0.001,-0.034,0.042,0.032,1500.0,-1,-1500.0,1.078,-0.07,0.72,-0.07,0.22,-5.32,17.13
1.10728,19.424,-143.262,0,0.000,0.018,0.011,-0.001,-0.009,0.018,0.011,1500.0,-1,-1500.0,1.078,-0.07,0.72,-0.07,0.22,-5.32,17.13
1.12687,353.848,-168.838,0,0.000,-0.001,0.000,-0.001,0.000,-0.001,0.000,1500.0,-1,-1500.0,1.102,-0.13,1.40,0.00,0.53,0.00,53.69
1.13692,340.225,-182.461,0,0.000,-0.005,-0.018,-0.001,0.006,-0.005,-0.018,1500.0,-1,-1500.0,1.117,-0.13,1.75,0.00,0.34,0.00,22.30
