t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,a_belt,v_belt,axW,ayW,azW,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.02310,215.947,0.000,0,0.000,0.003,0.006,0.002,0.003,0.008,2500.0,1,2500.0,0.004,0.00,0.00,0.00,0.00,0.00,0.00
0.04269,215.859,-0.088,0,0.000,0.001,0.006,0.004,0.001,0.006,2500.0,1,2500.0,0.015,0.00,0.00,0.00,0.00,0.00,0.00
0.05275,215.859,-0.088,0,0.000,0.001,0.006,0.004,0.001,0.007,2500.0,1,2500.0,0.015,0.00,0.00,0.00,0.00,0.00,0.00
0.06297,215.947,0.000,0,0.000,0.003,0.006,0.005,0.003,0.004,2500.0,1,2500.0,0.038,0.00,0.00,0.00,0.00,0.00,0.00
0.07303,215.859,-0.088,0,0.000,0.004,0.006,0.007,0.004,0.002,2500.0,1,2500.0,0.049,0.00,0.00,0.00,0.00,0.00,0.00
0.09261,215.859,-0.088,0,0.000,0.005,0.006,0.004,0.005,0.006,2500.0,1,2500.0,0.070,0.00,0.00,0.00,0.00,0.00,0.00
0.10267,215.859,-0.088,0,0.000,0.007,0.006,0.003,0.007,0.007,2500.0,1,2500.0,0.083,0.00,0.00,0.00,0.00,0.00,0.00
0.13271,215.859,-0.088,0,0.000,0.008,0.007,0.006,0.008,0.004,2500.0,1,2500.0,0.100,0.00,0.00,0.00,0.00,0.00,0.00
0.15273,215.771,-0.176,0,0.000,0.002,0.007,0.008,0.002,0.004,2500.0,1,2500.0,0.123,0.00,0.00,0.00,0.00,0.00,0.00
0.31594,215.947,0.000,0,0.000,0.005,0.007,0.002,0.005,0.007,2500.0,1,2500.0,0.148,0.00,0.00,0.00,0.00,0.00,0.00
0.33468,215.859,-0.088,0,0.000,0.007,0.008,0.007,0.007,0.006,2500.0,1,2500.0,0.148,0.00,0.00,0.00,0.00,0.00,0.00
0.35263,215.859,-0.088,0,0.000,0.007,0.008,0.008,0.007,0.010,2500.0,1,2500.0,0.328,0.00,0.00,0.00,0.00,0.00,0.00
0.37204,215.947,0.000,0,0.000,0.008,0.008,0.006,0.008,0.006,2500.0,1,2500.0,0.345,0.00,0.00,0.00,0.00,0.00,0.00
0.38227,215.859,-0.088,0,0.000,0.008,0.008,0.007,0.008,0.005,2500.0,1,2500.0,0.356,0.00,0.00,0.00,0.00,0.00,0.00
0.39232,215.859,-0.088,0,0.000,0.005,0.008,0.007,0.005,0.003,2500.0,1,2500.0,0.369,0.00,0.00,0.00,0.00,0.00,0.00
0.40255,215.859,-0.088,0,0.000,0.005,0.008,0.009,0.005,0.000,2500.0,1,2500.0,0.379,0.00,0.00,0.00,0.00,0.00,0.00
0.42196,215.947,0.000,0,0.000,0.006,0.008,0.004,0.006,0.004,2500.0,1,2500.0,0.391,0.00,0.00,0.00,0.00,0.00,0.00
0.43219,215.859,-0.088,0,0.000,0.008,0.008,0.005,0.008,0.008,2500.0,1,2500.0,0.405,0.00,0.00,0.00,0.00,0.00,0.00
0.44224,215.947,0.000,0,0.000,0.010,0.008,0.005,0.010,0.008,2500.0,1,2500.0,0.418,0.00,0.00,0.00,0.00,0.00,0.00
0.45296,215.947,0.000,0,0.000,0.007,0.008,0.007,0.007,0.005,2500.0,1,2500.0,0.434,0.00,0.00,0.00,0.00,0.00,0.00
0.47242,215.859,-0.088,0,0.000,0.008,0.008,0.008,0.008,0.008,2500.0,1,2500.0,0.445,0.00,0.00,0.00,0.00,0.00,0.00
0.49201,215.859,-0.088,0,0.000,0.009,0.009,0.008,0.009,0.006,2500.0,1,2500.0,0.474,0.00,0.00,0.00,0.00,0.00,0.00
0.50206,215.859,-0.088,0,0.000,0.009,0.009,0.010,0.009,0.006,2500.0,1,2500.0,0.474,0.00,0.00,0.00,0.00,0.00,0.00
0.51229,215.859,-0.088,0,0.000,0.005,0.009,0.012,0.005,0.004,2500.0,1,2500.0,0.485,0.00,0.00,0.00,0.00,0.00,0.00
0.52234,215.859,-0.088,0,0.000,0.004,0.009,0.011,0.004,0.002,2500.0,1,2500.0,0.501,0.00,0.00,0.00,0.00,0.00,0.00
0.54194,215.947,0.000,0,0.000,0.004,0.009,0.010,0.004,0.009,2500.0,1,2500.0,0.523,0.00,0.00,0.00,0.00,0.00,0.00
0.55198,215.947,0.000,0,0.000,0.004,0.009,0.011,0.004,0.011,2500.0,1,2500.0,0.523,0.00,0.00,0.00,0.00,0.00,0.00
0.56221,215.859,-0.088,0,0.000,0.006,0.009,0.013,0.006,0.010,2500.0,1,2500.0,0.537,0.00,0.00,0.00,0.00,0.00,0.00
0.57226,215.859,-0.088,0,0.000,0.008,0.009,0.010,0.008,0.011,2500.0,1,2500.0,0.548,0.00,0.00,0.00,0.00,0.00,0.00
0.59179,215.771,-0.176,0,0.000,0.006,0.009,0.006,0.006,0.007,2500.0,1,2500.0,0.571,0.00,0.00,0.00,0.00,0.00,0.00
0.60201,215.859,-0.088,0,0.000,0.005,0.009,0.008,0.005,0.011,2500.0,1,2500.0,0.571,0.00,0.00,0.00,0.00,0.00,0.00
0.61206,215.947,0.000,0,0.000,0.007,0.009,0.009,0.007,0.011,2500.0,1,2500.0,0.589,0.00,0.00,0.00,0.00,0.00,0.00
0.63164,215.947,0.000,0,0.000,0.012,0.010,0.011,0.012,0.009,2500.0,1,2500.0,0.611,0.00,0.00,0.00,0.00,0.00,0.00
0.64170,215.947,0.000,0,0.000,0.011,0.010,0.010,0.011,0.008,2500.0,1,2500.0,0.611,0.00,0.00,0.00,0.00,0.00,0.00
0.65192,215.859,-0.088,0,0.000,0.011,0.010,0.007,0.011,0.011,2500.0,1,2500.0,0.628,0.00,0.00,0.00,0.00,0.00,0.00
0.66198,215.947,0.000,0,0.000,0.013,0.010,0.003,0.013,0.008,2500.0,1,2500.0,0.639,0.00,0.00,0.00,0.00,0.00,0.00
0.68156,215.859,-0.088,0,0.000,0.010,0.010,0.001,0.010,0.007,2500.0,1,2500.0,0.656,0.00,0.00,0.00,0.00,0.00,0.00
0.69162,215.859,-0.088,0,0.000,0.009,0.010,0.002,0.009,0.008,2500.0,1,2500.0,0.667,0.00,0.00,0.00,0.00,0.00,0.00
0.70184,215.859,-0.088,0,0.000,0.010,0.010,0.005,0.010,0.005,2500.0,1,2500.0,0.678,0.00,0.00,0.00,0.00,0.00,0.00
0.71323,215.947,0.000,0,0.000,0.009,0.010,0.007,0.009,0.006,2500.0,1,2500.0,0.693,0.00,0.00,0.00,0.00,0.00,0.00
0.73199,215.859,-0.088,0,0.000,0.010,0.011,0.006,0.010,0.008,2500.0,1,2500.0,0.704,0.00,0.00,0.00,0.00,0.00,0.00
0.75140,215.947,0.000,0,0.000,0.007,0.011,0.007,0.007,0.004,2500.0,1,2500.0,0.731,0.00,0.00,0.00,0.00,0.00,0.00
0.76163,215.859,-0.088,0,0.000,0.005,0.011,0.009,0.005,0.001,2500.0,1,2500.0,0.743,0.00,0.00,0.00,0.00,0.00,0.00
0.77168,215.947,0.000,0,0.000,0.005,0.011,0.009,0.005,0.003,2500.0,1,2500.0,0.743,0.00,0.00,0.00,0.00,0.00,0.00
0.78191,215.771,-0.176,0,0.000,0.004,0.011,0.005,0.004,0.006,2500.0,1,2500.0,0.755,0.00,0.00,0.00,0.00,0.00,0.00
0.80132,215.859,-0.088,0,0.000,0.008,0.011,0.004,0.008,0.008,2500.0,1,2500.0,0.779,0.00,0.00,0.00,0.00,0.00,0.00
0.81155,215.947,0.000,0,0.000,0.010,0.011,0.004,0.010,0.007,2500.0,1,2500.0,0.792,0.00,0.00,0.00,0.00,0.00,0.00
0.82160,215.947,0.000,0,0.000,0.010,0.011,0.004,0.010,0.003,2500.0,1,2500.0,0.792,0.00,0.00,0.00,0.00,0.00,0.00
0.83183,215.947,0.000,0,0.000,0.010,0.011,0.003,0.010,0.008,2500.0,1,2500.0,0.804,0.00,0.00,0.00,0.00,0.00,0.00
0.85133,215.859,-0.088,0,0.000,0.010,0.011,0.007,0.010,0.003,2500.0,1,2500.0,0.818,0.00,0.00,0.00,0.00,0.00,0.00
0.86138,215.859,-0.088,0,0.000,0.013,0.012,0.008,0.013,0.005,2500.0,1,2500.0,0.840,0.00,0.00,0.00,0.00,0.00,0.00
0.87161,215.947,0.000,0,0.000,0.013,0.012,0.005,0.013,0.007,2500.0,1,2500.0,0.849,0.00,0.00,0.00,0.00,0.00,0.00
0.88166,215.859,-0.088,0,0.000,0.012,0.012,0.008,0.012,0.008,2500.0,1,2500.0,0.860,0.00,0.00,0.00,0.00,0.00,0.00
0.90125,215.859,-0.088,0,0.000,0.010,0.012,0.008,0.010,0.007,2500.0,1,2500.0,0.873,0.00,0.00,0.00,0.00,0.00,0.00
0.91130,215.771,-0.176,0,0.000,0.008,0.012,0.008,0.008,0.007,2500.0,1,2500.0,0.890,0.00,0.00,0.00,0.00,0.00,0.00
0.92153,215.947,0.000,0,0.000,0.009,0.012,0.008,0.009,0.008,2500.0,1,2500.0,0.900,0.00,0.00,0.00,0.00,0.00,0.00
0.93160,215.947,0.000,0,0.000,0.006,0.012,0.005,0.006,0.008,2500.0,1,2500.0,0.912,0.00,0.00,0.00,0.00,0.00,0.00
0.95117,215.947,0.000,0,0.000,0.005,0.012,0.003,0.005,0.005,2500.0,1,2500.0,0.926,0.00,0.00,0.00,0.00,0.00,0.00
0.96122,215.859,-0.088,0,0.000,0.005,0.012,0.003,0.005,0.008,2500.0,1,2500.0,0.936,0.00,0.00,0.00,0.00,0.00,0.00
0.97152,215.947,0.000,0,0.000,0.005,0.012,0.005,0.005,0.009,2500.0,1,2500.0,0.947,0.00,0.00,0.00,0.00,0.00,0.00
0.99116,215.947,0.000,0,0.000,0.008,0.013,0.007,0.008,0.007,2500.0,1,2500.0,0.961,0.00,0.00,0.00,0.00,0.00,0.00
1.00122,213.750,-2.197,0,0.000,0.007,0.013,0.006,0.007,0.007,2500.0,1,2500.0,0.969,0.00,0.00,0.00,0.00,0.00,0.00
