t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.001000,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.002000,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.003001,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.004002,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.005003,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.006004,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.007005,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.008006,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.009006,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.010006,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.011007,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.012007,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.013007,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.014007,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.015007,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.016007,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.017007,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.018008,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.019008,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.020008,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.021008,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.022008,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.023008,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.024008,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.025008,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.026008,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.027008,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.028009,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.029009,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.030009,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.031009,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.032010,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.033011,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.034012,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.035013,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.036014,263.3203,0.087891,0,0.0000,0.00,1,0.00
0.037014,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.038015,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.039016,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.040017,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.041018,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.042019,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.043019,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.044020,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.045021,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.046022,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.047023,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.048023,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.049024,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.050025,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.057274,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.058274,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.059275,263.1445,-0.087891,0,0.0000,0.00,1,0.00
0.060276,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.061277,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.062277,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.063278,263.2324,0.000000,0,0.0000,0.00,1,0.00
0.064278,263.2324,0.000000,0,0.0000,0.00,1,0.00
