t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.001000,50.0098,0.000000,0,0.0000,0.70,1,0.70
0.002000,50.0977,0.087891,0,0.0000,1.40,1,1.40
0.003002,50.1855,0.175781,0,0.0000,2.10,1,2.10
0.004002,50.1855,0.175781,0,0.0000,2.80,1,2.80
0.005003,50.0977,0.087891,0,0.0000,3.50,1,3.50
0.006004,50.0098,0.000000,0,0.0000,4.20,1,4.20
0.007005,50.0098,0.000000,0,0.0000,4.90,1,4.90
0.008006,50.0977,0.087891,0,0.0000,5.60,1,5.60
0.009006,50.0977,0.087891,0,0.0000,6.30,1,6.30
0.010006,50.0977,0.087891,0,0.0000,7.00,1,7.00
0.011007,50.0977,0.087891,0,0.0000,7.70,1,7.70
0.012007,50.0977,0.087891,0,0.0000,8.40,1,8.40
0.013007,50.0977,0.087891,0,0.0000,9.10,1,9.10
0.014007,50.1855,0.175781,0,0.0000,9.80,1,9.80
0.015007,50.0977,0.087891,0,0.0000,10.50,1,10.50
0.016007,50.0977,0.087891,0,0.0000,11.20,1,11.20
0.017007,50.0977,0.087891,0,0.0000,11.90,1,11.90
0.018008,50.0977,0.087891,0,0.0000,12.60,1,12.60
0.019008,50.0977,0.087891,0,0.0000,13.30,1,13.30
0.020008,50.0977,0.087891,0,0.0000,14.00,1,14.00
0.021008,50.0977,0.087891,0,0.0000,14.70,1,14.70
0.022008,50.0977,0.087891,0,0.0000,15.40,1,15.40
0.023008,50.1855,0.175781,0,0.0000,16.10,1,16.10
0.024008,50.1855,0.175781,0,0.0000,16.80,1,16.80
0.025008,50.0977,0.087891,0,0.0000,17.50,1,17.50
0.026008,50.0977,0.087891,0,0.0000,18.20,1,18.20
0.027008,50.0977,0.087891,0,0.0000,18.90,1,18.90
0.028009,50.0977,0.087891,0,0.0000,19.60,1,19.60
0.029009,50.0977,0.087891,0,0.0000,20.30,1,20.30
0.030009,50.0977,0.087891,0,0.0000,21.00,1,21.00
0.031009,50.0977,0.087891,0,0.0000,21.70,1,21.70
0.032010,50.0977,0.087891,0,0.0000,22.40,1,22.40
0.033011,50.0977,0.087891,0,0.0000,23.10,1,23.10
0.034012,50.0977,0.087891,0,0.0000,23.80,1,23.80
0.035013,50.0977,0.087891,0,0.0000,24.50,1,24.50
0.036014,50.0977,0.087891,0,0.0000,25.20,1,25.20
0.037014,50.0098,0.000000,0,0.0000,25.90,1,25.90
0.038015,50.0977,0.087891,0,0.0000,26.60,1,26.60
0.039016,50.0977,0.087891,0,0.0000,27.30,1,27.30
0.040017,50.0977,0.087891,0,0.0000,28.00,1,28.00
0.041018,50.0977,0.087891,0,0.0000,28.70,1,28.70
0.042019,50.0977,0.087891,0,0.0000,29.40,1,29.40
0.043019,50.0977,0.087891,0,0.0000,30.10,1,30.10
0.044020,50.1855,0.175781,0,0.0000,30.80,1,30.80
0.045021,50.0977,0.087891,0,0.0000,31.50,1,31.50
0.046022,50.0977,0.087891,0,0.0000,32.20,1,32.20
0.047023,50.0977,0.087891,0,0.0000,32.90,1,32.90
0.048023,50.1855,0.175781,0,0.0000,33.60,1,33.60
0.049024,50.0977,0.087891,0,0.0000,34.30,1,34.30
0.050025,50.0977,0.087891,0,0.0000,35.00,1,35.00
0.058398,50.0977,0.087891,0,0.0000,40.60,1,40.60
0.059399,50.0977,0.087891,0,0.0000,41.30,1,41.30
0.060400,50.1855,0.175781,0,0.0000,42.00,1,42.00
0.061401,50.0977,0.087891,0,0.0000,42.70,1,42.70
0.062401,50.0977,0.087891,0,0.0000,43.40,1,43.40
0.063402,50.0977,0.087891,0,0.0000,44.10,1,44.10
0.064402,50.0977,0.087891,0,0.0000,44.80,1,44.80
0.065402,50.0977,0.087891,0,0.0000,45.50,1,45.50
0.066402,50.0977,0.087891,0,0.0000,46.20,1,46.20
0.067403,50.0977,0.087891,0,0.0000,46.90,1,46.90
0.068403,50.0977,0.087891,0,0.0000,47.60,1,47.60
0.069403,50.0977,0.087891,0,0.0000,48.30,1,48.30
0.070403,50.0977,0.087891,0,0.0000,49.00,1,49.00
0.071404,50.1855,0.175781,0,0.0000,49.70,1,49.70
0.072405,50.1855,0.175781,0,0.0000,50.40,1,50.40
0.073406,50.0977,0.087891,0,0.0000,51.10,1,51.10
0.074407,50.0977,0.087891,0,0.0000,51.80,1,51.80
0.075407,50.1855,0.175781,0,0.0000,52.50,1,52.50
0.076407,50.0977,0.087891,0,0.0000,53.20,1,53.20
0.077407,50.0977,0.087891,0,0.0000,53.90,1,53.90
0.078408,50.0977,0.087891,0,0.0000,54.60,1,54.60
