t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.001000,169.1895,0.000000,0,0.0000,2000.00,1,2000.00
0.002000,168.8379,-0.351563,1,0.7031,2000.00,1,2000.00
0.003001,167.6074,-1.582031,5,3.5156,2000.00,1,2000.00
0.004002,165.3223,-3.867188,7,4.9219,2000.00,1,2000.00
0.005003,163.5645,-5.625000,8,5.6250,2000.00,1,2000.00
0.006004,162.2461,-6.943359,9,6.3281,2000.00,1,2000.00
0.007005,161.0156,-8.173828,12,8.4375,2000.00,1,2000.00
0.008006,159.6094,-9.580078,14,9.8437,2000.00,1,2000.00
0.009006,157.7637,-11.425781,16,11.2500,2000.00,1,2000.00
0.010006,156.2695,-12.919922,17,11.9531,2000.00,1,2000.00
0.011007,154.7754,-14.414063,19,13.3594,2000.00,1,2000.00
0.012651,152.2266,-16.962891,22,15.4687,2000.00,1,2000.00
0.013651,150.8203,-18.369141,24,16.8750,2000.00,1,2000.00
0.014652,149.2383,-19.951172,26,18.2813,2000.00,1,2000.00
0.015653,147.7441,-21.445312,28,19.6875,2000.00,1,2000.00
0.016653,146.3379,-22.851562,30,21.0938,2000.00,1,2000.00
0.017653,144.7559,-24.433594,32,22.5000,2000.00,1,2000.00
0.018653,143.4375,-25.751953,34,23.9063,2000.00,1,2000.00
0.019653,141.9434,-27.246094,36,25.3125,2000.00,1,2000.00
0.020653,140.3613,-28.828125,38,26.7188,2000.00,1,2000.00
0.021653,139.0430,-30.146484,40,28.1250,2000.00,1,2000.00
0.022653,137.4609,-31.728516,42,29.5313,2000.00,1,2000.00
0.023653,135.9668,-33.222656,44,30.9375,2000.00,1,2000.00
0.024653,134.6484,-34.541016,46,32.3438,2000.00,1,2000.00
0.025654,133.1543,-36.035156,48,33.7500,2000.00,1,2000.00
0.026654,131.7480,-37.441406,50,35.1563,2000.00,1,2000.00
0.027654,130.2539,-38.935547,51,35.8594,2000.00,1,2000.00
0.028654,128.8477,-40.341797,53,37.2656,2000.00,1,2000.00
0.029654,127.6172,-41.572266,55,38.6719,2000.00,1,2000.00
0.030654,126.1230,-43.066406,57,40.0781,2000.00,1,2000.00
0.031654,124.6289,-44.560547,59,41.4844,2000.00,1,2000.00
0.032655,123.3984,-45.791016,61,42.8906,2000.00,1,2000.00
0.033656,121.9043,-47.285156,63,44.2969,2000.00,1,2000.00
0.034657,120.5859,-48.603516,65,45.7031,2000.00,1,2000.00
0.035658,119.3555,-49.833984,66,46.4063,2000.00,1,2000.00
0.036658,117.8613,-51.328125,69,48.5156,2000.00,1,2000.00
0.037659,116.5430,-52.646484,70,49.2188,2000.00,1,2000.00
0.038660,115.1367,-54.052734,72,50.6250,2000.00,1,2000.00
0.039661,113.8184,-55.371094,74,52.0313,2000.00,1,2000.00
0.040662,112.6758,-56.513672,76,53.4375,2000.00,1,2000.00
0.041662,111.3574,-57.832031,78,54.8438,2000.00,1,2000.00
0.042663,109.9512,-59.238281,80,56.2500,2000.00,1,2000.00
0.043664,108.7207,-60.468750,82,57.6563,2000.00,1,2000.00
0.044665,107.4023,-61.787109,84,59.0625,2000.00,1,2000.00
0.045666,106.0840,-63.105469,86,60.4688,2000.00,1,2000.00
0.046667,104.8535,-64.335937,88,61.8750,2000.00,1,2000.00
0.047667,103.5352,-65.654297,90,63.2813,2000.00,1,2000.00
0.048668,102.3047,-66.884766,92,64.6875,2000.00,1,2000.00
0.049669,101.0742,-68.115234,94,66.0938,2000.00,1,2000.00
0.050670,99.7559,-69.433594,96,67.5000,2000.00,1,2000.00
0.092371,49.7461,-119.443359,175,123.0469,2000.00,1,2000.00
0.093372,48.6035,-120.585937,177,124.4531,2000.00,1,2000.00
0.094373,47.2852,-121.904297,179,125.8594,2000.00,1,2000.00
0.095374,45.9668,-123.222656,181,127.2656,2000.00,1,2000.00
0.096375,44.8242,-124.365234,183,128.6719,2000.00,1,2000.00
0.097376,43.5938,-125.595703,185,130.0781,2000.00,1,2000.00
0.098376,42.2754,-126.914062,187,131.4844,2000.00,1,2000.00
0.099376,41.1328,-128.056641,189,132.8906,2000.00,1,2000.00
0.100376,39.7266,-129.462891,191,134.2969,2000.00,1,2000.00
0.101377,38.4082,-130.781250,193,135.7031,2000.00,1,2000.00
0.102378,37.1777,-132.011719,194,136.4062,2000.00,1,2000.00
0.103379,35.8594,-133.330078,197,138.5156,2000.00,1,2000.00
0.104379,34.6289,-134.560547,198,139.2187,2000.00,1,2000.00
0.105379,33.3105,-135.878906,201,141.3281,2000.00,1,2000.00
0.106379,31.8164,-137.373047,202,142.0312,2000.00,1,2000.00
0.107380,30.5859,-138.603516,204,143.4375,2000.00,1,2000.00
0.108381,29.2676,-139.921875,206,144.8437,2000.00,1,2000.00
0.109382,27.8613,-141.328125,208,146.2500,2000.00,1,2000.00
0.110382,26.5430,-142.646484,210,147.6562,2000.00,1,2000.00
0.111382,25.1367,-144.052734,212,149.0625,2000.00,1,2000.00
0.112382,23.9063,-145.283203,213,149.7656,2000.00,1,2000.00
0.113383,22.5000,-146.689453,215,151.1719,2000.00,1,2000.00
0.114384,21.0059,-148.183594,217,152.5781,2000.00,1,2000.00
0.115385,19.5996,-149.589844,219,153.9844,2000.00,1,2000.00
0.116386,18.1934,-150.996094,221,155.3906,2000.00,1,2000.00
0.117386,16.7871,-152.402344,223,156.7969,2000.00,1,2000.00
0.118386,15.4687,-153.720703,225,158.2031,2000.00,1,2000.00
0.119386,13.9746,-155.214844,227,159.6094,2000.00,1,2000.00
0.120387,12.4805,-156.708984,229,161.0156,2000.00,1,2000.00
0.121388,11.1621,-158.027344,231,162.4219,2000.00,1,2000.00
0.122389,9.6680,-159.521484,233,163.8281,2000.00,1,2000.00
0.123389,8.3496,-160.839844,235,165.2344,2000.00,1,2000.00
0.124389,6.8555,-162.333984,237,166.6406,2000.00,1,2000.00
0.125390,5.2734,-163.916016,238,167.3437,2000.00,1,2000.00
0.126390,3.8672,-165.322266,241,169.4531,2000.00,1,2000.00
0.127390,2.2852,-166.904297,242,170.1562,2000.00,1,2000.00
0.128390,0.6152,-168.574219,244,171.5625,2000.00,1,2000.00
0.129390,359.3848,-169.804687,246,172.9687,2000.00,1,2000.00
0.130390,357.8906,-171.298828,248,174.3750,2000.00,1,2000.00
0.131390,356.2207,-172.968750,250,175.7812,2000.00,1,2000.00
0.132391,354.8145,-174.375000,252,177.1875,2000.00,1,2000.00
0.133392,353.2324,-175.957031,254,178.5937,2000.00,1,2000.00
0.134393,352.0020,-177.187500,256,180.0000,2000.00,1,2000.00
0.135394,350.4199,-178.769531,258,181.4062,2000.00,1,2000.00
0.136395,348.8379,-180.351562,259,182.1094,2000.00,1,2000.00
0.137395,347.3437,-181.845703,262,184.2187,2000.00,1,2000.00
0.138395,345.7617,-183.427734,263,184.9219,2000.00,1,2000.00
0.139395,344.1797,-185.009766,265,186.3281,2000.00,1,2000.00
0.140395,342.8613,-186.328125,267,187.7344,2000.00,1,2000.00
0.141395,341.3672,-187.822266,269,189.1406,2000.00,1,2000.00
0.149265,329.5020,-199.687500,284,199.6875,2000.00,1,2000.00
0.150266,328.0078,-201.181641,286,201.0937,2000.00,1,2000.00
0.151267,326.6016,-202.587891,288,202.5000,2000.00,1,2000.00
0.152268,324.9316,-204.257812,290,203.9062,2000.00,1,2000.00
0.153268,323.7012,-205.488281,292,205.3125,2000.00,1,2000.00
0.154268,322.2070,-206.982422,294,206.7187,2000.00,1,2000.00
0.155268,320.5371,-208.652344,296,208.1250,2000.00,1,2000.00
0.156268,319.1309,-210.058594,297,208.8281,2000.00,1,2000.00
0.157268,317.7246,-211.464844,299,210.2344,2000.00,1,2000.00
0.158268,316.1426,-213.046875,301,211.6406,2000.00,1,2000.00
0.159268,314.8242,-214.365234,304,213.7500,2000.00,1,2000.00
0.160269,313.2422,-215.947266,305,214.4531,2000.00,1,2000.00
0.161269,312.0117,-217.177734,307,215.8594,2000.00,1,2000.00
0.162269,310.6055,-218.583984,309,217.2656,2000.00,1,2000.00
0.163269,309.0234,-220.166016,311,218.6719,2000.00,1,2000.00
0.164269,307.7051,-221.484375,313,220.0781,2000.00,1,2000.00
0.165269,306.2988,-222.890625,315,221.4844,2000.00,1,2000.00
0.166269,304.8926,-224.296875,317,222.8906,2000.00,1,2000.00
0.167269,303.5742,-225.615234,319,224.2969,2000.00,1,2000.00
0.168270,302.0801,-227.109375,321,225.7031,2000.00,1,2000.00
0.169271,300.6738,-228.515625,322,226.4062,2000.00,1,2000.00
0.170271,299.5312,-229.658203,324,227.8125,2000.00,1,2000.00
0.171271,298.1250,-231.064453,326,229.2187,2000.00,1,2000.00
0.172271,296.8066,-232.382812,328,230.6250,2000.00,1,2000.00
0.173271,295.4004,-233.789062,330,232.0312,2000.00,1,2000.00
0.174271,293.9941,-235.195312,332,233.4375,2000.00,1,2000.00
0.175271,292.6758,-236.513672,334,234.8437,2000.00,1,2000.00
0.176271,291.2695,-237.919922,336,236.2500,2000.00,1,2000.00
0.177272,289.9512,-239.238281,338,237.6562,2000.00,1,2000.00
0.178273,288.8086,-240.380859,340,239.0625,2000.00,1,2000.00
0.179273,287.4902,-241.699219,342,240.4687,2000.00,1,2000.00
0.180273,286.2598,-242.929687,343,241.1719,2000.00,1,2000.00
0.181273,284.9414,-244.248047,345,242.5781,2000.00,1,2000.00
0.182273,283.6230,-245.566406,347,243.9844,2000.00,1,2000.00
0.183273,282.3047,-246.884766,349,245.3906,2000.00,1,2000.00
0.184273,280.9863,-248.203125,351,246.7969,2000.00,1,2000.00
0.185273,279.7559,-249.433594,353,248.2031,2000.00,1,2000.00
0.186274,278.6133,-250.576172,355,249.6094,2000.00,1,2000.00
0.187275,277.1191,-252.070312,357,251.0156,2000.00,1,2000.00
0.188275,275.8887,-253.300781,359,252.4219,2000.00,1,2000.00
0.189275,274.8340,-254.355469,361,253.8281,2000.00,1,2000.00
0.190275,273.4277,-255.761719,363,255.2344,2000.00,1,2000.00
0.191275,272.1973,-256.992187,365,256.6406,2000.00,1,2000.00
0.192275,270.8789,-258.310547,366,257.3437,2000.00,1,2000.00
0.193275,269.7363,-259.453125,368,258.7500,2000.00,1,2000.00
0.194275,268.5937,-260.595703,370,260.1562,2000.00,1,2000.00
0.195276,267.1875,-262.001953,373,262.2656,2000.00,1,2000.00
0.196276,265.8691,-263.320312,374,262.9687,2000.00,1,2000.00
0.197276,264.8145,-264.375000,376,264.3750,2000.00,1,2000.00
0.198276,263.6719,-265.517578,378,265.7812,2000.00,1,2000.00
0.205518,254.7070,-274.482422,392,275.6250,2000.00,1,2000.00
0.206518,253.3008,-275.888672,394,277.0312,2000.00,1,2000.00
0.207518,252.1582,-277.031250,396,278.4375,2000.00,1,2000.00
0.208518,250.9277,-278.261719,398,279.8437,2000.00,1,2000.00
0.209518,249.6973,-279.492187,400,281.2500,2000.00,1,2000.00
0.210518,248.6426,-280.546875,402,282.6562,2000.00,1,2000.00
0.211518,247.3242,-281.865234,404,284.0625,2000.00,1,2000.00
0.212518,246.0937,-283.095703,406,285.4687,2000.00,1,2000.00
0.213519,244.8633,-284.326172,408,286.8750,2000.00,1,2000.00
0.214519,243.6328,-285.556641,410,288.2812,2000.00,1,2000.00
0.215519,242.4023,-286.787109,411,288.9844,2000.00,1,2000.00
0.216519,241.0840,-288.105469,413,290.3906,2000.00,1,2000.00
0.217519,239.7656,-289.423828,415,291.7969,2000.00,1,2000.00
0.218519,238.6230,-290.566406,417,293.2031,2000.00,1,2000.00
0.219519,237.3047,-291.884766,419,294.6094,2000.00,1,2000.00
0.220519,236.0742,-293.115234,421,296.0156,2000.00,1,2000.00
0.221520,234.8437,-294.345703,423,297.4219,2000.00,1,2000.00
0.222521,233.6133,-295.576172,425,298.8281,2000.00,1,2000.00
0.223521,232.3828,-296.806641,427,300.2344,2000.00,1,2000.00
0.224521,231.0645,-298.125000,429,301.6406,2000.00,1,2000.00
0.225521,229.8340,-299.355469,430,302.3437,2000.00,1,2000.00
0.226521,228.6914,-300.498047,433,304.4531,2000.00,1,2000.00
0.227521,227.1973,-301.992187,434,305.1562,2000.00,1,2000.00
0.228521,225.7910,-303.398437,436,306.5625,2000.00,1,2000.00
0.229521,224.7363,-304.453125,438,307.9687,2000.00,1,2000.00
0.230522,223.3301,-305.859375,440,309.3750,2000.00,1,2000.00
0.231523,222.0117,-307.177734,442,310.7812,2000.00,1,2000.00
0.232523,220.6934,-308.496094,444,312.1875,2000.00,1,2000.00
0.233523,219.2871,-309.902344,446,313.5937,2000.00,1,2000.00
0.234523,218.0566,-311.132812,448,315.0000,2000.00,1,2000.00
0.235523,216.5625,-312.626953,450,316.4062,2000.00,1,2000.00
0.236523,215.2441,-313.945312,452,317.8125,2000.00,1,2000.00
0.237523,214.0137,-315.175781,454,319.2187,2000.00,1,2000.00
0.238523,212.6074,-316.582031,456,320.6250,2000.00,1,2000.00
0.239524,211.1133,-318.076172,458,322.0312,2000.00,1,2000.00
0.240525,209.8828,-319.306641,460,323.4375,2000.00,1,2000.00
0.241525,208.4766,-320.712891,462,324.8437,2000.00,1,2000.00
0.242525,207.1582,-322.031250,464,326.2500,2000.00,1,2000.00
0.243525,205.6641,-323.525391,466,327.6562,2000.00,1,2000.00
0.244525,204.2578,-324.931641,467,328.3594,2000.00,1,2000.00
0.245525,202.8516,-326.337891,469,329.7656,2000.00,1,2000.00
0.246525,201.4453,-327.744141,471,331.1719,2000.00,1,2000.00
0.247525,199.9512,-329.238281,473,332.5781,2000.00,1,2000.00
0.248526,198.6328,-330.556641,475,333.9844,2000.00,1,2000.00
0.249526,197.0508,-332.138672,477,335.3906,2000.00,1,2000.00
0.250526,195.6445,-333.544922,479,336.7969,2000.00,1,2000.00
0.251527,194.1504,-335.039062,481,338.2031,2000.00,1,2000.00
0.252528,192.6562,-336.533203,482,338.9062,2000.00,1,2000.00
0.253529,191.4258,-337.763672,485,341.0156,2000.00,1,2000.00
0.254530,189.8437,-339.345703,487,342.4219,2000.00,1,2000.00
0.261797,179.0332,-350.156250,500,351.5625,2000.00,1,2000.00
0.262798,177.4512,-351.738281,502,352.9687,2000.00,1,2000.00
0.263799,175.8691,-353.320312,504,354.3750,2000.00,1,2000.00
0.264800,174.4629,-354.726562,506,355.7812,2000.00,1,2000.00
0.265801,172.8809,-356.308594,508,357.1875,2000.00,1,2000.00
0.266802,171.2109,-357.978516,510,358.5937,2000.00,1,2000.00
0.267803,169.8047,-359.384766,512,360.0000,2000.00,1,2000.00
0.268804,168.2227,-360.966797,514,361.4062,2000.00,1,2000.00
0.269805,166.6406,-362.548828,516,362.8125,2000.00,1,2000.00
0.270806,165.3223,-363.867187,518,364.2187,2000.00,1,2000.00
0.271806,163.6523,-365.537109,520,365.6250,2000.00,1,2000.00
0.272807,162.1582,-367.031250,522,367.0312,2000.00,1,2000.00
0.273808,160.7520,-368.437500,524,368.4375,2000.00,1,2000.00
0.274809,159.1699,-370.019531,526,369.8437,2000.00,1,2000.00
0.275810,157.6758,-371.513672,528,371.2500,2000.00,1,2000.00
0.276811,156.0059,-373.183594,530,372.6562,2000.00,1,2000.00
0.277812,154.5117,-374.677734,531,373.3594,2000.00,1,2000.00
0.278813,153.1055,-376.083984,533,374.7656,2000.00,1,2000.00
0.279814,151.5234,-377.666016,535,376.1719,2000.00,1,2000.00
0.280815,150.0293,-379.160156,537,377.5781,2000.00,1,2000.00
0.281816,148.5352,-380.654297,539,378.9844,2000.00,1,2000.00
0.282817,146.9531,-382.236328,541,380.3906,2000.00,1,2000.00
0.283818,145.5469,-383.642578,543,381.7969,2000.00,1,2000.00
0.284819,144.1406,-385.048828,545,383.2031,2000.00,1,2000.00
0.285820,142.6465,-386.542969,547,384.6094,2000.00,1,2000.00
0.286821,141.2402,-387.949219,549,386.0156,2000.00,1,2000.00
0.287822,139.5703,-389.619141,550,386.7187,2000.00,1,2000.00
0.288823,138.0762,-391.113281,552,388.1250,2000.00,1,2000.00
0.289824,136.8457,-392.343750,554,389.5312,2000.00,1,2000.00
0.290825,135.3516,-393.837891,556,390.9375,2000.00,1,2000.00
0.291826,133.7695,-395.419922,558,392.3437,2000.00,1,2000.00
0.292827,132.4512,-396.738281,560,393.7500,2000.00,1,2000.00
0.293828,130.8691,-398.320312,562,395.1562,2000.00,1,2000.00
0.294829,129.6387,-399.550781,564,396.5625,2000.00,1,2000.00
0.295830,128.1445,-401.044922,566,397.9687,2000.00,1,2000.00
0.296831,126.7383,-402.451172,568,399.3750,2000.00,1,2000.00
0.297832,125.5078,-403.681641,570,400.7812,2000.00,1,2000.00
0.298833,124.0137,-405.175781,572,402.1875,2000.00,1,2000.00
0.299834,122.5195,-406.669922,574,403.5937,2000.00,1,2000.00
0.300835,121.2891,-407.900391,576,405.0000,2000.00,1,2000.00
0.301836,119.8828,-409.306641,578,406.4062,2000.00,1,2000.00
0.302837,118.4766,-410.712891,580,407.8125,2000.00,1,2000.00
0.303837,117.2461,-411.943359,582,409.2187,2000.00,1,2000.00
0.304838,115.8398,-413.349609,583,409.9219,2000.00,1,2000.00
0.305839,114.6094,-414.580078,585,411.3281,2000.00,1,2000.00
0.306840,113.2031,-415.986328,587,412.7344,2000.00,1,2000.00
0.307841,111.8848,-417.304687,589,414.1406,2000.00,1,2000.00
0.308842,110.6543,-418.535156,591,415.5469,2000.00,1,2000.00
0.309843,109.2480,-419.941406,593,416.9531,2000.00,1,2000.00
0.310844,107.9297,-421.259766,595,418.3594,2000.00,1,2000.00
0.318112,98.7891,-430.400391,609,428.2031,2000.00,1,2000.00
0.319112,97.4707,-431.718750,611,429.6094,2000.00,1,2000.00
0.320113,96.4160,-432.773437,613,431.0156,2000.00,1,2000.00
0.321114,95.1855,-434.003906,614,431.7187,2000.00,1,2000.00
0.322115,93.9551,-435.234375,617,433.8281,2000.00,1,2000.00
0.323116,92.7246,-436.464844,619,435.2344,2000.00,1,2000.00
0.324117,91.4063,-437.783203,620,435.9375,2000.00,1,2000.00
0.325118,90.1758,-439.013672,622,437.3437,2000.00,1,2000.00
0.326119,89.1211,-440.068359,624,438.7500,2000.00,1,2000.00
0.327120,87.8906,-441.298828,626,440.1562,2000.00,1,2000.00
0.328121,86.7480,-442.441406,628,441.5625,2000.00,1,2000.00
0.329122,85.5176,-443.671875,630,442.9687,2000.00,1,2000.00
0.330123,84.2871,-444.902344,632,444.3750,2000.00,1,2000.00
0.331124,83.1445,-446.044922,634,445.7812,2000.00,1,2000.00
0.332125,81.9141,-447.275391,636,447.1875,2000.00,1,2000.00
0.333126,80.6836,-448.505859,638,448.5937,2000.00,1,2000.00
0.334127,79.5410,-449.648437,640,450.0000,2000.00,1,2000.00
0.335128,78.3984,-450.791016,642,451.4062,2000.00,1,2000.00
0.336129,77.0801,-452.109375,644,452.8125,2000.00,1,2000.00
0.337130,76.0254,-453.164062,645,453.5156,2000.00,1,2000.00
