t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.001000,256.3770,0.000000,1,0.7031,2000.00,1,2000.00
0.002000,256.1133,-0.263672,2,1.4063,2000.00,1,2000.00
0.003001,254.9707,-1.406250,5,3.5156,2000.00,1,2000.00
0.004002,253.3887,-2.988281,7,4.9219,2000.00,1,2000.00
0.005003,251.8066,-4.570312,9,6.3281,2000.00,1,2000.00
0.006004,250.8398,-5.537109,10,7.0312,2000.00,1,2000.00
0.007005,249.9609,-6.416016,12,8.4375,2000.00,1,2000.00
0.008006,248.5547,-7.822266,14,9.8437,2000.00,1,2000.00
0.009006,246.9727,-9.404297,16,11.2500,2000.00,1,2000.00
0.010006,245.8301,-10.546875,18,12.6562,2000.00,1,2000.00
0.011007,244.6875,-11.689453,20,14.0625,2000.00,1,2000.00
0.012007,243.6328,-12.744141,22,15.4687,2000.00,1,2000.00
0.013007,242.2266,-14.150391,24,16.8750,2000.00,1,2000.00
0.014007,240.8203,-15.556641,26,18.2813,2000.00,1,2000.00
0.015007,239.6777,-16.699219,28,19.6875,2000.00,1,2000.00
0.016007,238.4473,-17.929687,29,20.3906,2000.00,1,2000.00
0.017007,237.2168,-19.160156,31,21.7969,2000.00,1,2000.00
0.018008,235.9863,-20.390625,33,23.2031,2000.00,1,2000.00
0.019008,234.7559,-21.621094,35,24.6094,2000.00,1,2000.00
0.020008,233.3496,-23.027344,37,26.0156,2000.00,1,2000.00
0.021008,232.2070,-24.169922,39,27.4219,2000.00,1,2000.00
0.022008,230.8887,-25.488281,41,28.8281,2000.00,1,2000.00
0.023008,229.6582,-26.718750,43,30.2344,2000.00,1,2000.00
0.024008,228.3398,-28.037109,45,31.6406,2000.00,1,2000.00
0.025008,227.0215,-29.355469,47,33.0469,2000.00,1,2000.00
0.026008,225.7910,-30.585937,49,34.4531,2000.00,1,2000.00
0.027008,224.2969,-32.080078,50,35.1563,2000.00,1,2000.00
0.028009,223.0664,-33.310547,52,36.5625,2000.00,1,2000.00
0.029009,221.9238,-34.453125,54,37.9688,2000.00,1,2000.00
0.030009,220.5176,-35.859375,56,39.3750,2000.00,1,2000.00
0.031009,219.1992,-37.177734,58,40.7813,2000.00,1,2000.00
0.032010,217.7930,-38.583984,60,42.1875,2000.00,1,2000.00
0.033011,216.3867,-39.990234,62,43.5938,2000.00,1,2000.00
0.034012,215.2441,-41.132812,64,45.0000,2000.00,1,2000.00
0.035013,213.8379,-42.539062,66,46.4063,2000.00,1,2000.00
0.036014,212.2559,-44.121094,68,47.8125,2000.00,1,2000.00
0.037014,211.0254,-45.351562,70,49.2188,2000.00,1,2000.00
0.038015,209.6191,-46.757812,72,50.6250,2000.00,1,2000.00
0.039016,208.3008,-48.076172,74,52.0313,2000.00,1,2000.00
0.040017,206.9824,-49.394531,76,53.4375,2000.00,1,2000.00
0.041018,205.4883,-50.888672,78,54.8438,2000.00,1,2000.00
0.042019,204.0820,-52.294922,80,56.2500,2000.00,1,2000.00
0.043019,202.5879,-53.789062,82,57.6563,2000.00,1,2000.00
0.044020,201.0937,-55.283203,83,58.3594,2000.00,1,2000.00
0.045021,199.8633,-56.513672,85,59.7656,2000.00,1,2000.00
0.046022,198.4570,-57.919922,88,61.8750,2000.00,1,2000.00
0.047023,196.7871,-59.589844,90,63.2813,2000.00,1,2000.00
0.048023,195.3809,-60.996094,91,63.9844,2000.00,1,2000.00
0.049024,193.9746,-62.402344,93,65.3906,2000.00,1,2000.00
0.050025,192.5684,-63.808594,95,66.7969,2000.00,1,2000.00
0.057293,181.7578,-74.619141,109,76.6406,2000.00,1,2000.00
0.058294,180.0879,-76.289062,111,78.0469,2000.00,1,2000.00
0.059294,178.6816,-77.695312,113,79.4531,2000.00,1,2000.00
0.060295,177.0117,-79.365234,114,80.1563,2000.00,1,2000.00
0.061296,175.6055,-80.771484,117,82.2656,2000.00,1,2000.00
0.062297,174.1992,-82.177734,118,82.9688,2000.00,1,2000.00
0.063297,172.5293,-83.847656,121,85.0781,2000.00,1,2000.00
