t_s,enc_as5600_deg,acc_as5600_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.001000,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.002000,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.003001,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.004002,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.005003,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.006004,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.007005,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.008006,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.009006,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.010006,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.011007,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.012007,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.013007,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.014007,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.015007,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.016007,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.017007,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.018008,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.019008,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.020008,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.021008,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.022008,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.023008,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.024008,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.025008,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.026008,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.027008,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.028009,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.029009,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.030009,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.031009,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.032010,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.033011,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.034012,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.035013,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.036014,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.037014,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.038015,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.039016,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.040017,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.041018,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.042019,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.047863,41.1328,-0.087891,0,0.0000,0.00,1,0.00
0.048863,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.049864,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.050865,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.051865,41.2207,0.000000,0,0.0000,0.00,1,0.00
0.052866,41.3086,0.087891,0,0.0000,0.00,1,0.00
0.053867,41.3086,0.087891,0,0.0000,0.00,1,0.00
