t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
0.001000,258.0469,0.000000,0,0.0000,0.00,1,0.00
0.002000,257.3437,-0.703125,0,0.0000,0.00,1,0.00
0.003001,257.5195,-0.527344,0,0.0000,0.00,1,0.00
0.004002,258.2227,0.175781,0,0.0000,0.00,1,0.00
0.005003,258.0469,0.000000,0,0.0000,0.00,1,0.00
0.006004,257.4316,-0.615234,0,0.0000,0.00,1,0.00
0.007005,257.5195,-0.527344,0,0.0000,0.00,1,0.00
0.008006,258.1348,0.087891,0,0.0000,0.00,1,0.00
0.009006,257.9590,-0.087891,0,0.0000,0.00,1,0.00
0.010006,257.5195,-0.527344,0,0.0000,0.00,1,0.00
0.011007,257.5195,-0.527344,0,0.0000,0.00,1,0.00
0.012007,257.9590,-0.087891,0,0.0000,0.00,1,0.00
0.013007,258.1348,0.087891,0,0.0000,0.00,1,0.00
0.014007,257.6953,-0.351563,0,0.0000,0.00,1,0.00
0.015007,257.5195,-0.527344,0,0.0000,0.00,1,0.00
0.016007,257.6953,-0.351563,0,0.0000,0.00,1,0.00
0.017007,257.9590,-0.087891,0,0.0000,0.00,1,0.00
0.018008,257.8711,-0.175781,0,0.0000,0.00,1,0.00
0.019008,257.6953,-0.351563,0,0.0000,0.00,1,0.00
0.020008,257.6953,-0.351563,0,0.0000,0.00,1,0.00
0.021008,257.8711,-0.175781,0,0.0000,0.00,1,0.00
0.022008,257.8711,-0.175781,0,0.0000,0.00,1,0.00
0.023008,257.6953,-0.351563,0,0.0000,0.00,1,0.00
0.024008,257.6074,-0.439453,0,0.0000,0.00,1,0.00
0.025008,257.6953,-0.351563,0,0.0000,0.00,1,0.00
0.026008,257.8711,-0.175781,0,0.0000,0.00,1,0.00
0.027008,257.7832,-0.263672,0,0.0000,0.00,1,0.00
0.028009,257.6953,-0.351563,0,0.0000,0.00,1,0.00
0.029009,257.6953,-0.351563,0,0.0000,0.00,1,0.00
0.030009,257.7832,-0.263672,0,0.0000,0.00,1,0.00
0.031009,257.7832,-0.263672,0,0.0000,0.00,1,0.00
0.032010,257.6953,-0.351563,0,0.0000,0.00,1,0.00
0.033011,257.6953,-0.351563,0,0.0000,0.00,1,0.00
0.034012,257.7832,-0.263672,0,0.0000,0.00,1,0.00
0.035013,257.7832,-0.263672,0,0.0000,0.00,1,0.00
0.036014,257.7832,-0.263672,0,0.0000,0.00,1,0.00
0.037014,257.6953,-0.351563,0,0.0000,0.00,1,0.00
0.038015,257.7832,-0.263672,0,0.0000,0.00,1,0.00
0.039016,257.7832,-0.263672,0,0.0000,0.00,1,0.00
0.040017,257.7832,-0.263672,0,0.0000,0.00,1,0.00
