t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,cmd_sps,cmd_dir,cmd_vel,cam_t_s,cam_x_mm,cam_y_mm,cam_dx_mm,cam_dy_mm,cam_vx_mm,cam_vy_mm
0.009329,11.6895,0,1.405396,4.229116,0.105943,1.396418,4.856638,1500,1,1500,nan,nan,nan,nan,nan,nan,nan
0.019321,356.8359,-14.853516,1.370082,4.242807,0.238223,1.410783,4.803966,1500,1,1500,nan,nan,nan,nan,nan,nan,nan
0.029291,341.8945,-29.794922,1.055843,4.253333,0.237625,1.09415,4.87639,1500,1,1500,nan,nan,nan,nan,nan,nan,nan
0.03926,326.8652,-44.824219,0.729633,4.260607,0.058059,0.766743,4.933253,1500,1,1500,nan,nan,nan,nan,nan,nan,nan
0.049243,312.3633,-59.326172,0.541688,4.266014,0.168193,0.580594,4.908113,1500,1,1500,nan,nan,nan,nan,nan,nan,nan
0.059213,298.5645,-73.125,0.336984,4.269374,0.041899,0.372897,4.88058,1500,1,1500,nan,nan,nan,nan,nan,nan,nan
0.069181,285.3809,-86.308594,0.360926,4.272972,0.061651,0.40043,4.875193,1500,1,1500,nan,nan,nan,nan,nan,nan,nan
0.079176,272.8125,-98.876953,0.301071,4.27598,0.057461,0.342371,4.912303,1500,1,1500,0.019321,0.315,0.157,0,0,0,0.005
0.089156,260.5078,-111.181641,0.415993,4.280132,-0.123301,0.462081,4.940435,1500,1,1500,0.019321,0.315,0.157,0,0,0,0.005
0.09913,248.2031,-123.486328,0.214281,4.282269,-0.089184,0.254384,4.925471,1500,1,1500,0.019321,0.315,0.157,0,0,0,0.005
0.109103,235.8105,-135.878906,0.147842,4.283744,-0.092177,0.18974,4.927267,1500,1,1500,0.019321,0.315,0.157,0,0,0,0.005
0.119053,222.8906,-148.798828,-0.037709,4.283369,-0.09517,-0.003591,4.886566,1500,1,1500,0.069181,1.095,0.11,0.78,-0.047,23.52,-1.422
0.129162,209.3555,-162.333984,-0.298677,4.280349,-0.067636,-0.268151,4.897938,1500,1,1500,0.069181,1.095,0.11,0.78,-0.047,23.52,-1.422
0.139136,195.2051,-176.484375,-0.333991,4.277019,-0.038906,-0.305859,4.890157,1500,1,1500,0.069181,1.095,0.11,0.78,-0.047,23.52,-1.422
0.149115,180.3516,-191.337891,-0.329801,4.273727,0.013168,-0.304064,4.879383,1500,1,1500,0.069181,1.095,0.11,0.78,-0.047,23.52,-1.422
0.159009,165.4102,-206.279297,0.055067,4.274272,0.007183,0.084994,4.897938,1500,1,1500,0.09913,2.674,0.195,1.579,0.084,47.279,2.525
0.169114,150.1172,-221.572266,0.136469,4.275651,0.015562,0.16939,4.935647,1500,1,1500,0.09913,2.674,0.195,1.579,0.084,47.279,2.525
0.179089,135.2637,-236.425781,0.106542,4.276714,0.027533,0.141258,4.912902,1500,1,1500,0.09913,2.674,0.195,1.579,0.084,47.279,2.525
0.189072,121.2891,-250.400391,-0.005986,4.276654,0.083797,0.027533,4.909311,1500,1,1500,0.09913,2.674,0.195,1.579,0.084,47.279,2.525
0.198935,108.2813,-263.408203,-0.138864,4.275285,0.059855,-0.107141,4.911705,1500,1,1500,0.129162,5.095,0.32,2.421,0.125,72.629,3.756
0.209042,95.625,-276.064453,-0.04549,4.274825,0.085593,-0.014964,4.92607,1500,1,1500,0.129162,5.095,0.32,2.421,0.125,72.629,3.756
0.219017,83.6719,-288.017578,-0.022146,4.274604,0.083797,0.010774,4.918289,1500,1,1500,0.129162,5.095,0.32,2.421,0.125,72.629,3.756
0.228883,71.9824,-299.707031,-0.01257,4.27448,0.09098,0.020949,4.935647,1500,1,1500,0.179089,7.655,0.436,2.56,0.116,76.958,3.489
0.238992,59.8535,-311.835937,0.068235,4.27517,0.141258,0.105943,4.935048,1500,1,1500,0.179089,7.655,0.436,2.56,0.116,76.958,3.489
0.248834,47.9004,-323.789062,0.071826,4.275877,-0.023942,0.109535,4.927866,1500,1,1500,0.179089,7.655,0.436,2.56,0.116,76.958,3.489
0.258944,34.9805,-336.708984,0.07422,4.276627,-0.047285,0.107141,4.901529,1500,1,1500,0.179089,7.655,0.436,2.56,0.116,76.958,3.489
0.268942,21.5332,-350.15625,0.070629,4.277333,0.021548,0.104746,4.936844,1500,1,1500,0.209042,10.474,0.602,2.818,0.166,84.222,4.969
0.278914,7.3828,-364.306641,-0.094571,4.27639,-0.002394,-0.062848,4.93445,1500,1,1500,0.209042,10.474,0.602,2.818,0.166,84.222,4.969
0.288886,352.4414,-379.248047,-0.131681,4.275077,0.004788,-0.102951,4.900332,1500,1,1500,0.209042,10.474,0.602,2.818,0.166,84.222,4.969
0.298873,337.5,-394.189453,-0.186149,4.273218,-0.064643,-0.163404,4.93445,1500,1,1500,0.209042,10.474,0.602,2.818,0.166,84.222,4.969
0.308858,322.4707,-409.21875,-0.162207,4.271598,-0.066439,-0.137068,4.909909,1500,1,1500,0.248834,13.276,0.788,2.803,0.186,84.361,5.597
0.318833,308.1445,-423.544922,-0.006584,4.271533,-0.058059,0.020949,4.903325,1500,1,1500,0.248834,13.276,0.788,2.803,0.186,84.361,5.597
0.328807,294.6094,-437.080078,0.246004,4.273986,-0.043694,0.281917,4.895544,1500,1,1500,0.248834,13.276,0.788,2.803,0.186,84.361,5.597
0.338806,281.6895,-450,0.27653,4.276752,0.102951,0.311845,4.911106,1500,1,1500,0.278914,16.094,1.032,2.818,0.244,42.272,3.659
0.34878,269.209,-462.480469,0.124498,4.277993,0.04549,0.162806,4.922479,1500,1,1500,0.278914,16.094,1.032,2.818,0.244,42.272,3.659
0.358752,256.8164,-474.873047,-0.033519,4.277659,0.047884,0,4.920084,1500,1,1500,0.278914,16.094,1.032,2.818,0.244,42.272,3.659
0.368726,244.5996,-487.089844,-0.07422,4.276919,0.036512,-0.040701,4.911705,1500,1,1500,0.278914,16.094,1.032,2.818,0.244,42.272,3.659
0.378724,232.0312,-499.658203,0.077213,4.277691,0.057461,0.111929,4.915296,1500,1,1500,0.328807,18.92,1.206,2.826,0.174,84.517,5.195
0.3887,218.9355,-512.753906,0.133477,4.279022,0.016161,0.166996,4.881179,1500,1,1500,0.328807,18.92,1.206,2.826,0.174,84.517,5.195
0.398672,205.3125,-526.376953,0.099958,4.280019,0.022146,0.137068,4.894347,1500,1,1500,0.328807,18.92,1.206,2.826,0.174,84.517,5.195
0.408658,190.9863,-540.703125,0.140659,4.281424,0.002394,0.174777,4.887763,1500,1,1500,0.328807,18.92,1.206,2.826,0.174,84.517,5.195
0.418643,176.1328,-555.556641,-0.022146,4.281202,-0.019752,0.011971,4.895544,1500,1,1500,0.358752,21.751,1.396,2.831,0.19,85.128,5.715
0.428615,160.9277,-570.761719,-0.153827,4.279668,-0.026935,-0.123301,4.893748,1500,1,1500,0.358752,21.751,1.396,2.831,0.19,85.128,5.715
0.438588,145.8984,-585.791016,-0.349553,4.276182,-0.030526,-0.323816,4.875193,1500,1,1500,0.358752,21.751,1.396,2.831,0.19,85.128,5.715
0.448589,131.1328,-600.556641,-0.207098,4.274111,-0.083199,-0.182558,4.896741,1500,1,1500,0.3887,24.584,1.524,2.833,0.128,84.868,3.847
0.458559,117.5098,-614.179688,-0.171784,4.272398,0.022745,-0.147842,4.887763,1500,1,1500,0.3887,24.584,1.524,2.833,0.128,84.868,3.847
0.468533,104.5898,-627.099609,-0.064643,4.271753,-0.00838,-0.041899,4.894347,1500,1,1500,0.3887,24.584,1.524,2.833,0.128,84.868,3.847
0.478512,92.1094,-639.580078,0.016759,4.271921,0.029329,0.043096,4.881179,1500,1,1500,0.3887,24.584,1.524,2.833,0.128,84.868,3.847
0.488507,80.332,-651.357422,0.052672,4.272447,0.013767,0.077812,4.919486,1500,1,1500,0.438588,27.419,1.576,2.835,0.052,84.961,1.545
0.498481,68.5547,-663.134766,0.007781,4.272525,0.022745,0.03711,4.892551,1500,1,1500,0.438588,27.419,1.576,2.835,0.052,84.961,1.545
0.545402,7.8223,-723.867188,-0.054468,4.269969,-0.04968,-0.031723,4.887763,1500,1,1500,0.468533,30.254,1.661,2.835,0.085,85.221,2.56
0.548386,3.3398,-728.349609,0.052672,4.270126,-0.092775,0.07841,4.920084,1500,1,1500,0.468533,30.254,1.661,2.835,0.085,85.221,2.56
0.558384,348.3105,-743.378906,0.046687,4.270593,0.013168,0.073622,4.899734,1500,1,1500,0.498481,33.089,1.779,2.836,0.118,84.926,3.527
0.568358,333.3691,-758.320313,0.022146,4.270814,-0.008978,0.047884,4.894347,1500,1,1500,0.498481,33.089,1.779,2.836,0.118,84.926,3.527
0.578334,318.6035,-773.085938,-0.010175,4.270712,0,0.014964,4.890756,1500,1,1500,0.498481,33.089,1.779,2.836,0.118,84.926,3.527
0.58831,304.2773,-787.412109,-0.107739,4.269638,-0.01257,-0.085593,4.898537,1500,1,1500,0.498481,33.089,1.779,2.836,0.118,84.926,3.527
0.598301,290.8301,-800.859375,-0.21488,4.26749,-0.026336,-0.194529,4.883573,1500,1,1500,0.498481,35.925,1.865,2.836,0.086,85.217,2.582
0.608273,278.0859,-813.603516,-0.042497,4.267066,0.031125,-0.022745,4.885368,1500,1,1500,0.498481,35.925,1.865,2.836,0.086,85.217,2.582
0.618253,265.6055,-826.083984,0.067038,4.267735,0.011971,0.089184,4.914099,1500,1,1500,0.498481,35.925,1.865,2.836,0.086,85.217,2.582
0.628237,253.4766,-838.212891,0.158616,4.269319,0.052672,0.183156,4.911106,1500,1,1500,0.498481,35.925,1.865,2.836,0.086,85.217,2.582
0.638222,241.1719,-850.517578,0.132878,4.270646,0.00419,0.159813,4.901529,1500,1,1500,0.578334,38.761,2.09,2.836,0.225,85.199,6.767
0.648194,228.6035,-863.085938,0.086191,4.271505,0.002394,0.114323,4.890756,1500,1,1500,0.578334,38.761,2.09,2.836,0.225,85.199,6.767
0.658174,215.2441,-876.445313,0.038307,4.271888,0.0413,0.063446,4.891953,1500,1,1500,0.578334,38.761,2.09,2.836,0.225,85.199,6.767
0.668168,201.3574,-890.332031,-0.077812,4.27111,0.013168,-0.056264,4.914698,1500,1,1500,0.608273,41.598,2.25,2.836,0.16,85.022,4.791
0.678144,186.7676,-904.921875,-0.253187,4.268585,0.007781,-0.234632,4.908712,1500,1,1500,0.608273,41.598,2.25,2.836,0.16,85.022,4.791
0.688119,171.7383,-919.951172,-0.084994,4.267737,0.042497,-0.067038,4.932055,1500,1,1500,0.608273,41.598,2.25,2.836,0.16,85.022,4.791
0.698095,156.5332,-935.15625,-0.125097,4.266489,0.022745,-0.110133,4.929063,1500,1,1500,0.608273,41.598,2.25,2.836,0.16,85.022,4.791
